"program","gene","present"
"Pan_EC","PECAM1",TRUE
"Pan_EC","VWF",TRUE
"Pan_EC","CDH5",TRUE
"Pan_EC","CLDN5",TRUE
"Pan_EC","KDR",TRUE
"Capillary","EMCN",TRUE
"Capillary","CA4",TRUE
"Capillary","RGCC",TRUE
"Capillary","GPIHBP1",TRUE
"Capillary","FCN3",TRUE
"Arterial","GJA5",TRUE
"Arterial","GJA4",TRUE
"Arterial","EFNB2",TRUE
"Arterial","SOX17",TRUE
"Venous","ACKR1",TRUE
"Venous","SELP",TRUE
"Venous","SELE",TRUE
"Venous","VCAM1",TRUE
"Angiogenic","APLN",TRUE
"Angiogenic","ESM1",TRUE
"Angiogenic","ANGPT2",TRUE
"Angiogenic","NID2",TRUE
"Lymphatic","PROX1",TRUE
"Lymphatic","PDPN",TRUE
"Lymphatic","FLT4",TRUE
"Lymphatic","CCL21",TRUE
"Lymphatic","LYVE1",TRUE
"Mural_check","RGS5",TRUE
"Mural_check","CSPG4",TRUE
"Mural_check","KCNJ8",TRUE
"Mural_check","ABCC9",TRUE
"Mural_check","ACTA2",TRUE
"Mural_check","MYH11",TRUE
"T_check","CD3D",TRUE
"T_check","TRAC",TRUE
"Myeloid_check","LYZ",TRUE
"Myeloid_check","PTPRC",TRUE
"Epithelial_check","EPCAM",TRUE
"Epithelial_check","KRT8",TRUE
"Epithelial_check","KRT18",TRUE
