"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.62234190024889,0.552,0.07,0,"0","CSF3"
5.65679876171843e-171,3.26294604741425,0.127,0.018,5.09174113341038e-166,"0","MADCAM1"
0,3.21671169093946,0.261,0.025,0,"0","ENSG00000288520"
0,3.16908539731182,0.234,0.027,0,"0","NPHS1"
0,3.03940116674844,0.582,0.131,0,"0","IL6"
0,2.99215291486096,0.244,0.029,0,"0","TMEM176A"
0,2.97140655666265,0.579,0.069,0,"0","HLA-DQA2"
9.95794465818712e-272,2.90590991687048,0.172,0.018,8.96324556628081e-267,"0","SLAMF1"
7.48677343717182e-290,2.83906757962854,0.179,0.017,6.73891963853272e-285,"0","SEMA3E"
2.87546205879605e-321,2.66952502605245,0.334,0.09,2.58823215374292e-316,"0","G0S2"
0,2.61539335894523,0.282,0.032,0,"0","IL18R1"
0,2.6146058118172,0.966,0.293,0,"0","ACKR1"
0,2.57116359860133,0.423,0.047,0,"0","CCL23"
0,2.52616572947166,0.255,0.036,0,"0","TMEM176B"
6.76724194522869e-283,2.51937887471786,0.175,0.016,6.0912621473198e-278,"0","MLIP"
0,2.49553257857059,0.494,0.054,0,"0","C7"
0,2.46067339441712,0.906,0.243,0,"0","SELE"
1.53313751366502e-163,2.43206964608672,0.109,0.012,1.37999240742502e-158,"0","SLCO5A1"
7.78078404160517e-191,2.42340772135238,0.156,0.027,7.00356152368923e-186,"0","ENSG00000289009"
0,2.41399277110452,0.415,0.076,0,"0","ENSG00000255872"
0,2.4109352917501,0.324,0.051,0,"0","LRG1"
1.92247948545651e-235,2.41075444353147,0.196,0.036,1.73044300965426e-230,"0","ENSG00000188897"
0,2.40671162797031,0.453,0.09,0,"0","ICAM4"
1.55520414783396e-239,2.39996990006476,0.167,0.021,1.39985480550682e-234,"0","CYP2U1-AS1"
0,2.30212035139882,0.317,0.042,0,"0","C1QTNF1"
8.81623635570455e-295,2.29805160442532,0.198,0.023,7.93558250613322e-290,"0","ENSG00000288775"
0,2.26577044850807,0.395,0.062,0,"0","SGMS2"
4.44823636996824e-122,2.24654483401386,0.104,0.018,4.00390203897212e-117,"0","ENSG00000279981"
1.69184681936714e-224,2.22795884638843,0.189,0.035,1.52284824058055e-219,"0","ENSG00000240291"
3.54979930929203e-288,2.22512563635817,0.178,0.016,3.19520985628685e-283,"0","LIPG"
1.36181656403281e-247,2.20311721841286,0.223,0.046,1.22578470745157e-242,"0","ENSG00000249175"
3.72939617704046e-237,2.1983087371815,0.176,0.025,3.35686679291589e-232,"0","EPOP"
1.88071520896396e-253,2.19628976978731,0.162,0.016,1.69285056674055e-248,"0","UBD"
0,2.19485695315847,0.344,0.065,0,"0","SAMD4A-AS1"
1.97487699669059e-135,2.18758250391018,0.111,0.018,1.77760653349116e-130,"0","NCR3LG1"
0,2.17378208993767,0.403,0.075,0,"0","CPE"
0,2.16829283683155,0.327,0.048,0,"0","SNAP25"
0,2.15061785828951,0.815,0.221,0,"0","ENSG00000286533"
3.50771451374069e-175,2.12521869540551,0.124,0.016,3.15732891096313e-170,"0","ICAM5"
1.5110778809503e-167,2.12056979152449,0.128,0.019,1.36013631142217e-162,"0","TSLP"
0,2.11718293212705,0.232,0.024,0,"0","TTC39A"
2.31417110585982e-156,2.11092464017278,0.136,0.025,2.08300855409548e-151,"0","KCNK1"
1.49878304993133e-177,2.10435071122427,0.125,0.016,1.34906961107369e-172,"0","ENSG00000290927"
1.13991752067443e-146,2.09594660123762,0.114,0.017,1.02605115953426e-141,"0","RETREG1"
0,2.09587022800162,0.389,0.064,0,"0","FAM110B"
2.0328823740418e-276,2.09376024661821,0.178,0.019,1.82981775369877e-271,"0","DENND2D"
8.15628267518366e-205,2.08926646388101,0.177,0.033,7.34155159875956e-200,"0","ENSG00000255202"
1.31110366963778e-187,2.08437755618688,0.116,0.01,1.18013752407767e-182,"0","SLC8A3"
0,2.08085325936737,0.359,0.073,0,"0","RYR3"
0,2.07989272535897,0.354,0.07,0,"0","RRAGC-DT"
2.37854742797539e-235,3.467916976227,0.16,0.019,2.14095432539493e-230,"1","PDGFDDN"
1.69150299348251e-142,3.21835873106411,0.101,0.012,1.52253875946354e-137,"1","ENSG00000286891"
2.66912740017923e-208,2.83305975554022,0.186,0.033,2.40250826417533e-203,"1","NCAL1"
1.04701807959814e-207,2.66612735725688,0.185,0.032,9.42431443627084e-203,"1","ENSG00000250863"
0,2.60857618886993,0.756,0.3,0,"1","IGFBP3"
1.45255299877326e-321,2.60788679389336,0.309,0.063,1.3074574797258e-316,"1","HAPLN1"
4.79340634211962e-300,2.60753519563526,0.347,0.09,4.31459298260529e-295,"1","COL13A1"
1.12435628938439e-116,2.60742462607914,0.117,0.023,1.01204433963779e-111,"1","HTR1F"
7.3674162564808e-208,2.57581209651865,0.251,0.063,6.63148504662094e-203,"1","SLC1A4"
0,2.55786782745034,0.346,0.055,0,"1","SCIN"
0,2.52792768779544,0.457,0.118,0,"1","NHS"
0,2.51151370127759,0.569,0.141,0,"1","APCDD1"
1.2544698859315e-103,2.47284718060506,0.119,0.027,1.1291608890258e-98,"1","ENSG00000251388"
0,2.42158578764758,0.441,0.12,0,"1","ENSG00000248636"
1.07139182100848e-275,2.41389474839303,0.307,0.072,9.64370492007945e-271,"1","FCN3"
8.29081674263842e-260,2.40147318811429,0.237,0.043,7.46264705821627e-255,"1","KCNMA1"
0,2.39339174732529,0.387,0.076,0,"1","ADAMTSL2"
1.23665054484863e-270,2.38245408495945,0.314,0.077,1.1131215219237e-265,"1","PDE3A"
4.48196691970371e-147,2.34825502570582,0.24,0.078,4.03426324409451e-142,"1","SLC7A11"
4.14243115908495e-236,2.32120408545047,0.295,0.077,3.72864371060395e-231,"1","GRAMD1B"
1.42709813393944e-315,2.27725544347838,0.338,0.076,1.28454530134023e-310,"1","DGKI"
2.36943026911952e-97,2.25527129640533,0.114,0.026,2.13274787953717e-92,"1","ENSG00000267009"
0,2.25176753442706,0.512,0.169,0,"1","ANGPTL2"
3.04422496799986e-143,2.24873921929275,0.201,0.056,2.74013733594635e-138,"1","RP1"
1.91520226972619e-84,2.23478666425049,0.111,0.028,1.72389271500324e-79,"1","LINC03124"
1.17576955427051e-85,2.2295935612725,0.1,0.023,1.05832193349443e-80,"1","ENSG00000244701"
0,2.22687589132048,0.516,0.161,0,"1","ACE"
0,2.20837376634865,0.472,0.094,0,"1","SNTB1"
5.04195091941792e-133,2.20340921755436,0.151,0.034,4.53831044207727e-128,"1","ENSG00000302423"
0,2.20138799797355,0.644,0.135,0,"1","ESM1"
0,2.19563016490268,0.514,0.12,0,"1","UNC5B"
1.62633931065798e-177,2.1948409239232,0.265,0.08,1.46388427691635e-172,"1","NPTX2"
4.50509584846754e-125,2.18409723040845,0.197,0.06,4.05508182416412e-120,"1","SPOCK2"
4.26671294134113e-101,2.17642649318237,0.116,0.026,3.84051098563056e-96,"1","ENSG00000251199"
0,2.16219440541779,0.86,0.365,0,"1","MIR4435-2HG"
7.9371445848757e-308,2.09631169625601,0.34,0.079,7.14430321229246e-303,"1","FOLH1"
8.82422135488377e-247,2.09567348834097,0.268,0.058,7.94276988374443e-242,"1","KCNE3"
0,2.09075165951645,0.595,0.147,0,"1","KCNQ1"
1.27682775872283e-300,2.0768304004535,0.396,0.114,1.149285433904e-295,"1","LRATD1"
5.22620122435139e-200,2.07681687758211,0.307,0.095,4.70415598405093e-195,"1","ENSG00000229308"
2.06936988814801e-133,2.06636770413152,0.153,0.034,1.8626605300209e-128,"1","TMEM37"
1.4099939604705e-244,2.05748896856957,0.342,0.1,1.2691496637591e-239,"1","CPM"
1.33756146586933e-86,2.05193939212104,0.101,0.022,1.20395245104364e-81,"1","P2RY1"
0,2.04065669618979,0.477,0.157,0,"1","ENSG00000229337"
3.10189789143459e-83,2.02799731054997,0.143,0.045,2.79204931105919e-78,"1","EDIL3-DT"
3.24030884400138e-83,2.01271633160522,0.103,0.024,2.91663439357408e-78,"1","KIF5C"
1.94007002857783e-300,2.00052721881931,0.355,0.088,1.74627643342319e-295,"1","NRCAM"
1.92327261487539e-63,1.99322297252798,0.107,0.033,1.73115691337549e-58,"1","ENSG00000293906"
1.54240339755943e-159,1.94707553482495,0.239,0.07,1.38833272217722e-154,"1","ENSG00000280878"
2.62462501834454e-144,1.93317226637531,0.206,0.057,2.36245122526211e-139,"1","SPAAR"
9.79162290900072e-263,6.30154359814167,0.1,0.001,8.81353769662064e-258,"2","AC018797.3"
2.8526115443533e-306,6.17367327674235,0.115,0.001,2.56766417718785e-301,"2","AC114757.1"
0,6.04234177044322,0.157,0.002,0,"2","AC011476.3"
0,6.01348252410473,0.199,0.003,0,"2","AL033504.1"
0,5.98075846138568,0.149,0.002,0,"2","AC093817.2"
0,5.90979953973894,0.133,0.002,0,"2","RFX3-AS1"
0,5.84477465612198,0.209,0.003,0,"2","AC011511.2"
4.00750603420096e-283,5.77708356015417,0.106,0.001,3.60719625644462e-278,"2","AP001037.1"
0,5.76236780568587,0.134,0.002,0,"2","AC005920.2"
0,5.71467552542209,0.208,0.003,0,"2","AC008892.1"
2.31385563803077e-279,5.61067885809114,0.107,0.002,2.08272459834787e-274,"2","AC097459.1"
0,5.54604504091917,0.203,0.004,0,"2","AL139317.5"
0,5.45825647350573,0.597,0.017,0,"2","FAM155A"
0,5.45767993550665,0.311,0.005,0,"2","AC087286.2"
4.38060958411397e-253,5.42693140455411,0.1,0.002,3.94303049275683e-248,"2","AC097376.3"
0,5.41600481282572,0.412,0.008,0,"2","AL139807.1"
0,5.41441992093692,0.131,0.002,0,"2","AC025569.1"
0,5.38321985425218,0.426,0.017,0,"2","ADAMTSL4-AS1"
0,5.37568877436741,0.167,0.004,0,"2","AP002989.1"
0,5.35112272160348,0.144,0.004,0,"2","AL078604.4"
0,5.29350460588866,0.381,0.008,0,"2","AC018362.1"
0,5.29214974091724,0.219,0.004,0,"2","AC016831.7"
0,5.28789407637483,0.259,0.006,0,"2","AC027097.2"
1.93948784717337e-263,5.27204993869156,0.104,0.002,1.74575240611922e-258,"2","AL445524.1"
0,5.26330992143056,0.229,0.005,0,"2","AL109930.1"
0,5.2629059325527,0.223,0.005,0,"2","AC018816.1"
0,5.24824049319745,0.16,0.003,0,"2","AL731577.2"
0,5.24083563830054,0.185,0.003,0,"2","AC023424.3"
1.13897706502594e-297,5.22410029849775,0.112,0.001,1.0252046460005e-292,"2","TCTEX1D1"
1.64138607601164e-312,5.18684359096038,0.124,0.002,1.47742802087883e-307,"2","MARCH8"
0,5.18062582445174,0.509,0.012,0,"2","AC119674.1"
0,5.17992319004858,0.14,0.003,0,"2","AC008014.1"
1.8079147314385e-292,5.17551095090395,0.125,0.003,1.62732212891511e-287,"2","AL078459.1"
2.96439387504748e-323,5.16264985114963,0.133,0.003,2.66828057086899e-318,"2","AC015923.1"
0,5.12873759801843,0.215,0.004,0,"2","AL359220.1"
0,5.12835487584629,0.172,0.003,0,"2","AC074032.1"
0,5.12469437412406,0.272,0.006,0,"2","AL365295.1"
0,5.1228925148722,0.532,0.013,0,"2","FAM214A"
1.97626258336499e-323,5.11325222553548,0.134,0.003,1.77885371391266e-318,"2","AL138689.2"
0,5.10751704235253,0.485,0.011,0,"2","AC002070.1"
0,5.10261144942218,0.16,0.003,0,"2","MARS"
0,5.10188807369318,0.229,0.005,0,"2","ELMSAN1"
0,5.09316561325744,0.168,0.004,0,"2","AL049828.1"
0,5.09264094371016,0.302,0.007,0,"2","C11orf49"
0,5.08775893057712,0.304,0.008,0,"2","AC017002.5"
0,5.08645675403394,0.175,0.004,0,"2","UHRF1BP1L"
0,5.08478318880321,0.372,0.008,0,"2","MARCH5"
0,5.07951536096246,0.355,0.008,0,"2","WDR60"
0,5.07352868585672,0.599,0.016,0,"2","IQCJ-SCHIP1"
0,5.07134125598416,0.146,0.003,0,"2","ARNTL"
5.06748720325248e-20,2.44161088469271,0.181,0.112,4.56129590651959e-15,"3","MT-TE"
2.42474761697648e-18,2.29594860622264,0.101,0.048,2.1825395775167e-13,"3","MT-TN"
2.81189353296278e-05,1.94218794747411,0.07,0.114,1,"3","ACTA2"
5.66905145967386e-05,1.92690990550873,0.119,0.094,1,"3","MT-TV"
0.000273618754946116,1.81647374207381,0.073,0.113,1,"3","COL3A1"
2.27935611486958e-05,1.80882408659588,0.101,0.156,1,"3","CD24"
3.78525102229589e-08,1.74401288180792,0.051,0.102,0.00340714229767875,"3","COL1A1"
4.29737539478576e-06,1.632093881802,0.134,0.212,0.386811056660061,"3","C1orf56"
7.02299429076964e-07,1.62279469938125,0.074,0.129,0.0632146739106466,"3","COL1A2"
0.004684386280672,1.57846173835752,0.08,0.113,1,"3","CD52"
3.1920284799927e-06,1.52882327240669,0.292,0.465,0.287317675512623,"3","IGHG1"
6.29967648516508e-10,1.49980114327929,0.054,0.115,5.67040180106194e-05,"3","PHKG1"
1.91186810531925e-06,1.46205959981286,0.072,0.123,0.172089160027891,"3","AREG"
1.74388454827657e-07,1.37236775489462,0.142,0.233,0.0156968792074923,"3","CLDN4"
0.000675214087995117,1.34372141169379,0.185,0.268,1,"3","KRT19"
0.000596148095447662,1.3320108334535,0.209,0.303,1,"3","S100P"
1.56597080401948e-36,1.3319971209817,0.682,0.801,1.40954598040598e-31,"3","IGKC"
6.15820404070465e-06,1.32127057239867,0.098,0.156,0.554306103907866,"3","PSCA"
7.95495025200028e-05,1.30544028528304,0.109,0.164,1,"3","SPINK1"
0.000537916000836302,1.28245297369239,0.09,0.133,1,"3","WIPI1"
1.83722361424829e-18,1.28062912082117,0.051,0.142,1.65370334742103e-13,"3","FBLN1"
6.21630581233503e-06,1.27249283177435,0.101,0.16,0.559535902474088,"3","KRT7"
1.75660606999426e-08,1.27157301644143,0.055,0.109,0.00158113868966253,"3","TPSB2"
9.83293801100219e-16,1.27062479874326,0.07,0.162,8.85072583308318e-11,"3","APOE"
0.00682138286592605,1.26685856272646,0.096,0.132,1,"3","CCL5"
4.45082955720147e-11,1.24163796769745,0.061,0.13,4.00623619273261e-06,"3","TPM2"
5.40943931981845e-08,1.23777998554713,0.226,0.369,0.00486909042616178,"3","SNHG25"
4.96292243745164e-06,1.22370630044553,0.474,0.606,0.446717611517459,"3","IGLC2"
5.65530465850493e-20,1.20983730717999,0.056,0.156,5.09039627616687e-15,"3","LUM"
2.42003822986005e-07,1.19854416933902,0.192,0.306,0.0217830061107933,"3","S100A2"
0.00409044876425923,1.18387404634806,0.122,0.168,1,"3","LRATD1"
1.05845823253665e-06,1.18054777336876,0.061,0.109,0.0952728839688561,"3","SFN"
