"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.84121828691729,0.936,0.353,0,"0","SELE"
0,1.64781004072336,0.796,0.222,0,"0","SELP"
0,1.32251658254145,0.971,0.412,0,"0","ACKR1"
0,1.71377881836137,0.836,0.322,0,"0","ENSG00000286533"
0,1.80549865044421,0.842,0.345,0,"0","LITAF"
0,1.39216153952192,0.789,0.324,0,"0","TLL1"
0,1.36390492518679,0.702,0.242,0,"0","ELOVL7"
0,1.3486540795894,0.702,0.254,0,"0","VCAM1"
0,1.30954677252314,0.854,0.408,0,"0","MARCHF3"
0,1.54950624257281,0.643,0.203,0,"0","BIRC3"
0,1.28504012800988,0.654,0.215,0,"0","IL1R1"
0,1.29931514244103,0.985,0.551,0,"0","ZNF385D"
0,1.24182321456767,0.788,0.358,0,"0","NFATC2"
0,2.29321963054042,0.602,0.173,0,"0","PTGDS"
0,1.18881676370872,0.716,0.287,0,"0","IL33"
0,1.28082637253209,0.627,0.198,0,"0","MEOX1"
0,1.40218753495267,0.587,0.158,0,"0","HLA-DQA2"
0,0.80960278351541,0.922,0.497,0,"0","NNMT"
0,1.12279210386704,0.803,0.38,0,"0","PHLDA1"
0,1.14533195084963,0.798,0.38,0,"0","HLA-DRB6.1"
0,0.934786060331444,0.84,0.422,0,"0","TNFAIP3"
0,1.11393210469795,0.708,0.29,0,"0","HDAC9"
0,1.20206571676045,0.712,0.295,0,"0","ZNF267"
0,0.804022892667967,0.889,0.474,0,"0","PRCP"
0,1.11268084500456,0.786,0.371,0,"0","CSRP2"
0,1.64076957337598,0.525,0.112,0,"0","LINC02147"
0,1.11359532992743,0.716,0.308,0,"0","GNG12"
0,1.00024385056629,0.664,0.258,0,"0","HAPLN3"
0,1.14022848362156,0.767,0.362,0,"0","SMAD3"
0,1.13974712326076,0.757,0.353,0,"0","CXCL2"
0,1.38000980328121,0.619,0.216,0,"0","SLC7A1"
0,2.31270145821325,0.507,0.105,0,"0","CPE"
0,1.30683326619086,0.981,0.579,0,"0","ICAM1"
0,1.07640359236402,0.836,0.434,0,"0","ROBO1"
0,1.15630592718904,0.751,0.35,0,"0","IRAK2"
0,1.07619226379071,0.744,0.344,0,"0","KDM6B"
0,1.82824422600918,0.55,0.157,0,"0","CSF3"
0,1.57583362726851,0.543,0.152,0,"0","CSF2RB"
0,1.06608029809908,0.661,0.272,0,"0","RNF19B"
0,0.907594348457056,0.895,0.508,0,"0","SLCO2A1"
0,1.04371882243958,0.616,0.229,0,"0","OLFM1"
0,0.60698587572523,0.613,0.227,0,"0","MMRN1"
0,0.973643200854034,0.91,0.524,0,"0","IER3"
0,1.04983085995192,0.723,0.342,0,"0","SAV1"
0,1.89743613705611,0.55,0.17,0,"0","HMOX1"
0,1.18351880032672,0.953,0.577,0,"0","PALM2AKAP2"
0,1.08026867690323,0.924,0.548,0,"0","SAMD4A"
0,1.4524771064044,0.553,0.178,0,"0","SETBP1"
0,1.15685912309957,0.592,0.218,0,"0","TACR1"
0,1.23426426390518,0.598,0.227,0,"0","ZC3H12A"
0,1.12644883473232,0.556,0.187,0,"0","MATN2"
0,1.1104644228124,0.63,0.261,0,"0","TRAF3"
0,0.86783633032617,0.551,0.183,0,"0","EPB41L3"
0,1.09227417269056,0.895,0.532,0,"0","NFKB1"
0,1.24102258844389,0.559,0.199,0,"0","CHN2"
0,1.4519163497272,0.967,0.611,0,"0","NCOA7"
0,0.948206036593937,0.871,0.516,0,"0","WTAP"
0,1.41252101571388,0.492,0.137,0,"0","BMP2"
0,1.54470277890043,0.492,0.143,0,"0","TNFAIP8"
0,1.14578091782947,0.527,0.179,0,"0","SNCA"
0,1.76564709300036,0.451,0.105,0,"0","FAM110B"
0,1.05608713993477,0.916,0.576,0,"0","NPC2"
