"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.08146583896623,0.197,0.018,0,"0","MADCAM1"
0,3.26100720054184,0.338,0.042,0,"0","TMEM176A"
0,2.91672764209086,0.212,0.024,0,"0","KCNK1"
0,2.86839334982782,0.348,0.049,0,"0","TMEM176B"
1.19890245320327e-274,2.6975697528545,0.173,0.018,1.07914408715279e-269,"0","RETREG1"
3.03867774154301e-186,2.3665865573886,0.117,0.012,2.73514422194028e-181,"0","SDR16C5"
5.16333433335676e-279,2.3593451612867,0.216,0.033,4.64756886679776e-274,"0","SLAMF1"
1.28663596202261e-161,2.31566468356179,0.114,0.015,1.15811389577617e-156,"0","HS3ST3A1"
0,2.31270145821325,0.507,0.105,0,"0","CPE"
0,2.29321963054042,0.602,0.173,0,"0","PTGDS"
0,2.25919642369654,0.339,0.061,0,"0","IL18R1"
0,2.24639947070049,0.232,0.03,0,"0","LIPG"
2.12948389850163e-163,2.22141127659868,0.136,0.022,1.9167697518803e-158,"0","SLCO5A1"
0,2.22113185247188,0.414,0.074,0,"0","SNAP25"
3.2314482044141e-224,2.1809789223394,0.154,0.019,2.90865884327517e-219,"0","SLC8A3"
0,2.15788646056782,0.322,0.052,0,"0","LINC02940"
0,2.00487444685267,0.298,0.043,0,"0","TTC39A"
0,1.99515852107214,0.333,0.071,0,"0","CYP7B1"
6.73097057785764e-120,1.97144132650787,0.119,0.024,6.05861392683544e-115,"0","SLC12A8"
1.81913677266009e-157,1.94365994948978,0.111,0.014,1.63742320043907e-152,"0","PRRX2"
7.6314682438309e-236,1.91505763968102,0.188,0.029,6.86916088095463e-231,"0","PTGES"
0,1.89743613705611,0.55,0.17,0,"0","HMOX1"
1.95449902615207e-220,1.89514924777795,0.161,0.022,1.75926411842974e-215,"0","IL7R"
1.02034021649167e-168,1.88599022206673,0.118,0.015,9.18418432266314e-164,"0","CCL15"
0,1.84121828691729,0.936,0.353,0,"0","SELE"
4.51321125533111e-161,1.83956643682077,0.128,0.02,4.06238658303608e-156,"0","VDR"
0,1.83177461865244,0.38,0.101,0,"0","SLIT2"
0,1.82824422600918,0.55,0.157,0,"0","CSF3"
0,1.82177627391923,0.293,0.054,0,"0","CDH11"
5.27812440865355e-184,1.80811325848222,0.177,0.035,4.75089256147315e-179,"0","TNIP3"
0,1.80549865044421,0.842,0.345,0,"0","LITAF"
1.17823236962425e-169,1.79553773046758,0.164,0.033,1.06053873822249e-164,"0","IL34"
0,1.76564709300036,0.451,0.105,0,"0","FAM110B"
1.11974833660766e-258,1.76554923868552,0.205,0.031,1.00789667526392e-253,"0","PCDH7"
0,1.7642933510632,0.362,0.077,0,"0","PLA1A"
2.6836811738569e-155,1.72793877309502,0.164,0.036,2.41560826140033e-150,"0","HAS2"
1.02716205299495e-302,1.7039891640039,0.418,0.127,9.24558835521281e-298,"0","LCN6"
0,1.70164692482916,0.35,0.084,0,"0","CDKN3"
9.10616015912145e-176,1.69394665669389,0.139,0.021,8.19654582082681e-171,"0","RTN1"
3.19052012432194e-97,1.675755553367,0.1,0.021,2.87181906910342e-92,"0","HMGB1P21"
0,1.66890737906218,0.369,0.088,0,"0","KIF26B"
7.6090748517193e-122,1.66157214758321,0.143,0.035,6.84900436478106e-117,"0","TSLP"
7.63481983436084e-120,1.65146292532358,0.102,0.017,6.87217768110654e-115,"0","MROCKI"
0,1.64781004072336,0.796,0.222,0,"0","SELP"
9.65965052563911e-109,1.64331561287743,0.127,0.031,8.69474803463302e-104,"0","NCR3LG1"
0,1.64076957337598,0.525,0.112,0,"0","LINC02147"
9.62587699076321e-163,1.63645922646453,0.163,0.033,8.66434813815588e-158,"0","OLFM2"
3.42426029688359e-317,1.62193638966701,0.442,0.14,3.08221093582789e-312,"0","DLGAP1"
0,1.6135010677929,0.402,0.101,0,"0","TMEM54"
0,1.6070097307336,0.994,0.711,0,"0","LINC-PINT"
