"orig.ident","n_cells","sample_id_nonmissing_cells","sample_id_missing_cells","n_sample_id_nonmissing","sample_id_values","dataset_values"
"CNP0000460_P01N",45,0,45,0,"","CNP0000460"
"CNP0000460_P01T",46,0,46,0,"","CNP0000460"
"CNP0000460_P02N",2,0,2,0,"","CNP0000460"
"CNP0000460_P02T",15,0,15,0,"","CNP0000460"
"CNP0000460_P03N",16,0,16,0,"","CNP0000460"
"CNP0000460_P03T",14,0,14,0,"","CNP0000460"
"CNP0000460_P04T",54,0,54,0,"","CNP0000460"
"CNP0000460_P05N",3,0,3,0,"","CNP0000460"
"CNP0000460_P05T",103,0,103,0,"","CNP0000460"
"CNP0000460_P06T",104,0,104,0,"","CNP0000460"
"CNP0000460_P07N",21,0,21,0,"","CNP0000460"
"CNP0000460_P07T",211,0,211,0,"","CNP0000460"
"GSE326225_BC1",9,0,9,0,"","GSE326225"
"GSE326225_BC2",8,0,8,0,"","GSE326225"
"GSE326225_BC3",15,0,15,0,"","GSE326225"
"GSE326225_BC4",6,0,6,0,"","GSE326225"
"GSE326225_BC6",132,0,132,0,"","GSE326225"
"GSE326225_BC7",161,0,161,0,"","GSE326225"
"GSE326225_BC8",4,0,4,0,"","GSE326225"
"HRA003620_BC-01",5,0,5,0,"","HRA003620"
"HRA003620_BC-04",35,0,35,0,"","HRA003620"
"HRA003620_BC-05",2,0,2,0,"","HRA003620"
"HRA003620_BC-11",4,0,4,0,"","HRA003620"
"HRA003620_BC-24",12,0,12,0,"","HRA003620"
"HRA003620_BC-27",34,0,34,0,"","HRA003620"
"HRA003620_BC-30",6,0,6,0,"","HRA003620"
"HRA003620_NC-04",85,0,85,0,"","HRA003620"
"HRA003620_NC-05",92,0,92,0,"","HRA003620"
"HRA003620_NC-11",43,0,43,0,"","HRA003620"
"HRA003620_NC-24",65,0,65,0,"","HRA003620"
"HRA003620_NC-27",65,0,65,0,"","HRA003620"
"HRA003620_NC-30",256,0,256,0,"","HRA003620"
"PRJNA662018_PRJNA662018_P1N1",2616,2616,0,1,"PRJNA662018_PRJNA662018_P1N1","PRJNA662018"
"PRJNA662018_PRJNA662018_P1T1",961,961,0,1,"PRJNA662018_PRJNA662018_P1T1","PRJNA662018"
"PRJNA662018_PRJNA662018_P2T2",2629,2629,0,1,"PRJNA662018_PRJNA662018_P2T2","PRJNA662018"
"PRJNA662018_PRJNA662018_P3N3",1262,1262,0,1,"PRJNA662018_PRJNA662018_P3N3","PRJNA662018"
"PRJNA662018_PRJNA662018_P3T3",1214,1214,0,1,"PRJNA662018_PRJNA662018_P3T3","PRJNA662018"
"PRJNA662018_PRJNA662018_P4T4",1003,1003,0,1,"PRJNA662018_PRJNA662018_P4T4","PRJNA662018"
"PRJNA662018_PRJNA662018_P5T5",305,305,0,1,"PRJNA662018_PRJNA662018_P5T5","PRJNA662018"
"PRJNA662018_PRJNA662018_P6N2",1261,1261,0,1,"PRJNA662018_PRJNA662018_P6N2","PRJNA662018"
"PRJNA662018_PRJNA662018_P6T6",189,189,0,1,"PRJNA662018_PRJNA662018_P6T6","PRJNA662018"
"PRJNA662018_PRJNA662018_P7T7",159,159,0,1,"PRJNA662018_PRJNA662018_P7T7","PRJNA662018"
"PRJNA662018_PRJNA662018_P8T8",56,56,0,1,"PRJNA662018_PRJNA662018_P8T8","PRJNA662018"
"T4091568",134,0,134,0,"","InhouseData"
"T4295396",22,0,22,0,"","InhouseData"
"T4380845",59,0,59,0,"","InhouseData"
"T4398343",96,0,96,0,"","InhouseData"
"T4450398",24,0,24,0,"","InhouseData"
"T4463209a",100,0,100,0,"","InhouseData"
"T4463209b",73,0,73,0,"","InhouseData"
"T4465219",96,0,96,0,"","InhouseData"
"T4465935",12,0,12,0,"","InhouseData"
"T4466585",31,0,31,0,"","InhouseData"
"T4469479",147,0,147,0,"","InhouseData"
"T4471438",1105,0,1105,0,"","InhouseData"
"T8009218",69,0,69,0,"","InhouseData"
