"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"0","CNP0000460",60,0.2,"dataset","dataset",0.0104766893661603
"1","CNP0000460",229,0.2,"dataset","dataset",0.0637350403562483
"2","CNP0000460",236,0.2,"dataset","dataset",0.098456403838131
"3","CNP0000460",0,0.2,"dataset","dataset",0
"4","CNP0000460",57,0.2,"dataset","dataset",0.0454183266932271
"5","CNP0000460",41,0.2,"dataset","dataset",0.046119235095613
"6","CNP0000460",137,0.2,"dataset","dataset",0.23951048951049
"7","CNP0000460",43,0.2,"dataset","dataset",0.0951327433628319
"8","CNP0000460",6,0.2,"dataset","dataset",0.0220588235294118
"9","CNP0000460",9,0.2,"dataset","dataset",0.0409090909090909
"0","GSE326225",30,0.2,"dataset","dataset",0.00523834468308015
"1","GSE326225",98,0.2,"dataset","dataset",0.027275257445032
"2","GSE326225",129,0.2,"dataset","dataset",0.0538172715894869
"3","GSE326225",19,0.2,"dataset","dataset",0.0114320096269555
"4","GSE326225",49,0.2,"dataset","dataset",0.0390438247011952
"5","GSE326225",23,0.2,"dataset","dataset",0.0258717660292463
"6","GSE326225",10,0.2,"dataset","dataset",0.0174825174825175
"7","GSE326225",0,0.2,"dataset","dataset",0
"8","GSE326225",17,0.2,"dataset","dataset",0.0625
"9","GSE326225",10,0.2,"dataset","dataset",0.0454545454545455
"0","HRA003620",421,0.2,"dataset","dataset",0.0735114370525581
"1","HRA003620",17,0.2,"dataset","dataset",0.00473142220985249
"2","HRA003620",48,0.2,"dataset","dataset",0.0200250312891114
"3","HRA003620",0,0.2,"dataset","dataset",0
"4","HRA003620",109,0.2,"dataset","dataset",0.0868525896414343
"5","HRA003620",58,0.2,"dataset","dataset",0.0652418447694038
"6","HRA003620",29,0.2,"dataset","dataset",0.0506993006993007
"7","HRA003620",106,0.2,"dataset","dataset",0.234513274336283
"8","HRA003620",28,0.2,"dataset","dataset",0.102941176470588
"9","HRA003620",3,0.2,"dataset","dataset",0.0136363636363636
"0","InhouseData",2,0.2,"dataset","dataset",0.00034922297887201
"1","InhouseData",61,0.2,"dataset","dataset",0.0169774561647648
"2","InhouseData",92,0.2,"dataset","dataset",0.0383813099707968
"3","InhouseData",1643,0.2,"dataset","dataset",0.988567990373045
"4","InhouseData",46,0.2,"dataset","dataset",0.0366533864541833
"5","InhouseData",118,0.2,"dataset","dataset",0.132733408323959
"6","InhouseData",93,0.2,"dataset","dataset",0.162587412587413
"7","InhouseData",110,0.2,"dataset","dataset",0.243362831858407
"8","InhouseData",53,0.2,"dataset","dataset",0.194852941176471
"9","InhouseData",14,0.2,"dataset","dataset",0.0636363636363636
"0","PRJNA662018",5214,0.2,"dataset","dataset",0.91042430591933
"1","PRJNA662018",3188,0.2,"dataset","dataset",0.887280823824102
"2","PRJNA662018",1892,0.2,"dataset","dataset",0.789319983312474
"3","PRJNA662018",0,0.2,"dataset","dataset",0
"4","PRJNA662018",994,0.2,"dataset","dataset",0.79203187250996
"5","PRJNA662018",649,0.2,"dataset","dataset",0.730033745781777
"6","PRJNA662018",303,0.2,"dataset","dataset",0.52972027972028
"7","PRJNA662018",193,0.2,"dataset","dataset",0.426991150442478
"8","PRJNA662018",168,0.2,"dataset","dataset",0.617647058823529
"9","PRJNA662018",184,0.2,"dataset","dataset",0.836363636363636
"0","CNP0000460_P01N",13,0.2,"specimen_orig_ident","orig.ident",0.00226994936266806
"1","CNP0000460_P01N",4,0.2,"specimen_orig_ident","orig.ident",0.00111327581408294
"2","CNP0000460_P01N",17,0.2,"specimen_orig_ident","orig.ident",0.00709219858156028
"3","CNP0000460_P01N",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P01N",7,0.2,"specimen_orig_ident","orig.ident",0.00557768924302789
"5","CNP0000460_P01N",3,0.2,"specimen_orig_ident","orig.ident",0.00337457817772778
"6","CNP0000460_P01N",13,0.2,"specimen_orig_ident","orig.ident",0.0227272727272727
"7","CNP0000460_P01N",4,0.2,"specimen_orig_ident","orig.ident",0.00884955752212389
"8","CNP0000460_P01N",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P01N",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P01T",2,0.2,"specimen_orig_ident","orig.ident",0.00034922297887201
"1","CNP0000460_P01T",26,0.2,"specimen_orig_ident","orig.ident",0.0072362927915391
"2","CNP0000460_P01T",14,0.2,"specimen_orig_ident","orig.ident",0.00584063412599082
"3","CNP0000460_P01T",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P01T",4,0.2,"specimen_orig_ident","orig.ident",0.00318725099601594
"5","CNP0000460_P01T",1,0.2,"specimen_orig_ident","orig.ident",0.00112485939257593
"6","CNP0000460_P01T",5,0.2,"specimen_orig_ident","orig.ident",0.00874125874125874
"7","CNP0000460_P01T",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P01T",1,0.2,"specimen_orig_ident","orig.ident",0.00367647058823529
"9","CNP0000460_P01T",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"1","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"2","CNP0000460_P02N",2,0.2,"specimen_orig_ident","orig.ident",0.000834376303712975
"3","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P02N",1,0.2,"specimen_orig_ident","orig.ident",0.00112485939257593
"6","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"7","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"0","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
"1","CNP0000460_P02T",5,0.2,"specimen_orig_ident","orig.ident",0.00139159476760367
"2","CNP0000460_P02T",7,0.2,"specimen_orig_ident","orig.ident",0.00292031706299541
"3","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
"4","CNP0000460_P02T",3,0.2,"specimen_orig_ident","orig.ident",0.00239043824701195
"5","CNP0000460_P02T",2,0.2,"specimen_orig_ident","orig.ident",0.00224971878515186
"6","CNP0000460_P02T",4,0.2,"specimen_orig_ident","orig.ident",0.00699300699300699
"7","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
"8","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
"9","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
