"cluster","dataset","n_cells","cluster_dataset_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag","audit_threshold"
"0","CNP0000460",13,0.00698174006444683,0.0480075121779447,0.145430157650501,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","CNP0000460",8,0.00435729847494553,0.0480075121779447,0.0907628468393606,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","CNP0000460",106,0.0686973428386261,0.0480075121779447,1.43097069025348,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","CNP0000460",17,0.0114170584284755,0.0480075121779447,0.237818164502193,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","CNP0000460",169,0.117361111111111,0.0480075121779447,2.4446405528389,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","CNP0000460",0,0,0.0480075121779447,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","CNP0000460",73,0.061864406779661,0.0480075121779447,1.28864013095189,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","CNP0000460",18,0.0156657963446475,0.0480075121779447,0.326319686939424,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","CNP0000460",44,0.0403669724770642,0.0480075121779447,0.840846997599874,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","CNP0000460",41,0.0460674157303371,0.0480075121779447,0.95958764869097,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","CNP0000460",89,0.105200945626478,0.0480075121779447,2.19134341385031,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","CNP0000460",137,0.23951048951049,0.0480075121779447,4.98902106451006,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","CNP0000460",43,0.0951327433628319,0.0480075121779447,1.98162202219962,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","CNP0000460",0,0,0.0480075121779447,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","CNP0000460",6,0.0213523131672598,0.0480075121779447,0.444770249458361,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","CNP0000460",9,0.0398230088495575,0.0480075121779447,0.829516195339377,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"16","CNP0000460",13,0.0828025477707006,0.0480075121779447,1.72478314360021,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"17","CNP0000460",12,0.0851063829787234,0.0480075121779447,1.77277219996879,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"18","CNP0000460",5,0.045045045045045,0.0480075121779447,0.938291592325822,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"19","CNP0000460",15,0.137614678899083,0.0480075121779447,2.86652385545412,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","GSE326225",1,0.000537056928034372,0.0225952227243383,0.0237686051864355,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","GSE326225",7,0.00381263616557734,0.0225952227243383,0.168736383442266,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","GSE326225",54,0.0349967595593001,0.0225952227243383,1.54885658735302,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","GSE326225",7,0.00470114170584285,0.0225952227243383,0.208059100067159,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","GSE326225",77,0.0534722222222222,0.0225952227243383,2.36652777777778,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","GSE326225",10,0.00812347684809098,0.0225952227243383,0.359521875362655,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","GSE326225",57,0.0483050847457627,0.0225952227243383,2.13784503631961,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","GSE326225",8,0.00696257615317668,0.0225952227243383,0.308143727464876,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","GSE326225",42,0.0385321100917431,0.0225952227243383,1.70532110091743,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","GSE326225",23,0.0258426966292135,0.0225952227243383,1.14372391653291,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","GSE326225",34,0.0401891252955083,0.0225952227243383,1.77865585950692,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","GSE326225",10,0.0174825174825175,0.0225952227243383,0.773726273726274,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","GSE326225",0,0,0.0225952227243383,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","GSE326225",9,0.0207373271889401,0.0225952227243383,0.917774851876234,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","GSE326225",17,0.0604982206405694,0.0225952227243383,2.67747839349263,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","GSE326225",10,0.0442477876106195,0.0225952227243383,1.9582806573957,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"16","GSE326225",7,0.0445859872611465,0.0225952227243383,1.97324840764331,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"17","GSE326225",3,0.0212765957446809,0.0225952227243383,0.941641337386018,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"18","GSE326225",0,0,0.0225952227243383,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"19","GSE326225",9,0.0825688073394495,0.0225952227243383,3.65425950196592,TRUE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","HRA003620",61,0.0327604726100967,0.0480662010681378,0.681569832482829,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","HRA003620",163,0.0887799564270152,0.0480662010681378,1.84703501533567,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","HRA003620",3,0.00194426441996111,0.0480662010681378,0.0404497209422679,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","HRA003620",171,0.114842175957018,0.0480662010681378,2.38925010516683,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","HRA003620",6,0.00416666666666667,0.0480662010681378,0.0866859991859992,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","HRA003620",0,0,0.0480662010681378,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","HRA003620",63,0.0533898305084746,0.0480662010681378,1.11075619295958,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","HRA003620",6,0.00522193211488251,0.0480662010681378,0.108640416734412,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","HRA003620",99,0.0908256880733945,0.0480662010681378,1.88959572537554,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","HRA003620",58,0.0651685393258427,0.0480662010681378,1.35580798726866,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
