"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.70775101867463,0.545,0.08,0,"0","CSF3"
0,3.48478303580529,0.586,0.131,0,"0","IL6"
0,3.1066127762301,0.256,0.03,0,"0","ENSG00000288520"
0,3.01190103486392,0.423,0.047,0,"0","CCL23"
0,3.00671657997278,0.579,0.078,0,"0","HLA-DQA2"
0,2.99171600103279,0.509,0.05,0,"0","C7"
0,2.96342780237359,0.979,0.289,0,"0","ACKR1"
7.31376978623085e-166,2.92490039980962,0.122,0.021,6.58319732228425e-161,"0","MADCAM1"
5.11212739934745e-300,2.91746952120747,0.178,0.021,4.60147699342664e-295,"0","SEMA3E"
2.03124705027753e-316,2.90615864424511,0.176,0.017,1.82834578242531e-311,"0","MLIP"
0,2.82100761450375,0.223,0.034,0,"0","NPHS1"
0,2.68626545093657,0.24,0.039,0,"0","TMEM176A"
0,2.68059482314232,0.201,0.022,0,"0","ENSG00000288775"
0,2.5962751746975,0.373,0.07,0,"0","RYR3"
0,2.59600587720019,0.909,0.249,0,"0","SELE"
0,2.54779715437106,0.321,0.042,0,"0","C1QTNF1"
1.26392508637279e-283,2.46724944797268,0.18,0.024,1.13767160949501e-278,"0","LIPG"
2.19249808198866e-224,2.46666913798969,0.168,0.03,1.97348944857882e-219,"0","SLAMF1"
0,2.43982634959262,0.414,0.075,0,"0","CPE"
4.72651312125607e-168,2.43472747247237,0.108,0.014,4.2543817255738e-163,"0","SLCO5A1"
7.37766681276698e-135,2.44144220685252,0.121,0.025,6.64071167483969e-130,"1","PDGFDDN"
8.51094364979649e-191,2.25419564622583,0.159,0.031,7.66078548861832e-186,"1","ENSG00000250863"
2.64430368717452e-100,2.13782194176252,0.105,0.025,2.38016419186266e-95,"1","ENSG00000251388"
5.86942883915892e-247,2.09353098167569,0.266,0.07,5.28313159241534e-242,"1","FCN3"
0,2.09224162364373,0.408,0.113,0,"1","ENSG00000248636"
4.03000831324005e-85,2.08571559361217,0.13,0.043,3.6274507828305e-80,"1","APLN"
9.15306354133618e-220,2.07134253203526,0.286,0.091,8.23876402419211e-215,"1","COL13A1"
6.9785753329224e-216,2.02548208975086,0.249,0.07,6.28148544291678e-211,"1","HAPLN1"
2.37770100031496e-140,2.01023416189759,0.192,0.06,2.1401924473935e-135,"1","ENSG00000226149"
7.1571887292523e-98,1.96627786944363,0.107,0.027,6.44225714708729e-93,"1","ENSG00000267009"
