"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.86227569028174,0.984,0.311,0,"0","ACKR1"
0,2.48740607828872,0.922,0.267,0,"0","SELE"
0,2.09834644486133,0.757,0.147,0,"0","SELP"
0,2.06001860423233,0.813,0.254,0,"0","ENSG00000286533"
0,2.03690941300952,0.882,0.324,0,"0","CLU"
0,1.78731367123428,0.786,0.245,0,"0","TLL1"
0,1.84814127846946,0.699,0.183,0,"0","VCAM1"
0,1.95879650049484,0.982,0.471,0,"0","ZNF385D"
0,2.90237313946681,0.595,0.088,0,"0","HLA-DQA2"
0,1.62242070196995,0.921,0.416,0,"0","NNMT"
0,1.97685481999809,0.685,0.182,0,"0","HAPLN3"
0,1.64721918536938,0.715,0.212,0,"0","IL33"
0,2.04393256186988,0.652,0.15,0,"0","IL1R1"
0,1.85775403276243,0.681,0.182,0,"0","ELOVL7"
0,1.41235427278828,0.882,0.392,0,"0","RND1"
0,1.37700593929367,0.825,0.335,0,"0","HLA-DMA"
0,3.6987969587077,0.572,0.085,0,"0","CSF3"
0,1.55429339837114,0.662,0.184,0,"0","HLA-DQA1"
0,2.86879452669644,0.531,0.057,0,"0","C7"
0,1.66401043813054,0.881,0.411,0,"0","CEBPD"
0,1.37190314624506,0.712,0.244,0,"0","HLA-DQB1"
0,1.42828596775854,0.917,0.454,0,"0","HLA-DPA1"
0,1.49344359845016,0.928,0.466,0,"0","HLA-DPB1"
0,3.43996884026802,0.602,0.14,0,"0","IL6"
0,1.53399426688389,0.818,0.359,0,"0","MARCHF3"
0,1.87088069818689,0.615,0.157,0,"0","OLFM1"
0,1.86163822274181,0.971,0.513,0,"0","ICAM1"
0,1.65979301758527,0.765,0.31,0,"0","CSRP2"
0,0.911352517011209,0.864,0.413,0,"0","PRCP"
0,0.806203844375155,0.608,0.157,0,"0","CCL14"
0,1.45168816620916,0.749,0.299,0,"0","C2CD4B"
0,1.19419239438352,0.856,0.409,0,"0","EVA1C"
0,1.0896028232541,0.832,0.385,0,"0","NFKBIZ"
0,0.652142137148852,0.794,0.348,0,"0","TFPI"
0,1.57860725833819,0.739,0.298,0,"0","CXCL2"
0,1.66020276086951,0.584,0.143,0,"0","MEOX1"
0,1.53388585256287,0.773,0.336,0,"0","PHLDA1"
0,1.14564765624197,0.958,0.523,0,"0","HLA-DRB1"
0,1.83306880861117,0.589,0.156,0,"0","TACR1"
0,1.64391404583525,0.601,0.171,0,"0","BIRC3"
0,1.48863297190383,0.9,0.476,0,"0","IER3"
0,1.66360798519089,0.751,0.328,0,"0","HLA-DRB6.1"
0,1.19483443234857,0.726,0.304,0,"0","TSPAN7"
0,1.00355093904161,0.732,0.311,0,"0","SNTG2"
0,0.720793523319672,0.59,0.173,0,"0","MMRN1"
0,1.35086593805278,0.933,0.521,0,"0","PALM2AKAP2"
0,0.545866094370475,0.645,0.234,0,"0","CNKSR3"
0,1.43622109089387,0.904,0.494,0,"0","SAMD4A"
0,0.908155877308444,0.705,0.295,0,"0","SERPING1"
0,1.16464994127146,0.826,0.417,0,"0","DUSP23"
0,1.24582228697528,0.761,0.353,0,"0","PMP22"
0,1.25948654305971,0.699,0.291,0,"0","CPXM2"
0,1.58741305878571,0.975,0.569,0,"0","HLA-DRA"
0,1.25976265454075,0.67,0.267,0,"0","GNG12"
