"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.43606548199308,0.306,0.024,0,"0","MADCAM1"
0,4.34692324177986,0.15,0.007,0,"0","SLC51B"
0,2.95070186130279,0.395,0.071,0,"0","TMEM176A"
0,2.54267985646507,0.407,0.08,0,"0","TMEM176B"
5.74664980201428e-202,2.50183090055951,0.158,0.02,5.17261695329108e-197,"0","SDR16C5"
4.72650740330069e-264,2.47787888570916,0.268,0.048,4.25437657878498e-259,"0","KCNK1"
9.97733216279337e-159,2.34080366775515,0.142,0.021,8.98069645305194e-154,"0","HS3ST3A1"
7.42823345150522e-174,2.31693573402643,0.155,0.023,6.68622721203437e-169,"0","CCL15"
4.72224885866393e-135,2.20329825844547,0.157,0.031,4.25054342017199e-130,"0","SLC12A8"
2.38668587126662e-131,2.13598316627613,0.102,0.013,2.14827981958579e-126,"0","KCNE4"
5.45646953501201e-138,2.11001530608802,0.12,0.017,4.91142279315966e-133,"0","ENSG00000286791"
2.50592678137307e-159,2.08751084571383,0.263,0.073,2.25560975518171e-154,"0","ENSG00000188897"
0,2.07576908596833,0.619,0.216,0,"0","PTGDS"
6.54884334735103e-166,2.04344018122442,0.236,0.057,5.89467938538414e-161,"0","SLAMF1"
4.16782001263492e-269,1.99693680955387,0.343,0.078,3.75149647157282e-264,"0","LINC02940"
2.02195562296756e-146,1.95667596611758,0.184,0.039,1.81998247578933e-141,"0","RETREG1"
2.52026007012014e-307,1.95188601322449,0.35,0.071,2.26851129171584e-302,"0","CDH11"
3.52472463662355e-302,1.90389679247035,0.425,0.108,3.17263989267123e-297,"0","SNAP25"
1.76471156071134e-236,1.87400728057119,0.46,0.156,1.58843452291188e-231,"0","CPE"
2.84977939777838e-246,1.8651366042375,0.367,0.096,2.5651149337343e-241,"0","IL18R1"
0,4.38250881134572,0.156,0.008,0,"1","GABRA2"
1.26146876965301e-282,2.99809016664676,0.278,0.049,1.13546065425237e-277,"1","SEMA3E"
0,2.75962146470583,0.776,0.224,0,"1","IL6"
4.59981543814899e-229,2.68400834885455,0.303,0.073,4.14033987403229e-224,"1","NPHS1"
5.51245381283731e-102,2.57699724034304,0.125,0.026,4.96181480147299e-97,"1","CADM3"
5.43486369854908e-290,2.56081610242648,0.347,0.077,4.89197516370101e-285,"1","ENSG00000288520"
5.19277422627024e-124,2.45166915214837,0.178,0.043,4.6740680088081e-119,"1","ALDH1A2"
3.33469251438036e-82,2.44062578619633,0.117,0.028,3.00159007911891e-77,"1","ENSG00000301622"
4.3311550640021e-175,2.40568640069697,0.288,0.083,3.89851598465893e-170,"1","ENSG00000249175"
1.81842103924415e-104,2.3967515136419,0.148,0.035,1.63677896163405e-99,"1","ENSG00000265799"
5.19382946188947e-257,2.35533372897218,0.288,0.057,4.67501783694133e-252,"1","ENSG00000288775"
5.00198253434215e-81,2.3185734628934,0.105,0.023,4.50233449898671e-76,"1","ENSG00000286872"
3.15987712227316e-192,2.31039925986078,0.27,0.067,2.84423699652929e-187,"1","ENSG00000240291"
4.13225545110478e-85,2.30013688524497,0.178,0.058,3.71948445409392e-80,"1","ENSG00000289009"
5.45829577590498e-305,2.25266098344232,0.493,0.156,4.91306661084983e-300,"1","ENSG00000255872"
1.82516529956439e-157,2.23737882862161,0.181,0.036,1.6428495377909e-152,"1","ENSG00000228521"
3.61214183417825e-233,2.22765417779284,0.361,0.102,3.25132498636219e-228,"1","SNHG26"
3.48166778756242e-83,2.18077510347689,0.102,0.021,3.13388399226281e-78,"1","CATSPERD"
0,2.16989133643476,0.603,0.203,0,"1","HLA-DQA2"
0,2.1671582960398,0.608,0.191,0,"1","CSF3"
0,2.66288176140035,0.449,0.1,0,"2","COL13A1"
3.9192455544067e-118,2.59881507658166,0.115,0.017,3.52775211597702e-113,"2","BMP7"
0,2.56442232465146,0.4,0.078,0,"2","HAPLN1"
7.52491542611599e-208,2.27262061947541,0.342,0.088,6.77325162420127e-203,"2","FCN3"
1.84731105357372e-183,2.09320133723092,0.417,0.148,1.66278315243224e-178,"2","P2RY6"
1.67225606928576e-148,2.08502016765089,0.194,0.039,1.50521441052481e-143,"2","ENSG00000302423"
1.92408399720472e-270,2.03091615520079,0.487,0.144,1.73188724672394e-265,"2","ENSG00000248636"
6.35777532914435e-89,1.92498521327914,0.176,0.049,5.72269715151612e-84,"2","EDIL3-DT"
1.90907568070301e-238,1.92325684752799,0.521,0.178,1.71837811095759e-233,"2","ITIH5"
3.05262142878077e-113,1.91614167414644,0.186,0.045,2.74769507425986e-108,"2","ENSG00000250863"
3.98533104905509e-78,1.89043087188233,0.131,0.032,3.58723633056498e-73,"2","CRMP1"
3.12034562223346e-48,1.88463860693391,0.113,0.035,2.80865429802856e-43,"2","ENSG00000251388"
8.0761480559522e-108,1.83828663021084,0.199,0.053,7.26942162664313e-103,"2","CABP1"
2.69268727390408e-130,1.76121368878799,0.251,0.07,2.4237147421138e-125,"2","ENSG00000308547"
3.23935979930881e-107,1.75967816262612,0.18,0.044,2.91578014895585e-102,"2","TMEM37"
1.60485209422574e-186,1.74040935510412,0.424,0.143,1.44454341853353e-181,"2","THY1"
4.85332116915669e-38,1.72810376407228,0.102,0.034,4.36852291756963e-33,"2","TPPP3"
4.74757427312386e-53,1.71533807391006,0.116,0.034,4.27333907898152e-48,"2","PASK"
1.2155084286551e-172,1.69281518814564,0.445,0.163,1.09409129171675e-167,"2","TMEM233"
1.36696661448627e-226,1.68365901516988,0.395,0.103,1.23042031936523e-221,"2","ADAMTSL2"
1.77446373367364e-155,2.57261963478386,0.166,0.027,1.59721255131698e-150,"3","KLHL13"
2.19174167118019e-265,2.55259833211297,0.289,0.048,1.972808595646e-260,"3","HAS2"
0,2.30704049579888,0.547,0.136,0,"3","RYR3"
0,2.23280079911971,0.343,0.055,0,"3","PLCXD3"
4.9237417789789e-275,2.08607721622082,0.596,0.201,4.43190921267669e-270,"3","CSF3"
5.57466702298968e-120,2.08411114759265,0.178,0.039,5.01781353406324e-115,"3","NLGN1"
1.10252934837985e-289,2.05687396376519,0.465,0.116,9.92397691770184e-285,"3","MEOX2"
1.36792706134284e-96,2.05056188837629,0.154,0.036,1.23128482718531e-91,"3","SLCO5A1"
5.77622571463209e-176,2.04051995403263,0.263,0.058,5.19923852799749e-171,"3","LIPG"
0,2.017874469775,0.848,0.295,0,"3","VCAM1"
7.73257812363817e-106,2.00868169701312,0.157,0.034,6.96017089486796e-101,"3","ENSG00000290551"
2.22748873162953e-128,1.99719352996686,0.172,0.034,2.00498488222705e-123,"3","SLC8A3"
5.49887899749836e-167,1.98080829575073,0.247,0.054,4.94959597443825e-162,"3","MLIP"
1.70884178692276e-171,1.96344792617017,0.302,0.077,1.53814558082704e-166,"3","SDK1"
2.72538507302133e-155,1.95984291122189,0.23,0.05,2.45314635807723e-150,"3","CHODL"
9.6800624560703e-99,1.93765327999748,0.166,0.04,8.71312101733344e-94,"3","AGMO"
0,1.93617426230233,0.609,0.166,0,"3","C7"
1.62442682047504e-231,1.93329100498005,0.449,0.131,1.46216282537778e-226,"3","SLIT2"
7.96091418827231e-248,1.93210720140098,0.416,0.106,7.16569847000579e-243,"3","PLA1A"
3.5825521766661e-276,1.92695771829335,0.658,0.248,3.22469103973893e-271,"3","IL6"
1.90616662286443e-05,1.77789794629499,0.072,0.117,1,"4","ACTA2"
4.94565615202627e-05,1.57525652835678,0.109,0.164,1,"4","CD24"
7.06708117417885e-07,1.41860500358928,0.066,0.115,0.0636115043569012,"4","COL3A1"
2.92084529869839e-10,1.39538164777074,0.056,0.117,2.62908206181141e-05,"4","PHKG1"
1.23045014263478e-07,1.36313238197703,0.29,0.466,0.0110754047788699,"4","IGHG1"
4.2461803742991e-07,1.34572759312232,0.166,0.131,0.0382202941671036,"4","ENSG00000229308"
4.88697176189431e-08,1.34403214244466,0.136,0.223,0.00439881215259868,"4","C1orf56"
8.57646588864621e-09,1.26979739211099,0.057,0.111,0.000771976271102934,"4","TPSB2"
2.39489810650732e-08,1.24093397920623,0.072,0.13,0.0021556717346483,"4","TPM2"
0.000640146527558886,1.21887684406523,0.071,0.106,1,"4","PTPRG-AS1"
9.81794688782675e-34,1.20159290811663,0.681,0.796,8.83723217320174e-29,"4","IGKC"
3.98255859886645e-09,1.20072696759091,0.225,0.374,0.000358474082042568,"4","SNHG25"
3.07268766889771e-10,1.15866381152024,0.068,0.134,2.76575689765152e-05,"4","COL1A2"
1.60515376970616e-09,1.12518795142488,0.053,0.108,0.000144481495965021,"4","COL1A1"
0.00709218658388437,1.10066197538143,0.176,0.237,1,"4","HOXD9"
2.00746480479129e-08,1.09428277841214,0.069,0.128,0.00180693914544069,"4","USHBP1"
0.00764565699371095,1.09297818433399,0.458,0.606,1,"4","IGLC2"
1.56901549059294e-12,1.08853155243477,0.047,0.11,1.41228653323762e-07,"4","EIF4ENIF1"
2.28808893068956e-10,1.06814181770384,0.052,0.11,2.05953172740298e-05,"4","PIGX"
0.00185395804603797,1.0661224255341,0.07,0.101,1,"4","IGHGP"
0,6.31662835022187,0.175,0.002,0,"5","AC093817.2"
3.76922916730844e-305,6.17615883135926,0.102,0.001,3.392720865786e-300,"5","AC080132.1"
0,6.0308370499044,0.171,0.002,0,"5","AL138689.2"
0,6.00329607821372,0.225,0.003,0,"5","AP002989.1"
0,5.98968592761917,0.391,0.007,0,"5","AC017002.5"
0,5.62386521758012,0.305,0.006,0,"5","AL356124.1"
0,5.5602862830355,0.147,0.002,0,"5","AC114757.1"
0,5.48659013647342,0.212,0.004,0,"5","AL365214.2"
0,5.45103970705776,0.573,0.013,0,"5","AC002070.1"
0,5.30507995513149,0.471,0.011,0,"5","AC083855.2"
5.72187916426803e-315,5.18805155641567,0.118,0.002,5.15032065454929e-310,"5","AC004918.1"
0,5.15294846981445,0.579,0.017,0,"5","AC119674.1"
3.58402817453727e-273,5.13559321208698,0.102,0.002,3.22601960018274e-268,"5","AP000695.2"
3.47288052056702e-296,5.11802317249131,0.115,0.003,3.12597448536758e-291,"5","AC079380.1"
0,5.06990803446172,0.225,0.006,0,"5","AC008050.1"
0,5.05133334795427,0.375,0.009,0,"5","AP001528.1"
0,5.03482046608219,0.121,0.002,0,"5","AL137186.2"
0,5.01489057448653,0.725,0.025,0,"5","SLC9A3R2"
0,4.99774560910759,0.371,0.009,0,"5","ST5"
0,4.99229998992029,0.415,0.012,0,"5","AC010737.1"
6.48291280290869e-05,1.86764445829137,0.119,0.091,1,"6","CADM3-AS1"
0.000405371446525857,1.66208182029799,0.114,0.089,1,"6","TPO"
1.05775911466286e-10,1.59148180546286,0.175,0.122,9.52099556699186e-06,"6","NR2F2-AS1"
7.44034206241416e-21,1.52041236416542,0.266,0.179,6.69712629379961e-16,"6","MIR99AHG"
0.000253560233023709,1.44360894572317,0.199,0.177,1,"6","RAB3C"
9.90252507465629e-22,1.44225554325105,0.426,0.363,8.91336184494887e-17,"6","ENSG00000310376"
9.56332936481109e-23,1.38880746670585,0.435,0.37,8.60804839456011e-18,"6","HDAC9"
9.04194605563993e-05,1.38306397208288,0.446,0.605,1,"6","IGLC2"
3.36914114780308e-31,1.36718607483039,0.493,0.407,3.03259763854903e-26,"6","TLL1"
4.80006642486237e-10,1.34140897571274,0.246,0.193,4.32058778968287e-05,"6","LINC02147"
2.8482636345366e-05,1.31465971362962,0.197,0.168,1,"6","7SK.4"
0.000779434964324195,1.31104787899,0.253,0.247,1,"6","LRRC1"
2.54366764452661e-06,1.24514979831721,0.282,0.258,0.228958068351485,"6","EPB41L3"
6.61583993295454e-07,1.21931211666919,0.258,0.224,0.0595498368205171,"6","ADAMTSL1"
0.00303108234719606,1.21237084031841,0.236,0.226,1,"6","ENSG00000283445"
5.77341041284005e-06,1.19546598299416,0.208,0.169,0.519670444670146,"6","RYR3"
1.47601617023771e-18,1.18372165696108,0.4,0.332,1.32857691499267e-13,"6","SELP"
2.36290939697107e-06,1.10203266250475,0.054,0.101,0.212687837730763,"6","TTC39A"
0.000856207604957037,1.09924189183831,0.304,0.306,1,"6","IL1R1"
