"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.2,0.4,"0","0",5300,0.925440894010826
0.2,0.4,"1","1",2132,0.593376008906207
0.2,0.4,"2","1",1,0.000417188151856487
0.2,0.4,"4","1",1,0.000796812749003984
0.2,0.4,"3","2",1662,1
0.2,0.4,"4","2",2,0.00159362549800797
0.2,0.4,"0","3",174,0.0303823991618649
0.2,0.4,"1","3",1414,0.393543000278319
0.2,0.4,"2","3",4,0.00166875260742595
0.2,0.4,"5","3",1,0.00112485939257593
0.2,0.4,"1","4",37,0.0102978012802672
0.2,0.4,"2","4",1441,0.601168126825198
0.2,0.4,"4","4",1,0.000796812749003984
0.2,0.4,"1","5",2,0.00055663790704147
0.2,0.4,"4","5",1251,0.996812749003984
0.2,0.4,"0","6",250,0.0436528723590012
0.2,0.4,"1","6",1,0.000278318953520735
0.2,0.4,"2","6",846,0.352941176470588
0.2,0.4,"0","7",1,0.000174611489436005
0.2,0.4,"2","7",1,0.000417188151856487
0.2,0.4,"5","7",888,0.998875140607424
0.2,0.4,"6","8",572,1
0.2,0.4,"7","9",452,1
0.2,0.4,"0","10",2,0.00034922297887201
0.2,0.4,"1","10",6,0.00166991372112441
0.2,0.4,"8","10",272,1
0.2,0.4,"9","11",220,1
0.2,0.4,"1","12",1,0.000278318953520735
0.2,0.4,"2","12",104,0.0433875677930747
0.4,0.6,"0","0",3595,0.678301886792453
0.4,0.6,"3","0",16,0.0100439422473321
0.4,0.6,"6","0",231,0.210574293527803
0.4,0.6,"10","0",1,0.00357142857142857
0.4,0.6,"1","1",1992,0.933458294283037
0.4,0.6,"3","1",81,0.0508474576271186
0.4,0.6,"4","1",2,0.00135226504394861
0.4,0.6,"0","2",1688,0.318490566037736
0.4,0.6,"3","2",182,0.114249843063402
0.4,0.6,"6","2",1,0.000911577028258888
0.4,0.6,"12","2",1,0.00952380952380952
0.4,0.6,"1","3",1,0.000468603561387067
0.4,0.6,"3","3",20,0.0125549278091651
0.4,0.6,"4","3",1475,0.997295469912103
0.4,0.6,"5","3",1,0.000798084596967279
0.4,0.6,"6","3",8,0.0072926162260711
0.4,0.6,"2","4",1231,0.739783653846154
0.4,0.6,"0","5",16,0.0030188679245283
0.4,0.6,"3","5",1188,0.745762711864407
0.4,0.6,"4","5",2,0.00135226504394861
0.4,0.6,"5","5",7,0.00558659217877095
0.4,0.6,"1","6",1,0.000468603561387067
0.4,0.6,"5","6",1089,0.869114126097366
0.4,0.6,"7","7",890,1
0.4,0.6,"0","8",1,0.000188679245283019
0.4,0.6,"6","8",857,0.781221513217867
0.4,0.6,"8","9",572,1
0.4,0.6,"9","10",452,1
0.4,0.6,"2","11",433,0.260216346153846
0.4,0.6,"10","12",279,0.996428571428571
0.4,0.6,"1","13",4,0.00187441424554827
0.4,0.6,"11","13",220,1
0.4,0.6,"5","14",156,0.124501197126895
0.4,0.6,"1","15",135,0.063261480787254
0.4,0.6,"3","16",106,0.066541117388575
0.4,0.6,"1","17",1,0.000468603561387067
0.4,0.6,"12","17",104,0.990476190476191
0.6,0.8,"0","0",176,0.0457975539942753
0.6,0.8,"2","0",1684,0.89957264957265
0.6,0.8,"5","0",1,0.000824402308326463
0.6,0.8,"8","0",1,0.00116550116550117
0.6,0.8,"0","1",1833,0.476971116315379
0.6,0.8,"8","1",2,0.00233100233100233
0.6,0.8,"12","1",1,0.003584229390681
0.6,0.8,"1","2",1218,0.586987951807229
0.6,0.8,"2","2",165,0.0881410256410256
0.6,0.8,"3","2",56,0.0372093023255814
0.6,0.8,"5","2",102,0.0840890354492993
0.6,0.8,"12","2",2,0.00716845878136201
0.6,0.8,"0","3",1471,0.382773874577153
0.6,0.8,"2","3",18,0.00961538461538462
0.6,0.8,"1","4",2,0.000963855421686747
0.6,0.8,"3","4",1435,0.953488372093023
0.6,0.8,"5","4",3,0.00247320692497939
0.6,0.8,"1","5",1,0.000481927710843373
0.6,0.8,"4","5",1230,0.999187652315191
0.6,0.8,"0","6",311,0.0809263596148842
0.6,0.8,"2","6",2,0.00106837606837607
0.6,0.8,"3","6",13,0.00863787375415282
0.6,0.8,"5","6",1,0.000824402308326463
0.6,0.8,"8","6",853,0.994172494172494
0.6,0.8,"0","7",42,0.0109289617486339
0.6,0.8,"2","7",1,0.000534188034188034
0.6,0.8,"5","7",1105,0.910964550700742
0.6,0.8,"8","7",1,0.00116550116550117
0.6,0.8,"1","8",2,0.000963855421686747
0.6,0.8,"6","8",1088,0.998165137614679
0.6,0.8,"7","9",890,1
0.6,0.8,"1","10",844,0.406746987951807
0.6,0.8,"3","10",1,0.000664451827242525
0.6,0.8,"6","10",1,0.000917431192660551
0.6,0.8,"9","11",572,1
0.6,0.8,"10","12",452,1
0.6,0.8,"4","13",1,0.000812347684809098
0.6,0.8,"11","13",433,1
0.6,0.8,"0","14",5,0.00130106687483737
0.6,0.8,"12","14",276,0.989247311827957
0.6,0.8,"0","15",1,0.000260213374967473
0.6,0.8,"2","15",1,0.000534188034188034
0.6,0.8,"13","15",224,1
0.6,0.8,"6","16",1,0.000917431192660551
0.6,0.8,"14","16",156,1
0.6,0.8,"1","17",6,0.00289156626506024
0.6,0.8,"15","17",135,1
0.6,0.8,"0","18",4,0.00104085349986989
0.6,0.8,"5","18",1,0.000824402308326463
0.6,0.8,"16","18",106,1
0.6,0.8,"1","19",2,0.000963855421686747
0.6,0.8,"2","19",1,0.000534188034188034
0.6,0.8,"8","19",1,0.00116550116550117
0.6,0.8,"17","19",105,1
