"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"0","CNP0000460",77,0.2,"dataset",0.0123298638911129
"1","CNP0000460",228,0.2,"dataset",0.080565371024735
"2","CNP0000460",224,0.2,"dataset",0.0869227784245246
"3","CNP0000460",0,0.2,"dataset",0
"4","CNP0000460",29,0.2,"dataset",0.0291457286432161
"5","CNP0000460",43,0.2,"dataset",0.0953436807095344
"6","CNP0000460",17,0.2,"dataset",0.0402843601895735
"7","CNP0000460",9,0.2,"dataset",0.0432692307692308
"8","CNP0000460",7,0.2,"dataset",0.0507246376811594
"0","GSE326225",6,0.2,"dataset",0.000960768614891914
"1","GSE326225",100,0.2,"dataset",0.0353356890459364
"2","GSE326225",120,0.2,"dataset",0.0465657741559953
"3","GSE326225",61,0.2,"dataset",0.0426573426573427
"4","GSE326225",27,0.2,"dataset",0.0271356783919598
"5","GSE326225",0,0.2,"dataset",0
"6","GSE326225",5,0.2,"dataset",0.0118483412322275
"7","GSE326225",8,0.2,"dataset",0.0384615384615385
"8","GSE326225",8,0.2,"dataset",0.0579710144927536
"0","HRA003620",372,0.2,"dataset",0.0595676541232986
"1","HRA003620",18,0.2,"dataset",0.00636042402826855
"2","HRA003620",100,0.2,"dataset",0.0388048117966628
"3","HRA003620",0,0.2,"dataset",0
"4","HRA003620",94,0.2,"dataset",0.0944723618090452
"5","HRA003620",106,0.2,"dataset",0.235033259423503
"6","HRA003620",0,0.2,"dataset",0
"7","HRA003620",3,0.2,"dataset",0.0144230769230769
"8","HRA003620",11,0.2,"dataset",0.0797101449275362
"0","InhouseData",1,0.2,"dataset",0.000160128102481986
"1","InhouseData",259,0.2,"dataset",0.0915194346289753
"2","InhouseData",149,0.2,"dataset",0.0578191695770276
"3","InhouseData",1366,0.2,"dataset",0.955244755244755
"4","InhouseData",48,0.2,"dataset",0.0482412060301508
"5","InhouseData",109,0.2,"dataset",0.241685144124169
"6","InhouseData",17,0.2,"dataset",0.0402843601895735
"7","InhouseData",15,0.2,"dataset",0.0721153846153846
"8","InhouseData",4,0.2,"dataset",0.0289855072463768
"0","PRJNA662018",5789,0.2,"dataset",0.926981585268215
"1","PRJNA662018",2225,0.2,"dataset",0.786219081272085
"2","PRJNA662018",1984,0.2,"dataset",0.76988746604579
"3","PRJNA662018",3,0.2,"dataset",0.0020979020979021
"4","PRJNA662018",797,0.2,"dataset",0.801005025125628
"5","PRJNA662018",193,0.2,"dataset",0.427937915742794
"6","PRJNA662018",383,0.2,"dataset",0.907582938388626
"7","PRJNA662018",173,0.2,"dataset",0.831730769230769
"8","PRJNA662018",108,0.2,"dataset",0.782608695652174
"0","CNP0000460_P01N",19,0.2,"orig.ident",0.00304243394715773
"1","CNP0000460_P01N",3,0.2,"orig.ident",0.00106007067137809
"2","CNP0000460_P01N",14,0.2,"orig.ident",0.00543267365153279
"3","CNP0000460_P01N",0,0.2,"orig.ident",0
"4","CNP0000460_P01N",4,0.2,"orig.ident",0.00402010050251256
"5","CNP0000460_P01N",4,0.2,"orig.ident",0.00886917960088692
"6","CNP0000460_P01N",0,0.2,"orig.ident",0
"7","CNP0000460_P01N",0,0.2,"orig.ident",0
"8","CNP0000460_P01N",1,0.2,"orig.ident",0.0072463768115942
"0","CNP0000460_P01T",3,0.2,"orig.ident",0.000480384307445957
"1","CNP0000460_P01T",27,0.2,"orig.ident",0.00954063604240283
"2","CNP0000460_P01T",12,0.2,"orig.ident",0.00465657741559953
"3","CNP0000460_P01T",0,0.2,"orig.ident",0
"4","CNP0000460_P01T",1,0.2,"orig.ident",0.00100502512562814
"5","CNP0000460_P01T",0,0.2,"orig.ident",0
"6","CNP0000460_P01T",3,0.2,"orig.ident",0.00710900473933649
"7","CNP0000460_P01T",0,0.2,"orig.ident",0
"8","CNP0000460_P01T",0,0.2,"orig.ident",0
"0","CNP0000460_P02N",0,0.2,"orig.ident",0
"1","CNP0000460_P02N",0,0.2,"orig.ident",0
"2","CNP0000460_P02N",2,0.2,"orig.ident",0.000776096235933256
"3","CNP0000460_P02N",0,0.2,"orig.ident",0
"4","CNP0000460_P02N",0,0.2,"orig.ident",0
"5","CNP0000460_P02N",0,0.2,"orig.ident",0
"6","CNP0000460_P02N",0,0.2,"orig.ident",0
"7","CNP0000460_P02N",0,0.2,"orig.ident",0
"8","CNP0000460_P02N",0,0.2,"orig.ident",0
"0","CNP0000460_P02T",0,0.2,"orig.ident",0
"1","CNP0000460_P02T",6,0.2,"orig.ident",0.00212014134275618
"2","CNP0000460_P02T",8,0.2,"orig.ident",0.00310438494373302
"3","CNP0000460_P02T",0,0.2,"orig.ident",0
"4","CNP0000460_P02T",1,0.2,"orig.ident",0.00100502512562814
"5","CNP0000460_P02T",0,0.2,"orig.ident",0
"6","CNP0000460_P02T",0,0.2,"orig.ident",0
"7","CNP0000460_P02T",0,0.2,"orig.ident",0
"8","CNP0000460_P02T",0,0.2,"orig.ident",0
"0","CNP0000460_P03N",2,0.2,"orig.ident",0.000320256204963971
"1","CNP0000460_P03N",0,0.2,"orig.ident",0
"2","CNP0000460_P03N",2,0.2,"orig.ident",0.000776096235933256
"3","CNP0000460_P03N",0,0.2,"orig.ident",0
"4","CNP0000460_P03N",0,0.2,"orig.ident",0
"5","CNP0000460_P03N",11,0.2,"orig.ident",0.024390243902439
"6","CNP0000460_P03N",0,0.2,"orig.ident",0
"7","CNP0000460_P03N",0,0.2,"orig.ident",0
"8","CNP0000460_P03N",1,0.2,"orig.ident",0.0072463768115942
"0","CNP0000460_P03T",2,0.2,"orig.ident",0.000320256204963971
"1","CNP0000460_P03T",0,0.2,"orig.ident",0
"2","CNP0000460_P03T",1,0.2,"orig.ident",0.000388048117966628
"3","CNP0000460_P03T",0,0.2,"orig.ident",0
"4","CNP0000460_P03T",1,0.2,"orig.ident",0.00100502512562814
"5","CNP0000460_P03T",10,0.2,"orig.ident",0.0221729490022173
"6","CNP0000460_P03T",0,0.2,"orig.ident",0
"7","CNP0000460_P03T",0,0.2,"orig.ident",0
"8","CNP0000460_P03T",0,0.2,"orig.ident",0
"0","CNP0000460_P04T",2,0.2,"orig.ident",0.000320256204963971
"1","CNP0000460_P04T",30,0.2,"orig.ident",0.0106007067137809
"2","CNP0000460_P04T",14,0.2,"orig.ident",0.00543267365153279
"3","CNP0000460_P04T",0,0.2,"orig.ident",0
"4","CNP0000460_P04T",3,0.2,"orig.ident",0.00301507537688442
"5","CNP0000460_P04T",0,0.2,"orig.ident",0
"6","CNP0000460_P04T",3,0.2,"orig.ident",0.00710900473933649
"7","CNP0000460_P04T",1,0.2,"orig.ident",0.00480769230769231
"8","CNP0000460_P04T",1,0.2,"orig.ident",0.0072463768115942
"0","CNP0000460_P05N",2,0.2,"orig.ident",0.000320256204963971
"1","CNP0000460_P05N",0,0.2,"orig.ident",0
"2","CNP0000460_P05N",0,0.2,"orig.ident",0
"3","CNP0000460_P05N",0,0.2,"orig.ident",0
"4","CNP0000460_P05N",0,0.2,"orig.ident",0
"5","CNP0000460_P05N",1,0.2,"orig.ident",0.00221729490022173
"6","CNP0000460_P05N",0,0.2,"orig.ident",0
"7","CNP0000460_P05N",0,0.2,"orig.ident",0
"8","CNP0000460_P05N",0,0.2,"orig.ident",0
"0","CNP0000460_P05T",11,0.2,"orig.ident",0.00176140912730184
"1","CNP0000460_P05T",56,0.2,"orig.ident",0.0197879858657244
"2","CNP0000460_P05T",29,0.2,"orig.ident",0.0112533954210322
"3","CNP0000460_P05T",0,0.2,"orig.ident",0
"4","CNP0000460_P05T",5,0.2,"orig.ident",0.0050251256281407
"5","CNP0000460_P05T",0,0.2,"orig.ident",0
"6","CNP0000460_P05T",1,0.2,"orig.ident",0.0023696682464455
"7","CNP0000460_P05T",0,0.2,"orig.ident",0
"8","CNP0000460_P05T",1,0.2,"orig.ident",0.0072463768115942
"0","CNP0000460_P06T",7,0.2,"orig.ident",0.0011208967173739
"1","CNP0000460_P06T",44,0.2,"orig.ident",0.015547703180212
"2","CNP0000460_P06T",39,0.2,"orig.ident",0.0151338766006985
"3","CNP0000460_P06T",0,0.2,"orig.ident",0
"4","CNP0000460_P06T",9,0.2,"orig.ident",0.00904522613065327
"5","CNP0000460_P06T",0,0.2,"orig.ident",0
"6","CNP0000460_P06T",2,0.2,"orig.ident",0.004739336492891
"7","CNP0000460_P06T",2,0.2,"orig.ident",0.00961538461538462
"8","CNP0000460_P06T",1,0.2,"orig.ident",0.0072463768115942
"0","CNP0000460_P07N",2,0.2,"orig.ident",0.000320256204963971
"1","CNP0000460_P07N",0,0.2,"orig.ident",0
"2","CNP0000460_P07N",1,0.2,"orig.ident",0.000388048117966628
"3","CNP0000460_P07N",0,0.2,"orig.ident",0
"4","CNP0000460_P07N",0,0.2,"orig.ident",0
"5","CNP0000460_P07N",17,0.2,"orig.ident",0.0376940133037694
"6","CNP0000460_P07N",1,0.2,"orig.ident",0.0023696682464455
"7","CNP0000460_P07N",0,0.2,"orig.ident",0
"8","CNP0000460_P07N",0,0.2,"orig.ident",0
"0","CNP0000460_P07T",27,0.2,"orig.ident",0.00432345876701361
"1","CNP0000460_P07T",62,0.2,"orig.ident",0.0219081272084806
"2","CNP0000460_P07T",102,0.2,"orig.ident",0.039580908032596
"3","CNP0000460_P07T",0,0.2,"orig.ident",0
"4","CNP0000460_P07T",5,0.2,"orig.ident",0.0050251256281407
"5","CNP0000460_P07T",0,0.2,"orig.ident",0
"6","CNP0000460_P07T",7,0.2,"orig.ident",0.0165876777251185
"7","CNP0000460_P07T",6,0.2,"orig.ident",0.0288461538461538
"8","CNP0000460_P07T",2,0.2,"orig.ident",0.0144927536231884
"0","GSE326225_BC1",0,0.2,"orig.ident",0
"1","GSE326225_BC1",2,0.2,"orig.ident",0.000706713780918728
"2","GSE326225_BC1",7,0.2,"orig.ident",0.0027163368257664
"3","GSE326225_BC1",0,0.2,"orig.ident",0
"4","GSE326225_BC1",0,0.2,"orig.ident",0
"5","GSE326225_BC1",0,0.2,"orig.ident",0
"6","GSE326225_BC1",0,0.2,"orig.ident",0
"7","GSE326225_BC1",0,0.2,"orig.ident",0
"8","GSE326225_BC1",0,0.2,"orig.ident",0
"0","GSE326225_BC2",0,0.2,"orig.ident",0
"1","GSE326225_BC2",5,0.2,"orig.ident",0.00176678445229682
"2","GSE326225_BC2",3,0.2,"orig.ident",0.00116414435389988
"3","GSE326225_BC2",0,0.2,"orig.ident",0
"4","GSE326225_BC2",0,0.2,"orig.ident",0
"5","GSE326225_BC2",0,0.2,"orig.ident",0
"6","GSE326225_BC2",0,0.2,"orig.ident",0
"7","GSE326225_BC2",0,0.2,"orig.ident",0
"8","GSE326225_BC2",0,0.2,"orig.ident",0
"0","GSE326225_BC3",0,0.2,"orig.ident",0
"1","GSE326225_BC3",8,0.2,"orig.ident",0.00282685512367491
"2","GSE326225_BC3",3,0.2,"orig.ident",0.00116414435389988
"3","GSE326225_BC3",1,0.2,"orig.ident",0.000699300699300699
"4","GSE326225_BC3",0,0.2,"orig.ident",0
"5","GSE326225_BC3",0,0.2,"orig.ident",0
"6","GSE326225_BC3",0,0.2,"orig.ident",0
"7","GSE326225_BC3",3,0.2,"orig.ident",0.0144230769230769
"8","GSE326225_BC3",0,0.2,"orig.ident",0
"0","GSE326225_BC4",0,0.2,"orig.ident",0
"1","GSE326225_BC4",2,0.2,"orig.ident",0.000706713780918728
"2","GSE326225_BC4",2,0.2,"orig.ident",0.000776096235933256
"3","GSE326225_BC4",0,0.2,"orig.ident",0
