"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"0","CNP0000460",77,0.2,"dataset",0.0123298638911129,0.0414487447698745,0.297472552174231,FALSE
"1","CNP0000460",228,0.2,"dataset",0.080565371024735,0.0414487447698745,1.94373488201001,FALSE
"2","CNP0000460",224,0.2,"dataset",0.0869227784245246,0.0414487447698745,2.09711485612229,FALSE
"3","CNP0000460",0,0.2,"dataset",0,0.0414487447698745,0,FALSE
"4","CNP0000460",29,0.2,"dataset",0.0291457286432161,0.0414487447698745,0.703175181903207,FALSE
"5","CNP0000460",43,0.2,"dataset",0.0953436807095344,0.0414487447698745,2.30027908538334,FALSE
"6","CNP0000460",17,0.2,"dataset",0.0402843601895735,0.0414487447698745,0.971907844573684,FALSE
"7","CNP0000460",9,0.2,"dataset",0.0432692307692308,0.0414487447698745,1.04392137830624,FALSE
"8","CNP0000460",7,0.2,"dataset",0.0507246376811594,0.0414487447698745,1.22379188954419,FALSE
"0","GSE326225",6,0.2,"dataset",0.000960768614891914,0.0219011506276151,0.0438684081593633,FALSE
"1","GSE326225",100,0.2,"dataset",0.0353356890459364,0.0219011506276151,1.61341701387058,FALSE
"2","GSE326225",120,0.2,"dataset",0.0465657741559953,0.0219011506276151,2.12617934773166,FALSE
"3","GSE326225",61,0.2,"dataset",0.0426573426573427,0.0219011506276151,1.94772153219914,FALSE
"4","GSE326225",27,0.2,"dataset",0.0271356783919598,0.0219011506276151,1.23900697517438,FALSE
"5","GSE326225",0,0.2,"dataset",0,0.0219011506276151,0,FALSE
"6","GSE326225",5,0.2,"dataset",0.0118483412322275,0.0219011506276151,0.540991723845229,FALSE
"7","GSE326225",8,0.2,"dataset",0.0384615384615385,0.0219011506276151,1.75614236509759,FALSE
"8","GSE326225",8,0.2,"dataset",0.0579710144927536,0.0219011506276151,2.64693921695868,FALSE
"0","HRA003620",372,0.2,"dataset",0.0595676541232986,0.0460251046025105,1.29424266686076,FALSE
"1","HRA003620",18,0.2,"dataset",0.00636042402826855,0.0460251046025105,0.138194667523289,FALSE
"2","HRA003620",100,0.2,"dataset",0.0388048117966628,0.0460251046025105,0.843122729036582,FALSE
"3","HRA003620",0,0.2,"dataset",0,0.0460251046025105,0,FALSE
"4","HRA003620",94,0.2,"dataset",0.0944723618090452,0.0460251046025105,2.05262677021471,FALSE
"5","HRA003620",106,0.2,"dataset",0.235033259423503,0.0460251046025105,5.1066317274743,FALSE
"6","HRA003620",0,0.2,"dataset",0,0.0460251046025105,0,FALSE
"7","HRA003620",3,0.2,"dataset",0.0144230769230769,0.0460251046025105,0.313374125874126,FALSE
"8","HRA003620",11,0.2,"dataset",0.0797101449275362,0.0460251046025105,1.73188405797101,FALSE
"0","InhouseData",1,0.2,"dataset",0.000160128102481986,0.128661087866109,0.00124457289408763,FALSE
"1","InhouseData",259,0.2,"dataset",0.0915194346289753,0.128661087866109,0.711321784595938,FALSE
"2","InhouseData",149,0.2,"dataset",0.0578191695770276,0.128661087866109,0.449391269232832,FALSE
"3","InhouseData",1366,0.2,"dataset",0.955244755244755,0.128661087866109,7.42450395133322,FALSE
"4","InhouseData",48,0.2,"dataset",0.0482412060301508,0.128661087866109,0.374947910283123,FALSE
"5","InhouseData",109,0.2,"dataset",0.241685144124169,0.128661087866109,1.87846339660736,FALSE
"6","InhouseData",17,0.2,"dataset",0.0402843601895735,0.128661087866109,0.313104458058799,FALSE
"7","InhouseData",15,0.2,"dataset",0.0721153846153846,0.128661087866109,0.560506566604128,FALSE
"8","InhouseData",4,0.2,"dataset",0.0289855072463768,0.128661087866109,0.225285731118181,FALSE
"0","PRJNA662018",5789,0.2,"dataset",0.926981585268215,0.761963912133891,1.21656888273381,FALSE
"1","PRJNA662018",2225,0.2,"dataset",0.786219081272085,0.761963912133891,1.03183243819286,FALSE
"2","PRJNA662018",1984,0.2,"dataset",0.76988746604579,0.761963912133891,1.01039885719746,FALSE
"3","PRJNA662018",3,0.2,"dataset",0.0020979020979021,0.761963912133891,0.00275328275328275,FALSE
"4","PRJNA662018",797,0.2,"dataset",0.801005025125628,0.761963912133891,1.05123748299628,FALSE
"5","PRJNA662018",193,0.2,"dataset",0.427937915742794,0.761963912133891,0.561624912844425,FALSE
"6","PRJNA662018",383,0.2,"dataset",0.907582938388626,0.761963912133891,1.19111013518596,FALSE
"7","PRJNA662018",173,0.2,"dataset",0.831730769230769,0.761963912133891,1.09156189156189,FALSE
"8","PRJNA662018",108,0.2,"dataset",0.782608695652174,0.761963912133891,1.02709417492026,FALSE
"0","CNP0000460",50,0.4,"dataset",0.00913408841797589,0.0414487447698745,0.220370688393311,FALSE
"1","CNP0000460",224,0.4,"dataset",0.0834264432029795,0.0414487447698745,2.01276163285927,FALSE
"2","CNP0000460",0,0.4,"dataset",0,0.0414487447698745,0,FALSE
"3","CNP0000460",155,0.4,"dataset",0.113886847905952,0.0414487447698745,2.74765492992024,FALSE
"4","CNP0000460",69,0.4,"dataset",0.055735056542811,0.0414487447698745,1.34467417173318,FALSE
"5","CNP0000460",44,0.4,"dataset",0.0370682392586352,0.0414487447698745,0.894315122555338,FALSE
"6","CNP0000460",29,0.4,"dataset",0.0296827021494371,0.0414487447698745,0.716130302961812,FALSE
"7","CNP0000460",43,0.4,"dataset",0.0953436807095344,0.0414487447698745,2.30027908538334,FALSE
"8","CNP0000460",9,0.4,"dataset",0.042654028436019,0.0414487447698745,1.02907889425449,FALSE
"9","CNP0000460",7,0.4,"dataset",0.0507246376811594,0.0414487447698745,1.22379188954419,FALSE
"10","CNP0000460",4,0.4,"dataset",0.0336134453781513,0.0414487447698745,0.810964133287384,FALSE
"0","GSE326225",5,0.4,"dataset",0.000913408841797589,0.0219011506276151,0.0417059750571221,FALSE
"1","GSE326225",100,0.4,"dataset",0.037243947858473,0.0219011506276151,1.7005475416215,FALSE
"2","GSE326225",61,0.4,"dataset",0.0419243986254296,0.0219011506276151,1.91425552649126,FALSE
"3","GSE326225",53,0.4,"dataset",0.0389419544452608,0.0219011506276151,1.7780780155066,FALSE
"4","GSE326225",67,0.4,"dataset",0.0541195476575121,0.0219011506276151,2.47108239095315,FALSE
"5","GSE326225",6,0.4,"dataset",0.0050547598989048,0.0219011506276151,0.230798828100441,FALSE
"6","GSE326225",27,0.4,"dataset",0.0276356192425793,0.0219011506276151,1.26183412517759,FALSE
"7","GSE326225",0,0.4,"dataset",0,0.0219011506276151,0,FALSE
"8","GSE326225",8,0.4,"dataset",0.037914691943128,0.0219011506276151,1.73117351630473,FALSE
"9","GSE326225",8,0.4,"dataset",0.0579710144927536,0.0219011506276151,2.64693921695868,FALSE
"10","GSE326225",0,0.4,"dataset",0,0.0219011506276151,0,FALSE
