"resolution","cluster","n_cells","fraction"
0.2,"0",6245,0.408276673640167
0.2,"1",2830,0.185015690376569
0.2,"2",2577,0.168475418410042
0.2,"3",1430,0.0934884937238494
0.2,"4",995,0.0650496861924686
0.2,"5",451,0.0294848326359833
0.2,"6",422,0.0275889121338912
0.2,"7",208,0.0135983263598326
0.2,"8",138,0.00902196652719665
0.4,"0",5474,0.357871338912134
0.4,"1",2685,0.175536087866109
0.4,"2",1455,0.0951229079497908
0.4,"3",1361,0.088977510460251
0.4,"4",1238,0.0809361924686192
0.4,"5",1187,0.0776019874476988
0.4,"6",977,0.0638729079497908
0.4,"7",451,0.0294848326359833
0.4,"8",211,0.0137944560669456
0.4,"9",138,0.00902196652719665
0.4,"10",119,0.00777981171548117
0.6,"0",3320,0.217050209205021
0.6,"1",2669,0.174490062761506
0.6,"2",1927,0.125980648535565
0.6,"3",1361,0.088977510460251
0.6,"4",1253,0.0819168410041841
0.6,"5",1039,0.0679262552301255
0.6,"6",998,0.0652458158995816
0.6,"7",904,0.0591004184100418
0.6,"8",451,0.0294848326359833
0.6,"9",417,0.0272620292887029
0.6,"10",335,0.0219011506276151
0.6,"11",211,0.0137944560669456
0.6,"12",154,0.0100679916317992
0.6,"13",138,0.00902196652719665
0.6,"14",119,0.00777981171548117
0.8,"0",1897,0.124019351464435
0.8,"1",1864,0.121861924686192
0.8,"2",1495,0.0977379707112971
0.8,"3",1478,0.0966265690376569
0.8,"4",1362,0.0890428870292887
0.8,"5",1175,0.0768174686192469
0.8,"6",1043,0.0681877615062761
0.8,"7",988,0.064592050209205
0.8,"8",903,0.0590350418410042
0.8,"9",850,0.0555700836820084
0.8,"10",451,0.0294848326359833
0.8,"11",424,0.0277196652719665
0.8,"12",417,0.0272620292887029
0.8,"13",336,0.0219665271966527
0.8,"14",212,0.0138598326359833
0.8,"15",145,0.00947960251046025
0.8,"16",138,0.00902196652719665
0.8,"17",118,0.00771443514644351
