"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"0",31,1860,0,1412,0,5,0,0,0,9,0,0,0,2,1,0,0,0
"1",0,0,1491,0,3,1161,5,5,0,0,0,4,0,0,0,0,0,0
"2",1865,3,0,51,0,0,0,0,2,5,0,0,0,1,0,0,0,0
"3",0,0,1,0,1359,1,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,1,0,3,0,6,0,0,1,821,0,420,0,0,0,0,0,1
"5",0,0,1,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,2,0,0,0,0,983,0,13,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,899,1,0,0,0,4,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0
"10",1,0,0,4,0,0,0,0,1,0,0,0,0,329,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0
"12",0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,145,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
"14",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,117
