"orig.ident","n_cells","sample_id_nonmissing_cells","sample_id_missing_cells","n_sample_id_nonmissing","sample_id_values","dataset_values"
"CNP0000460_P01N",61,0,61,0,"","CNP0000460"
"CNP0000460_P01T",53,0,53,0,"","CNP0000460"
"CNP0000460_P02N",3,0,3,0,"","CNP0000460"
"CNP0000460_P02T",21,0,21,0,"","CNP0000460"
"CNP0000460_P03N",18,0,18,0,"","CNP0000460"
"CNP0000460_P03T",16,0,16,0,"","CNP0000460"
"CNP0000460_P04T",95,0,95,0,"","CNP0000460"
"CNP0000460_P05N",3,0,3,0,"","CNP0000460"
"CNP0000460_P05T",129,0,129,0,"","CNP0000460"
"CNP0000460_P06T",152,0,152,0,"","CNP0000460"
"CNP0000460_P07N",23,0,23,0,"","CNP0000460"
"CNP0000460_P07T",244,0,244,0,"","CNP0000460"
"GSE326225_BC1",33,0,33,0,"","GSE326225"
"GSE326225_BC2",11,0,11,0,"","GSE326225"
"GSE326225_BC3",17,0,17,0,"","GSE326225"
"GSE326225_BC4",10,0,10,0,"","GSE326225"
"GSE326225_BC5",1,0,1,0,"","GSE326225"
"GSE326225_BC6",143,0,143,0,"","GSE326225"
"GSE326225_BC7",166,0,166,0,"","GSE326225"
"GSE326225_BC8",4,0,4,0,"","GSE326225"
"HRA003620_BC-01",5,0,5,0,"","HRA003620"
"HRA003620_BC-04",36,0,36,0,"","HRA003620"
"HRA003620_BC-05",3,0,3,0,"","HRA003620"
"HRA003620_BC-11",4,0,4,0,"","HRA003620"
"HRA003620_BC-24",15,0,15,0,"","HRA003620"
"HRA003620_BC-27",44,0,44,0,"","HRA003620"
"HRA003620_BC-30",6,0,6,0,"","HRA003620"
"HRA003620_NC-04",88,0,88,0,"","HRA003620"
"HRA003620_NC-05",113,0,113,0,"","HRA003620"
"HRA003620_NC-11",49,0,49,0,"","HRA003620"
"HRA003620_NC-24",74,0,74,0,"","HRA003620"
"HRA003620_NC-27",85,0,85,0,"","HRA003620"
"HRA003620_NC-30",297,0,297,0,"","HRA003620"
"PRJNA662018_PRJNA662018_P1N1",2783,2783,0,1,"PRJNA662018_PRJNA662018_P1N1","PRJNA662018"
"PRJNA662018_PRJNA662018_P1T1",1091,1091,0,1,"PRJNA662018_PRJNA662018_P1T1","PRJNA662018"
"PRJNA662018_PRJNA662018_P2T2",2948,2948,0,1,"PRJNA662018_PRJNA662018_P2T2","PRJNA662018"
"PRJNA662018_PRJNA662018_P3N3",1330,1330,0,1,"PRJNA662018_PRJNA662018_P3N3","PRJNA662018"
"PRJNA662018_PRJNA662018_P3T3",1286,1286,0,1,"PRJNA662018_PRJNA662018_P3T3","PRJNA662018"
"PRJNA662018_PRJNA662018_P4T4",1187,1187,0,1,"PRJNA662018_PRJNA662018_P4T4","PRJNA662018"
"PRJNA662018_PRJNA662018_P5T5",327,327,0,1,"PRJNA662018_PRJNA662018_P5T5","PRJNA662018"
"PRJNA662018_PRJNA662018_P6N2",1325,1325,0,1,"PRJNA662018_PRJNA662018_P6N2","PRJNA662018"
"PRJNA662018_PRJNA662018_P6T6",245,245,0,1,"PRJNA662018_PRJNA662018_P6T6","PRJNA662018"
"PRJNA662018_PRJNA662018_P7T7",190,190,0,1,"PRJNA662018_PRJNA662018_P7T7","PRJNA662018"
"PRJNA662018_PRJNA662018_P8T8",73,73,0,1,"PRJNA662018_PRJNA662018_P8T8","PRJNA662018"
"T4091568",148,0,148,0,"","InhouseData"
"T4295396",23,0,23,0,"","InhouseData"
"T4380845",64,0,64,0,"","InhouseData"
"T4398343",106,0,106,0,"","InhouseData"
"T4450398",30,0,30,0,"","InhouseData"
"T4463209a",109,0,109,0,"","InhouseData"
"T4463209b",80,0,80,0,"","InhouseData"
"T4465219",183,0,183,0,"","InhouseData"
"T4465935",13,0,13,0,"","InhouseData"
"T4466585",34,0,34,0,"","InhouseData"
"T4469479",168,0,168,0,"","InhouseData"
"T4471438",1188,0,1188,0,"","InhouseData"
"T8009218",86,0,86,0,"","InhouseData"
