"resolution","role","field","median_cluster_max_fraction","max_cluster_max_fraction"
0.2,"dataset","dataset",0.790675927911217,0.988567990373045
0.2,"specimen_orig_ident","orig.ident",0.228121672656212,0.572202166064982
0.2,"specimen_sample_id","sample_id",0.328568027048907,1
0.2,"stage_T","T_stage",0.59420638753072,0.768181818181818
0.2,"stage_N","N_stage",0.645546516478932,1
0.2,"stage_M","M_stage",0.64575511055486,1
0.2,"clinical_type","Type",0.548960009535729,1
0.4,"dataset","dataset",0.793296089385475,0.988581730769231
0.4,"specimen_orig_ident","orig.ident",0.227244193345888,0.572716346153846
0.4,"specimen_sample_id","sample_id",0.322264150943396,1
0.4,"stage_T","T_stage",0.576116681859617,0.797563261480787
0.4,"stage_N","N_stage",0.642075471698113,1
0.4,"stage_M","M_stage",0.642075471698113,1
0.4,"clinical_type","Type",0.556457065584855,1
0.6,"dataset","dataset",0.830523180523181,0.991876523151909
0.6,"specimen_orig_ident","orig.ident",0.251916685704069,0.606823720552396
0.6,"specimen_sample_id","sample_id",0.318623340321454,1
0.6,"stage_T","T_stage",0.57297068568136,0.8
0.6,"stage_N","N_stage",0.634043464027599,1
0.6,"stage_M","M_stage",0.634043464027599,1
0.6,"clinical_type","Type",0.559357696566999,1
0.8,"dataset","dataset",0.830304123091718,0.991876523151909
0.8,"specimen_orig_ident","orig.ident",0.264150448431877,0.606823720552396
0.8,"specimen_sample_id","sample_id",0.313686026451984,1
0.8,"stage_T","T_stage",0.587389630249959,0.801418439716312
0.8,"stage_N","N_stage",0.662516063661526,1
0.8,"stage_M","M_stage",0.662516063661526,1
0.8,"clinical_type","Type",0.5644879975638,1
