"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"0",3595,0,1688,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0
"1",0,1992,0,1,0,0,1,0,0,0,0,0,0,4,0,135,0,1
"2",0,0,0,0,1231,0,0,0,0,0,0,433,0,0,0,0,0,0
"3",16,81,182,20,0,1188,0,0,0,0,0,0,0,0,0,0,106,0
"4",0,2,0,1475,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,1,0,7,1089,0,0,0,0,0,0,0,156,0,0,0
"6",231,0,1,8,0,0,0,0,857,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0
"10",1,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0
"12",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
