"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"0",176,1833,0,1471,0,0,311,42,0,0,0,0,0,0,5,1,0,0,4,0
"1",0,0,1218,0,2,1,0,0,2,0,844,0,0,0,0,0,0,6,0,2
"2",1684,0,165,18,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1
"3",0,0,56,0,1435,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,1230,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"5",1,0,102,0,3,0,1,1105,0,0,0,0,0,0,0,0,0,0,1,0
"6",0,0,0,0,0,0,0,0,1088,0,1,0,0,0,0,0,1,0,0,0
"7",0,0,0,0,0,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0
"8",1,2,0,0,0,0,853,1,0,0,0,0,0,0,0,0,0,0,0,1
"9",0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0
"12",0,1,2,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
