"PC","stdev","variance_percent","cumulative_variance_percent","selected_for_clustering"
1,8.98141539410934,17.5686262438937,17.5686262438937,TRUE
2,6.75865741161259,9.94876342323062,27.5173896671244,TRUE
3,5.58441619091044,6.79209563939073,34.3094853065151,TRUE
4,5.15226603673709,5.78155680176129,40.0910421082764,TRUE
5,4.63926953936078,4.68756657180793,44.7786086800843,TRUE
6,4.39329979824254,4.20368261250498,48.9822912925893,TRUE
7,4.03719661169588,3.54983394180701,52.5321252343963,TRUE
8,3.96271864268586,3.42006778312993,55.9521930175262,TRUE
9,3.59166024414822,2.8095627254297,58.7617557429559,TRUE
10,3.30356097268077,2.37691083911919,61.1386665820751,TRUE
11,3.26409215115608,2.3204545142169,63.459121096292,TRUE
12,3.09260887473409,2.08304299019173,65.5421640864838,TRUE
13,2.96476606373769,1.9143841905404,67.4565482770241,TRUE
14,2.82311594817452,1.73582391810302,69.1923721951272,TRUE
15,2.75290069230956,1.65055244192547,70.8429246370526,TRUE
16,2.70329466141399,1.59160395960855,72.4345285966612,TRUE
17,2.53910578055884,1.40413810690533,73.8386667035665,TRUE
18,2.51487783270518,1.37746960026482,75.2161363038313,TRUE
19,2.48054396382329,1.34011508146834,76.5562513852997,TRUE
20,2.36398216744337,1.21712905444894,77.7733804397486,TRUE
21,2.31796095689665,1.1702010151559,78.9435814549045,TRUE
22,2.25320674386395,1.10573313030746,80.049314585212,TRUE
23,2.21890893212879,1.07232688406365,81.1216414692756,FALSE
24,2.17057657287866,1.02612072683753,82.1477621961132,FALSE
25,2.07341099739931,0.936308644074095,83.0840708401873,FALSE
26,2.06671366838,0.930269668249015,84.0143405084363,FALSE
27,2.04357431402532,0.90955529842852,84.9238958068648,FALSE
28,1.99271107676376,0.86484226838871,85.7887380752535,FALSE
29,1.9519136077875,0.829792339080968,86.6185304143345,FALSE
30,1.94222331132876,0.821573764159349,87.4401041784938,FALSE
31,1.92033789226799,0.803162717513198,88.243266896007,FALSE
32,1.89131491635886,0.779069016650095,89.0223359126571,FALSE
33,1.88112578723027,0.770697430983984,89.7930333436411,FALSE
34,1.86099741576442,0.754292479214462,90.5473258228556,FALSE
35,1.82423102909429,0.724782860209132,91.2721086830647,FALSE
36,1.73897577512684,0.658620586913715,91.9307292699784,FALSE
37,1.73792884678369,0.657827797262806,92.5885570672412,FALSE
38,1.7243491611398,0.647587798806718,93.2361448660479,FALSE
39,1.69636158113067,0.626736652431859,93.8628815184798,FALSE
40,1.68444413102037,0.617961558107476,94.4808430765873,FALSE
41,1.68233173217381,0.616412604665287,95.0972556812525,FALSE
42,1.65140281099957,0.593956003584513,95.6912116848371,FALSE
43,1.61540948275001,0.568346897111627,96.2595585819487,FALSE
44,1.61280236743193,0.566513863172347,96.826072445121,FALSE
45,1.60003385163161,0.557579219378993,97.3836516645,FALSE
46,1.5819604239924,0.545053918819011,97.928705583319,FALSE
47,1.55687380630473,0.527904131881497,98.4566097152005,FALSE
48,1.55652189440211,0.527665506566389,98.9842752217669,FALSE
49,1.53044719816357,0.510134785631798,99.4944100073987,FALSE
50,1.52361456574715,0.505589992601274,100,FALSE
