"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.36096685698526,0.144,0.017,0,"0","SPINK13"
0,3.29413983838263,0.155,0.02,0,"0","MARCOL"
0,3.102871252967,0.199,0.033,0,"0","FBXO38-DT"
0,2.9230457748089,0.176,0.026,0,"0","PCDH11Y"
0,2.75779149298432,0.275,0.049,0,"0","ENSG00000310283"
0,2.49778855007246,0.234,0.055,0,"0","CSF3"
2.7275997310054e-189,2.47372937912782,0.125,0.027,2.45513979387527e-184,"0","CCL13"
4.79660153149015e-286,2.44064404303898,0.167,0.031,4.3174690045096e-281,"0","MAP3K4-AS1"
6.10498743812971e-169,2.4130708736477,0.107,0.021,5.49516024293494e-164,"0","RPL21P12"
0,2.40983414483962,0.288,0.058,0,"0","CHRDL2"
1.13298127334493e-313,2.30334671172749,0.237,0.059,1.01980777395051e-308,"0","BMP6"
0,2.15237150221555,0.835,0.348,0,"0","SERPINE2"
0,2.12766947081025,0.339,0.106,0,"0","CCL11"
0,2.11535107027692,0.316,0.077,0,"0","LINC01239"
0,2.07909764283773,0.684,0.163,0,"0","C7"
6.81223174925296e-176,2.06679701326208,0.125,0.028,6.13175791982008e-171,"0","REDIC1"
0,2.0292738075424,0.346,0.08,0,"0","IGSF10"
7.45248663764931e-156,2.02362863607455,0.128,0.033,6.70805774741452e-151,"0","TRIM72"
0,2.00827934508504,0.828,0.26,0,"0","SFRP1"
7.58884832012155e-321,1.94488319098597,0.246,0.062,6.83079826142461e-316,"0","DNAJC12"
0,1.93945161120691,0.273,0.071,0,"0","ENSG00000280241"
5.13520990636791e-203,1.93890716159429,0.166,0.043,4.62225378882082e-198,"0","LINC02456"
0,1.90457370060533,0.461,0.172,0,"0","IL33"
0,1.8748471803132,0.894,0.387,0,"0","SFRP2"
0,1.86459852361489,0.396,0.148,0,"0","PTX3"
0,1.83263476826719,0.395,0.111,0,"0","COBL"
1.31372647077167e-149,1.82684351736447,0.101,0.021,1.18249833360629e-144,"0","ADGRB3-DT"
5.9328020941962e-136,1.8216354868903,0.123,0.034,5.34017449300694e-131,"0","ENSG00000258793"
2.33830635650696e-204,1.81329401113182,0.192,0.056,2.10473293455548e-199,"0","MYOC"
7.80510373480481e-288,1.78968116667943,0.277,0.086,7.02545192273516e-283,"0","THBS2-AS1"
0,1.77865317373652,0.576,0.264,0,"0","PTGDS"
5.27127211462695e-64,1.77780901747735,0.151,0.075,4.74472474309687e-59,"0","CEMIP"
0,1.7748485476669,0.446,0.143,0,"0","LIF"
1.76841361607457e-259,1.7703630021226,0.211,0.055,1.59176677996488e-254,"0","LINGO2"
7.87353751681964e-260,1.7634012182205,0.22,0.06,7.08704985426453e-255,"0","FMNL1-DT"
7.0847149752279e-259,1.75891620232857,0.178,0.039,6.37702279635238e-254,"0","CHRM2"
0,1.75649049548821,0.819,0.28,0,"0","IGF1"
1.12745716625171e-204,1.75103808196628,0.36,0.17,1.01483546991482e-199,"0","CXCL1"
7.13136465321094e-96,1.74302473146168,0.147,0.058,6.4190126380017e-91,"0","RDUR"
7.24537545523432e-249,1.7388598397614,0.266,0.088,6.52163490101096e-244,"0","TFPI2"
2.11266074573621e-105,1.71669707161489,0.102,0.03,1.90162706384462e-100,"0","ENSG00000298360"
0,1.70699693651829,0.603,0.277,0,"0","SLC2A13"
9.50728617391218e-265,1.70050217560619,0.236,0.067,8.55760335800009e-260,"0","BMPER"
0,1.67794535117471,0.557,0.195,0,"0","SMPDL3A"
2.13962296794261e-227,1.66936967016511,0.2,0.056,1.92589602967482e-222,"0","ENSG00000310190"
5.71077561152801e-88,1.66361627331079,0.125,0.047,5.14032623569248e-83,"0","IL11"
0,1.65075113451971,0.508,0.167,0,"0","RSPO3"
8.06412047080901e-201,1.65038255741252,0.165,0.042,7.2585954769799e-196,"0","MUSK"
8.23696362243023e-222,1.64661322258211,0.188,0.05,7.41417332618567e-217,"0","GALNT13"
6.46251626433642e-136,1.63105175835839,0.159,0.054,5.81697551469186e-131,"0","C10orf95-AS1"
0,5.22075582123235,0.13,0.006,0,"1","DUOXA2"
0,4.8154583166796,0.108,0.004,0,"1","ENSG00000291165"
0,4.5873103198405,0.223,0.011,0,"1","WNT10B"
0,4.56909168597919,0.145,0.008,0,"1","KCNB2"
0,4.11469455147679,0.315,0.025,0,"1","ENSG00000304884"
0,3.93987824899526,0.134,0.01,0,"1","KRT24"
0,3.92956175990406,0.202,0.022,0,"1","ADGRG2"
9.75148312262001e-310,3.90364048480103,0.115,0.01,8.7774074735015e-305,"1","ENSG00000308368"
3.30056286574191e-287,3.83159566862286,0.108,0.01,2.97086964108295e-282,"1","PRG4"
0,3.83116765989889,0.174,0.013,0,"1","DUOX2"
0,3.75116067179846,0.197,0.014,0,"1","DACT2"
0,3.69951820736775,0.711,0.136,0,"1","C17orf58"
0,3.6854030109606,0.366,0.034,0,"1","LINC02511"
0,3.64456998876416,0.14,0.012,0,"1","CD70"
0,3.63743283707106,0.122,0.01,0,"1","WT1"
0,3.57061986933951,0.843,0.14,0,"1","CLEC3B"
0,3.51331967575615,0.978,0.226,0,"1","MFAP5"
1.1986304086825e-314,3.44842226238567,0.117,0.01,1.0788992171592e-309,"1","FAM180B"
9.21936282789396e-304,3.22502765377183,0.124,0.013,8.29844067501563e-299,"1","TNFRSF8"
0,3.13757633478574,0.147,0.015,0,"1","KRT222"
7.86988426942807e-314,3.10871632606292,0.133,0.015,7.0837615297549e-309,"1","KLHL4"
0,3.0990841145171,0.941,0.21,0,"1","PCOLCE2"
0,3.06994196185325,0.599,0.096,0,"1","LINC01133"
0,3.03883784904286,0.186,0.024,0,"1","WDR86-AS1"
0,3.00999243542242,0.246,0.034,0,"1","PCDH15"
0,2.97720572764334,0.531,0.083,0,"1","TRAC"
0,2.96823938507624,0.967,0.316,0,"1","SEMA3C"
6.64262351175833e-245,2.84401509366183,0.106,0.012,5.97909184916879e-240,"1","SPSB4"
0,2.83707623093336,0.677,0.209,0,"1","PROCR"
0,2.81863333575731,0.533,0.118,0,"1","RAMP2"
0,2.78543718292354,0.846,0.192,0,"1","CD34"
0,2.76809686997544,0.357,0.054,0,"1","ADAMTS16"
0,2.74782587014195,0.964,0.499,0,"1","FBN1"
0,2.73549001471387,0.362,0.066,0,"1","ABRAXAS1P1"
0,2.71501079297152,0.733,0.16,0,"1","HAS1"
2.11258409494501e-207,2.68701264724392,0.106,0.016,1.90155806970095e-202,"1","CERS1"
0,2.651934545516,0.535,0.095,0,"1","CADM3"
0,2.60814477280508,0.568,0.116,0,"1","ADAMTSL1"
0,2.59051536133673,0.827,0.28,0,"1","HTRA3"
4.76120122960796e-212,2.58355947568684,0.114,0.018,4.28560483878242e-207,"1","ANGPTL5"
0,2.5824691819763,0.737,0.143,0,"1","VIT"
0,2.57501774031867,0.218,0.038,0,"1","ENSG00000297005"
0,2.56570165058795,0.99,0.582,0,"1","IGFBP6"
0,2.56302151120692,0.44,0.084,0,"1","GALNT15"
0,2.54091386293072,0.634,0.136,0,"1","CHRDL1"
0,2.53878293562446,0.58,0.133,0,"1","EPB41L3"
0,2.5311253385906,0.498,0.112,0,"1","HSD3B7"
7.37130006739186e-198,2.52349410304676,0.108,0.017,6.63498090366009e-193,"1","LVRN"
0,2.50633544025295,0.855,0.201,0,"1","CILP"
0,2.49079930161164,0.927,0.225,0,"1","PI16"
0,6.63658885885351,0.222,0.023,0,"2","CCL21"
1.61218420845868e-232,5.12386040780161,0.146,0.029,1.45114312787574e-227,"2","CCL19"
0,4.6953796223073,0.162,0.005,0,"2","TMEM74B"
0,4.60564735543012,0.611,0.026,0,"2","ADGRF5"
0,4.31883340489481,0.154,0.008,0,"2","DLX5"
3.5934807449781e-317,4.12711871718091,0.116,0.01,3.23452795336223e-312,"2","CD36"
0,4.08643592053545,0.233,0.02,0,"2","KCNQ3"
0,4.07727697360724,0.517,0.042,0,"2","HIGD1B"
0,4.06919649226991,0.13,0.008,0,"2","IQSEC3-AS1"
0,4.04036527647707,0.124,0.009,0,"2","RASD2"
0,4.02466924744664,0.467,0.054,0,"2","EGFLAM"
0,4.00361078253763,0.132,0.008,0,"2","WNT6"
0,3.84675686752741,0.611,0.084,0,"2","GUCY1A2"
2.70148138165743e-263,3.83316125960713,0.116,0.014,2.43163040644367e-258,"2","HS6ST3"
0,3.72856138995356,0.169,0.01,0,"2","LPL"
0,3.64658685878938,0.43,0.06,0,"2","FAM13C"
0,3.64195260599797,0.328,0.037,0,"2","DPY19L2"
0,3.60436454002089,0.165,0.019,0,"2","CPA6"
0,3.59328024758615,0.818,0.239,0,"2","CCDC102B"
0,3.55544194520841,0.536,0.077,0,"2","COX4I2"
0,3.51496716847938,0.365,0.042,0,"2","LZTS1"
5.34430809106476e-319,3.50159502285066,0.12,0.011,4.8104651558483e-314,"2","SLC6A1"
0,3.49886980918287,0.365,0.046,0,"2","HTR1F"
0,3.47547762631475,0.351,0.039,0,"2","ADAP2"
0,3.4693664938196,0.621,0.091,0,"2","ANGPT2"
0,3.45859061019089,0.294,0.038,0,"2","TESC"
0,3.4492328110593,0.341,0.04,0,"2","SSTR2"
0,3.43494041310269,0.52,0.072,0,"2","GJC1"
1.30797803354414e-311,3.42652322667859,0.12,0.011,1.17732410777342e-306,"2","LZTS1-AS1"
1.75747400826262e-291,3.4164629654097,0.104,0.008,1.58191992957727e-286,"2","PDE8B.1"
0,3.40390575886383,0.14,0.013,0,"2","SEMA5B"
0,3.38952942219202,0.458,0.07,0,"2","TRPC6"
6.43462574655482e-298,3.38784020917911,0.112,0.01,5.79187098073146e-293,"2","TMEM273"
0,3.38461404306394,0.198,0.018,0,"2","SH2D3C"
0,3.36966330577629,0.727,0.157,0,"2","NDUFA4L2"
1.84593762954506e-276,3.36564560729178,0.13,0.017,1.66154691972981e-271,"2","ENSG00000288539"
0,3.30257064307514,0.59,0.073,0,"2","ARHGAP15"
0,3.2861575174232,0.453,0.064,0,"2","NEURL1B"
0,3.27746494451114,0.444,0.092,0,"2","EGFL6"
0,3.27355068777952,0.591,0.122,0,"2","ARHGDIB"
6.92327344669062e-253,3.22867582342405,0.115,0.015,6.23170766210069e-248,"2","PDE8B"
0,3.22808378631105,0.271,0.037,0,"2","MOCS1"
0,3.21158809786311,0.337,0.073,0,"2","KCNJ8"
0,3.14848804987332,0.156,0.019,0,"2","LINC00989"
0,3.13310118439152,0.303,0.041,0,"2","FOXS1"
0,3.12012583513771,0.456,0.096,0,"2","NCKAP5"
0,3.11869615541488,0.211,0.027,0,"2","ABLIM2"
0,3.09297519916406,0.509,0.129,0,"2","PLXDC1"
0,3.09265982422021,0.173,0.024,0,"2","LINC00924"
0,3.06654443647486,0.298,0.085,0,"2","FJX1"
0,5.5837278347942,0.158,0.003,0,"3","TACR3"
0,5.54606510789353,0.214,0.007,0,"3","GALNTL6"
0,5.34773947422997,0.306,0.014,0,"3","ENSG00000260658"
0,5.23546171841996,0.201,0.006,0,"3","FAM135B"
0,5.02487825810445,0.687,0.049,0,"3","NRG1"
0,4.8453103001621,0.11,0.003,0,"3","ENSG00000291250"
0,4.76622944218368,0.227,0.017,0,"3","RBFOX1"
0,4.68587583543363,0.534,0.034,0,"3","SLC14A1"
0,4.64310871911256,0.134,0.005,0,"3","TNFSF11"
0,4.42666948796991,0.508,0.05,0,"3","STC1"
0,4.4161084338337,0.122,0.007,0,"3","NPFFR2"
0,4.41118884974817,0.186,0.009,0,"3","NSG1"
2.97230707477315e-276,4.34160833952983,0.105,0.009,2.67540332107406e-271,"3","MTUS2"
0,4.26954866740627,0.145,0.008,0,"3","MCOLN3"
3.89102551455509e-294,4.21310075640576,0.101,0.007,3.50235097590618e-289,"3","ENSG00000288731"
0,4.18912362945993,0.121,0.007,0,"3","ENSG00000269289"
0,4.18293287950662,0.158,0.008,0,"3","LRRC3B"
0,4.06843037452803,0.403,0.105,0,"3","AREG"
0,4.04699578921555,0.29,0.018,0,"3","ATRNL1"
0,4.03476070011476,0.687,0.067,0,"3","TRPA1"
4.78255545174327e-321,3.88400003482655,0.103,0.006,4.30482598766863e-316,"3","ENSG00000290357"
0,3.85004312832272,0.208,0.016,0,"3","C1QL1"
6.56215082924332e-298,3.84308934373676,0.147,0.019,5.90665758291021e-293,"3","COL9A1"
0,3.83013135943614,0.616,0.058,0,"3","HSD17B2"
0,3.78810953141875,0.616,0.084,0,"3","BMP5"
0,3.75442942465127,0.213,0.021,0,"3","WNT4"
4.52835512397112e-295,3.75215445447858,0.106,0.008,4.07601773063765e-290,"3","SMOC1"
0,3.71363169736062,0.2,0.016,0,"3","ENSG00000285367"
0,3.70313093322314,0.183,0.028,0,"3","RBP4"
0,3.64192185412893,0.423,0.057,0,"3","EMID1"
1.05881427355765e-291,3.63350777794529,0.118,0.011,9.53049315771979e-287,"3","LRRTM4"
1.53487971656514e-186,3.61717208583443,0.146,0.031,1.38156058167745e-181,"3","DEFB1"
0,3.55039980530633,0.3,0.031,0,"3","TENM2"
0,3.53403074828651,0.275,0.03,0,"3","BMP7"
0,3.52102771127728,0.232,0.02,0,"3","TSPAN33"
0,3.44918832196859,0.469,0.06,0,"3","WNT5A"
0,3.4465244063455,0.19,0.023,0,"3","HSD17B6"
0,3.43168581957902,0.166,0.019,0,"3","LUZP2"
0,3.39305557716413,0.198,0.018,0,"3","KHDRBS2"
0,3.38500215497829,0.396,0.049,0,"3","NDNF"
0,3.34700545301891,0.566,0.094,0,"3","AFF3"
0,3.32008747871505,0.284,0.033,0,"3","EFCC1"
0,3.31990296145012,0.148,0.015,0,"3","ALKAL2"
0,3.30294645129145,0.294,0.053,0,"3","ENPP2"
0,3.28744407982915,0.193,0.028,0,"3","SHANK2"
0,3.2687621038387,0.637,0.114,0,"3","NALF1"
0,3.25275549842706,0.141,0.013,0,"3","SLC27A6"
0,3.2466468972924,0.426,0.065,0,"3","POU6F2"
7.659443547612e-128,3.23675454950137,0.139,0.039,6.89434173164104e-123,"3","TNFRSF11B"
0,3.20914150820545,0.439,0.052,0,"3","SGCZ"
0,6.54176290557235,0.278,0.003,0,"4","PRPH"
0,6.53207411621228,0.529,0.014,0,"4","RERGL"
0,6.09217326337557,0.116,0.002,0,"4","ENSG00000288771"
0,5.53415428773161,0.219,0.005,0,"4","KCNA5"
0,5.25090455840005,0.304,0.015,0,"4","MUSTN1"
0,5.23065152833617,0.157,0.003,0,"4","LOHAN2"
0,5.14648481992415,0.189,0.005,0,"4","CARMAL"
0,5.03135640725651,0.724,0.046,0,"4","PLN"
0,4.97338750911246,0.226,0.008,0,"4","SUSD5"
0,4.95340573630424,0.195,0.008,0,"4","SRL"
0,4.902519412527,0.333,0.011,0,"4","CASQ2"
0,4.89451220960977,0.125,0.005,0,"4","ITIH3"
0,4.74692790876965,0.506,0.032,0,"4","NRGN"
0,4.72450436007382,0.152,0.012,0,"4","SCX"
0,4.69356370150246,0.233,0.009,0,"4","PCP4L1"
0,4.6613582052293,0.12,0.005,0,"4","DUSP26"
0,4.59191390225878,0.283,0.012,0,"4","SPEG"
0,4.57780674221434,0.204,0.009,0,"4","P2RX1"
0,4.51626651104772,0.139,0.007,0,"4","MYOZ1"
0,4.48439306167472,0.783,0.092,0,"4","BCAM"
0,4.48205938967511,0.443,0.023,0,"4","HRH2"
0,4.4801989674035,0.197,0.008,0,"4","SCN3A"
0,4.41394623949264,0.174,0.011,0,"4","BRSK2"
0,4.39407397317141,0.766,0.109,0,"4","SORBS2"
0,4.34849275790297,0.139,0.006,0,"4","ARTN"
0,4.26121525825041,0.629,0.073,0,"4","ADRA2A"
0,4.11763321449381,0.353,0.024,0,"4","HS3ST2"
7.71607275024165e-271,4.10150042210372,0.1,0.007,6.94531424322001e-266,"4","LINC01348"
0,4.06584801168955,0.123,0.007,0,"4","ENSG00000226409"
0,3.98943001977899,0.152,0.011,0,"4","GGTA1"
0,3.91176414056381,0.119,0.006,0,"4","ADRA1A"
0,3.8623516671379,0.289,0.028,0,"4","HSPB7"
6.37730089688229e-279,3.8505628448162,0.107,0.008,5.74027231029272e-274,"4","LRRC10B"
0,3.81943096338094,0.521,0.044,0,"4","RGS6"
0,3.80964751505487,0.149,0.011,0,"4","ENSG00000253123"
0,3.79263493149861,0.173,0.013,0,"4","NMNAT2"
5.77519669494052e-280,3.76674295522132,0.125,0.013,5.19831229708291e-275,"4","PPP1CB-DT"
0,3.76613649888117,0.301,0.025,0,"4","GPR20"
0,3.76537492130044,0.131,0.009,0,"4","REEP1"
0,3.753418483386,0.936,0.185,0,"4","MYH11"
0,3.74961019256721,0.392,0.019,0,"4","DES"
0,3.71961394713497,0.168,0.012,0,"4","ATP1A2"
0,3.66828794687349,0.215,0.014,0,"4","PRDM16"
0,3.62310698446598,0.511,0.044,0,"4","PIP5K1B"
0,3.5896394105905,0.278,0.035,0,"4","HACD1"
0,3.58032509670523,0.78,0.128,0,"4","PTP4A3"
0,3.46888315346591,0.287,0.038,0,"4","KCNAB1"
