"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.57451874691191,0.977,0.218,0,"0","MFAP5"
0,3.17511533895308,0.941,0.202,0,"0","PCOLCE2"
0,2.5939058099697,0.929,0.217,0,"0","PI16"
0,3.63610738630672,0.837,0.133,0,"0","CLEC3B"
0,2.82654697738711,0.846,0.185,0,"0","CD34"
0,3.05983216950819,0.97,0.309,0,"0","SEMA3C"
0,2.57978199062746,0.855,0.194,0,"0","CILP"
0,1.86792486180197,0.918,0.271,0,"0","OGN"
0,2.3410194832592,0.904,0.265,0,"0","PTGIS"
0,2.40459127523544,0.881,0.255,0,"0","SCARA5"
0,2.04229804931691,0.953,0.35,0,"0","FBLN2"
0,2.66787059496783,0.737,0.136,0,"0","VIT"
0,1.99136279006235,0.854,0.254,0,"0","ITM2A"
0,2.25840979278427,0.969,0.374,0,"0","EFEMP1"
0,1.97380947457729,0.849,0.277,0,"0","ABLIM1"
0,2.77111916823209,0.727,0.155,0,"0","HAS1"
0,3.71009462263467,0.703,0.132,0,"0","C17orf58"
0,1.7716063555995,0.975,0.411,0,"0","C3"
0,2.64319612866978,0.827,0.274,0,"0","HTRA3"
0,2.14448357098586,0.827,0.275,0,"0","PLA2G2A"
0,2.10390027056823,0.976,0.432,0,"0","ABI3BP"
0,1.40474753532515,0.791,0.268,0,"0","MEDAG"
0,1.88323156086892,0.839,0.322,0,"0","MARCHF3"
0,1.869570955818,0.793,0.28,0,"0","DCLK1"
0,1.88993378510144,0.79,0.279,0,"0","METRNL"
0,2.22913874825709,0.671,0.162,0,"0","OMD"
0,2.43428815675192,0.949,0.442,0,"0","CD55"
0,3.10622424322216,0.596,0.091,0,"0","LINC01133"
0,1.33191851469006,0.927,0.425,0,"0","NEGR1"
0,2.54960516573803,0.63,0.131,0,"0","CHRDL1"
0,1.56272521472288,0.786,0.291,0,"0","ADH1B"
0,2.24077700020123,0.686,0.196,0,"0","DBN1"
0,1.36433579528162,0.883,0.398,0,"0","CELF2"
0,1.5402197871471,0.907,0.423,0,"0","TGFBR3"
0,1.33454611031094,0.818,0.334,0,"0","ENSG00000310376"
0,2.10812682437932,0.897,0.416,0,"0","ACKR3"
0,2.1542659244476,0.665,0.186,0,"0","ADGRD1"
0,0.602673595101423,0.872,0.4,0,"0","SFRP2"
0,1.34552490715496,0.957,0.485,0,"0","CLU"
0,2.81312041073349,0.965,0.493,0,"0","FBN1"
