"program","gene","present"
"Pan_fibroblast","COL1A1",TRUE
"Pan_fibroblast","COL1A2",TRUE
"Pan_fibroblast","COL3A1",TRUE
"Pan_fibroblast","DCN",TRUE
"Pan_fibroblast","LUM",TRUE
"Pan_fibroblast","PDGFRA",TRUE
"resident_progenitor_like","PI16",TRUE
"resident_progenitor_like","DPT",TRUE
"resident_progenitor_like","OGN",TRUE
"resident_progenitor_like","MFAP5",TRUE
"resident_progenitor_like","IGFBP6",TRUE
"resident_progenitor_like","C7",TRUE
"myCAF_matrix_CAF","POSTN",TRUE
"myCAF_matrix_CAF","MMP11",TRUE
"myCAF_matrix_CAF","CTHRC1",TRUE
"myCAF_matrix_CAF","COL11A1",TRUE
"myCAF_matrix_CAF","COL10A1",TRUE
"myCAF_matrix_CAF","FAP",TRUE
"myCAF_matrix_CAF","ACTA2",TRUE
"myCAF_matrix_CAF","TAGLN",TRUE
"myCAF_matrix_CAF","TPM2",TRUE
"iCAF","CXCL12",TRUE
"iCAF","CXCL14",TRUE
"iCAF","CCL2",TRUE
"iCAF","IL6",TRUE
"iCAF","IL11",TRUE
"iCAF","C3",TRUE
"iCAF","CFD",TRUE
"iCAF","APOD",TRUE
"iCAF","IGF1",TRUE
"ALPL_HA_rich_state","ALPL",TRUE
"ALPL_HA_rich_state","HAS1",TRUE
"ALPL_HA_rich_state","HAS2",TRUE
"ALPL_HA_rich_state","CXCL12",TRUE
"IFN_responsive","ISG15",TRUE
"IFN_responsive","IFIT1",TRUE
"IFN_responsive","IFIT3",TRUE
"IFN_responsive","MX1",TRUE
"IFN_responsive","STAT1",TRUE
"apCAF_like","CD74",TRUE
"apCAF_like","HLA-DRA",TRUE
"apCAF_like","HLA-DPA1",TRUE
"apCAF_like","HLA-DPB1",TRUE
"mural_pericyte_check","RGS5",TRUE
"mural_pericyte_check","CSPG4",TRUE
"mural_pericyte_check","MCAM",TRUE
"mural_pericyte_check","NOTCH3",TRUE
"mural_pericyte_check","MYH11",TRUE
"mural_pericyte_check","DES",TRUE
"Cycling","MKI67",TRUE
"Cycling","TOP2A",TRUE
"Cycling","CENPF",TRUE
