"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"0","CNP0000460",718,0.2,"dataset","dataset",0.0672221702087819
"1","CNP0000460",319,0.2,"dataset","dataset",0.0802919708029197
"2","CNP0000460",103,0.2,"dataset","dataset",0.0326362484157161
"3","CNP0000460",380,0.2,"dataset","dataset",0.121951219512195
"4","CNP0000460",137,0.2,"dataset","dataset",0.0629595588235294
"5","CNP0000460",290,0.2,"dataset","dataset",0.279652844744455
"6","CNP0000460",94,0.2,"dataset","dataset",0.0922473012757605
"7","CNP0000460",35,0.2,"dataset","dataset",0.0510948905109489
"8","CNP0000460",0,0.2,"dataset","dataset",0
"9","CNP0000460",61,0.2,"dataset","dataset",0.181008902077151
"10","CNP0000460",18,0.2,"dataset","dataset",0.0540540540540541
"11","CNP0000460",20,0.2,"dataset","dataset",0.0823045267489712
"12","CNP0000460",2,0.2,"dataset","dataset",0.00966183574879227
"0","GSE326225",78,0.2,"dataset","dataset",0.0073026870143245
"1","GSE326225",230,0.2,"dataset","dataset",0.0578907626478731
"2","GSE326225",102,0.2,"dataset","dataset",0.032319391634981
"3","GSE326225",215,0.2,"dataset","dataset",0.0689987163029525
"4","GSE326225",206,0.2,"dataset","dataset",0.0946691176470588
"5","GSE326225",173,0.2,"dataset","dataset",0.166827386692382
"6","GSE326225",78,0.2,"dataset","dataset",0.0765456329735034
"7","GSE326225",237,0.2,"dataset","dataset",0.345985401459854
"8","GSE326225",0,0.2,"dataset","dataset",0
"9","GSE326225",51,0.2,"dataset","dataset",0.1513353115727
"10","GSE326225",46,0.2,"dataset","dataset",0.138138138138138
"11","GSE326225",45,0.2,"dataset","dataset",0.185185185185185
"12","GSE326225",4,0.2,"dataset","dataset",0.0193236714975845
"0","HRA003620",7463,0.2,"dataset","dataset",0.698717348562869
"1","HRA003620",6,0.2,"dataset","dataset",0.00151019380820539
"2","HRA003620",87,0.2,"dataset","dataset",0.0275665399239544
"3","HRA003620",30,0.2,"dataset","dataset",0.00962772785622593
"4","HRA003620",107,0.2,"dataset","dataset",0.0491727941176471
"5","HRA003620",151,0.2,"dataset","dataset",0.145612343297975
"6","HRA003620",212,0.2,"dataset","dataset",0.208047105004907
"7","HRA003620",115,0.2,"dataset","dataset",0.167883211678832
"8","HRA003620",0,0.2,"dataset","dataset",0
"9","HRA003620",22,0.2,"dataset","dataset",0.0652818991097923
"10","HRA003620",69,0.2,"dataset","dataset",0.207207207207207
"11","HRA003620",9,0.2,"dataset","dataset",0.037037037037037
"12","HRA003620",0,0.2,"dataset","dataset",0
"0","InhouseData",340,0.2,"dataset","dataset",0.0318322254470555
"1","InhouseData",677,0.2,"dataset","dataset",0.170400201359174
"2","InhouseData",274,0.2,"dataset","dataset",0.0868187579214195
"3","InhouseData",590,0.2,"dataset","dataset",0.189345314505777
"4","InhouseData",846,0.2,"dataset","dataset",0.388786764705882
"5","InhouseData",152,0.2,"dataset","dataset",0.146576663452266
"6","InhouseData",167,0.2,"dataset","dataset",0.163886162904809
"7","InhouseData",150,0.2,"dataset","dataset",0.218978102189781
"8","InhouseData",652,0.2,"dataset","dataset",1
"9","InhouseData",57,0.2,"dataset","dataset",0.169139465875371
"10","InhouseData",124,0.2,"dataset","dataset",0.372372372372372
"11","InhouseData",68,0.2,"dataset","dataset",0.279835390946502
"12","InhouseData",16,0.2,"dataset","dataset",0.0772946859903382
"0","PRJNA662018",2082,0.2,"dataset","dataset",0.194925568766969
"1","PRJNA662018",2741,0.2,"dataset","dataset",0.689906871381827
"2","PRJNA662018",2590,0.2,"dataset","dataset",0.820659062103929
"3","PRJNA662018",1901,0.2,"dataset","dataset",0.61007702182285
"4","PRJNA662018",880,0.2,"dataset","dataset",0.404411764705882
"5","PRJNA662018",271,0.2,"dataset","dataset",0.261330761812922
"6","PRJNA662018",468,0.2,"dataset","dataset",0.459273797841021
"7","PRJNA662018",148,0.2,"dataset","dataset",0.216058394160584
"8","PRJNA662018",0,0.2,"dataset","dataset",0
"9","PRJNA662018",146,0.2,"dataset","dataset",0.433234421364985
"10","PRJNA662018",76,0.2,"dataset","dataset",0.228228228228228
"11","PRJNA662018",101,0.2,"dataset","dataset",0.415637860082305
"12","PRJNA662018",185,0.2,"dataset","dataset",0.893719806763285
"0","CNP0000460_P01N",78,0.2,"specimen_orig_ident","orig.ident",0.0073026870143245
"1","CNP0000460_P01N",1,0.2,"specimen_orig_ident","orig.ident",0.000251698968034231
