"cluster","dataset","n_cells","cluster_dataset_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag","audit_threshold"
"0","CNP0000460",372,0.0711825487944891,0.0788339670468948,0.90294262056032,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","CNP0000460",296,0.0625792811839323,0.0788339670468948,0.793811139133804,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","CNP0000460",100,0.0348796651552145,0.0788339670468948,0.44244462712965,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","CNP0000460",354,0.125088339222615,0.0788339670468948,1.58673150557304,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","CNP0000460",259,0.0947676545920234,0.0788339670468948,1.20211703332969,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","CNP0000460",59,0.0507745266781411,0.0788339670468948,0.644069156737192,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","CNP0000460",290,0.279652844744455,0.0788339670468948,3.54736486339831,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","CNP0000460",94,0.0913508260447036,0.0788339670468948,1.15877494773748,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","CNP0000460",36,0.0356083086053412,0.0788339670468948,0.451687387292834,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","CNP0000460",19,0.0205183585313175,0.0788339670468948,0.260273068829735,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","CNP0000460",88,0.119565217391304,0.0788339670468948,1.51667132671606,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","CNP0000460",35,0.0510204081632653,0.0788339670468948,0.647188135704443,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","CNP0000460",0,0,0.0788339670468948,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","CNP0000460",30,0.0531914893617021,0.0788339670468948,0.674728056372717,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","CNP0000460",61,0.180473372781065,0.0788339670468948,2.28928442321962,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","CNP0000460",58,0.183544303797468,0.0788339670468948,2.32823883755953,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
