"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.35525290406356e-266,2.98372292503652,0.117,0.018,4.82031669147665e-261,"0","SPINK13"
0,2.91935791696818,0.274,0.048,0,"0","CHRDL2"
1.17338218844662e-255,2.82018886624189,0.163,0.04,1.05617304164269e-250,"0","FBXO38-DT"
0,2.80684976754433,0.211,0.051,0,"0","CSF3"
4.95696351235029e-277,2.7965608839443,0.127,0.021,4.46181242710162e-272,"0","MARCOL"
1.47183736906174e-317,2.72338121636048,0.152,0.027,1.32481553426616e-312,"0","PCDH11Y"
0,2.71838652098611,0.235,0.046,0,"0","ENSG00000310283"
5.75923199196956e-204,2.56690033545689,0.115,0.024,5.18394230829172e-199,"0","CCL13"
0,2.45731660553274,0.64,0.141,0,"0","C7"
0,2.36873640712305,0.328,0.091,0,"0","CCL11"
0,2.33608491456568,0.785,0.232,0,"0","SFRP1"
0,2.29042162900105,0.797,0.322,0,"0","SERPINE2"
6.63875721382499e-141,2.29033806987767,0.127,0.04,5.97561175573601e-136,"0","IL11"
1.73555895450661e-252,2.26327620914758,0.142,0.03,1.56219397054095e-247,"0","MAP3K4-AS1"
0,2.22119194253607,0.574,0.243,0,"0","PTGDS"
3.55753450484927e-317,2.18168266433226,0.258,0.08,3.20217238315988e-312,"0","TFPI2"
0,2.18111821802036,0.216,0.055,0,"0","BMP6"
0,2.16703634474292,0.307,0.071,0,"0","IGSF10"
2.16417993375987e-251,2.16035023359353,0.179,0.048,1.9480000001766e-246,"0","MYOC"
0,2.13875509985426,0.785,0.248,0,"0","IGF1"
0,4.63127828415508,0.103,0.008,0,"1","PRG4"
0,4.50236712337213,0.197,0.009,0,"1","WNT10B"
0,4.29014708329994,0.118,0.006,0,"1","WT1"
0,4.16758951400001,0.123,0.009,0,"1","KCNB2"
0,4.0345775983352,0.285,0.022,0,"1","ENSG00000304884"
0,4.01013897494259,0.346,0.026,0,"1","LINC02511"
0,3.9727901302351,0.11,0.009,0,"1","DUOXA2"
0,3.9377694702104,0.105,0.008,0,"1","ENSG00000308368"
0,3.77607844925647,0.12,0.01,0,"1","KRT24"
0,3.75103956419774,0.113,0.007,0,"1","FAM180B"
0,3.67217340331881,0.659,0.126,0,"1","C17orf58"
0,3.56299455696688,0.144,0.01,0,"1","KRT222"
0,3.56029332973205,0.169,0.015,0,"1","DACT2"
0,3.51722371975967,0.778,0.128,0,"1","CLEC3B"
0,3.51456176705739,0.947,0.205,0,"1","MFAP5"
0,3.38074437538058,0.176,0.022,0,"1","ADGRG2"
0,3.26348553925071,0.117,0.011,0,"1","TNFRSF8"
0,3.17898263923933,0.148,0.017,0,"1","DUOX2"
0,3.03776919914042,0.131,0.014,0,"1","CD70"
0,3.03634372557,0.545,0.088,0,"1","LINC01133"
0,6.32173011372371,0.229,0.024,0,"2","CCL21"
1.89992986556525e-252,5.04537730677452,0.15,0.03,1.71014587129394e-247,"2","CCL19"
0,4.06612683329882,0.612,0.039,0,"2","ADGRF5"
0,4.03522256739689,0.162,0.009,0,"2","TMEM74B"
0,3.98165386492438,0.158,0.011,0,"2","DLX5"
0,3.90240845702774,0.132,0.01,0,"2","IQSEC3-AS1"
0,3.80865005473224,0.176,0.013,0,"2","LPL"
0,3.77762405039541,0.473,0.059,0,"2","EGFLAM"
0,3.74755013853083,0.13,0.01,0,"2","WNT6"
0,3.72922074839634,0.125,0.011,0,"2","RASD2"
0,3.71807883492271,0.516,0.053,0,"2","HIGD1B"
0,3.69137748096652,0.234,0.024,0,"2","KCNQ3"
0,3.57254348809795,0.613,0.093,0,"2","GUCY1A2"
0,3.49645607228643,0.539,0.083,0,"2","COX4I2"
0,3.44783426434618,0.435,0.066,0,"2","FAM13C"
0,3.40351351494422,0.368,0.045,0,"2","LZTS1"
2.29020547844633e-289,3.38692670194196,0.101,0.009,2.06143685320432e-284,"2","LYPD1"
0,3.3854311608114,0.814,0.246,0,"2","CCDC102B"
1.04177452017502e-308,3.35320756825249,0.119,0.013,9.3771166335474e-304,"2","SLC6A1"
1.32867191071761e-280,3.34721489645552,0.12,0.015,1.19595087355603e-275,"2","CD36"
0,6.69218173952984,0.141,0.002,0,"3","LOHAN2"
0,6.05861752334319,0.236,0.005,0,"3","PRPH"
0,5.97639050022669,0.454,0.016,0,"3","RERGL"
0,5.48162276093282,0.177,0.008,0,"3","SRL"
0,5.37982531418924,0.19,0.006,0,"3","KCNA5"
0,5.30003742804602,0.165,0.005,0,"3","CARMAL"
0,5.27879160468786,0.302,0.011,0,"3","CASQ2"
0,5.19816571322605,0.361,0.019,0,"3","DES"
0,5.17135018249092,0.192,0.01,0,"3","P2RX1"
0,5.04701442573572,0.199,0.008,0,"3","SUSD5"
0,5.00485708194928,0.65,0.046,0,"3","PLN"
0,4.99487001422822,0.266,0.016,0,"3","MUSTN1"
0,4.98849996621434,0.259,0.012,0,"3","SPEG"
0,4.92941270932307,0.11,0.005,0,"3","ITIH3"
0,4.83863623236735,0.1,0.004,0,"3","ENSG00000288771"
0,4.79126827730906,0.113,0.006,0,"3","ENSG00000226409"
0,4.55522356621778,0.103,0.005,0,"3","DUSP26"
0,4.55069608624468,0.11,0.005,0,"3","ADRA1A"
0,4.53460746546156,0.715,0.105,0,"3","SORBS2"
0,4.52177045640604,0.173,0.009,0,"3","SCN3A"
0,5.25008119276741,0.228,0.01,0,"4","GALNTL6"
0,5.09379226676312,0.208,0.008,0,"4","FAM135B"
0,4.98359863025429,0.166,0.005,0,"4","TACR3"
0,4.91625894822495,0.706,0.066,0,"4","NRG1"
0,4.58321098308973,0.245,0.02,0,"4","RBFOX1"
0,4.48665282619185,0.326,0.028,0,"4","ENSG00000260658"
0,4.44606607415029,0.114,0.005,0,"4","ENSG00000291250"
0,4.146757984216,0.303,0.022,0,"4","ATRNL1"
0,4.14212788902815,0.136,0.008,0,"4","TNFSF11"
0,4.0934512894761,0.506,0.06,0,"4","STC1"
0,4.08668846596217,0.694,0.075,0,"4","TRPA1"
0,4.07112753800253,0.127,0.009,0,"4","ENSG00000269289"
0,4.06280060054139,0.546,0.053,0,"4","SLC14A1"
0,3.99967722033208,0.119,0.009,0,"4","NPFFR2"
0,3.97002554148773,0.148,0.011,0,"4","MCOLN3"
4.16804090022688e-274,3.87690974423453,0.114,0.011,3.75169529470322e-269,"4","MTUS2"
3.95252516672997e-323,3.85568719048861,0.11,0.008,3.55770742782532e-318,"4","ENSG00000290357"
0,3.84707236716556,0.16,0.011,0,"4","LRRC3B"
0,3.84562416489259,0.219,0.018,0,"4","C1QL1"
0,3.83182917371723,0.1,0.006,0,"4","PCSK2"
5.60290145774256e-60,2.73512514310395,0.108,0.028,5.04322763112866e-55,"5","SERPINA3"
5.14347541410762e-92,2.47449948698325,0.37,0.178,4.62969365499241e-87,"5","NUPR1"
4.47550314613941e-78,2.38007429458706,0.248,0.098,4.02844513687154e-73,"5","MMP23B"
0.00196230448956225,2.36841965696833,0.354,0.351,1,"5","IGLC2"
4.96803556323974e-61,2.32029899887089,0.135,0.04,4.47177849082772e-56,"5","PHB"
1.82624090692159e-95,2.31974310141115,0.213,0.065,1.64381770272919e-90,"5","C4orf48"
2.20955727162834e-94,2.27187206344787,0.206,0.061,1.98884459576538e-89,"5","C9orf16"
3.19835642983951e-61,2.14515699228743,0.141,0.043,2.87887260606284e-56,"5","METTL7A"
1.78370535230441e-98,2.08577125779965,0.265,0.093,1.60553102466272e-93,"5","WDR83OS"
1.31400910510805e-89,2.05263501741955,0.236,0.08,1.18275273559881e-84,"5","ATP5MPL"
2.73566053309e-108,2.03143120930363,0.3,0.108,2.46239540243964e-103,"5","ATP6V0C"
4.83643532017156e-120,2.02356464533538,0.348,0.132,4.35332379603962e-115,"5","CD99"
6.3452599733066e-92,1.98032791082095,0.248,0.085,5.711431954573e-87,"5","ATP5MD"
1.27172836371799e-107,1.94896321545112,0.307,0.112,1.1446954174662e-102,"5","SLC25A6"
3.1595241938584e-39,1.94445021524687,0.112,0.038,2.84391932213388e-34,"5","PYURF"
2.02751864496115e-97,1.94407897852601,0.4,0.193,1.82498980751598e-92,"5","NME2"
2.44735734410723e-20,1.88940820274571,0.378,0.301,2.20289081900436e-15,"5","CXCL14"
5.2048777538187e-64,1.87031756259138,0.473,0.324,4.68496251498975e-59,"5","EEF1G"
2.53077155932116e-56,1.82410455445117,0.261,0.122,2.27797278826057e-51,"5","TRAPPC5"
2.16555510163001e-54,1.80713980497753,0.168,0.06,1.94923780252819e-49,"5","H1FX"
0,5.81595812495689,0.395,0.01,0,"6","COL10A1"
0,5.41785047364514,0.437,0.017,0,"6","COL11A1"
0,5.23763297745161,0.394,0.012,0,"6","PLPP4"
0,5.08181903802335,0.157,0.009,0,"6","AC004160.1"
0,4.93220154247213,0.12,0.003,0,"6","C5orf46"
0,4.77460922518631,0.511,0.096,0,"6","MMP11"
0,4.59495234088289,0.231,0.007,0,"6","LINC01429"
0,4.412369484323,0.22,0.012,0,"6","LINC01705"
2.01235634101692e-202,4.29255923080201,0.116,0.01,1.81134206611274e-197,"6","COL6A6"
1.21632716332859e-296,4.28968639663614,0.156,0.012,1.0948282429837e-291,"6","LRRC15"
0,4.27681437430877,0.14,0.006,0,"6","SLC24A2"
1.22760469324493e-306,4.22400218347166,0.143,0.01,1.10497926043669e-301,"6","DKK2"
1.46143075053764e-284,4.03638149361355,0.122,0.007,1.31544843286644e-279,"6","LINC00922"
0,3.86470870092909,0.683,0.118,0,"6","KIF26B"
0,3.8380703825921,0.3,0.028,0,"6","FNDC1"
1.23290172484609e-295,3.78596035537058,0.133,0.008,1.10974717155121e-290,"6","CDH2"
