"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.11635846593228,0.109,0.004,0,"0","ENSG00000291165"
0,4.63016753295539,0.116,0.009,0,"0","PRG4"
0,4.33256515385987,0.142,0.009,0,"0","KCNB2"
0,4.15568007474106,0.133,0.007,0,"0","WT1"
0,4.00937337006636,0.213,0.012,0,"0","WNT10B"
0,3.89056190410357,0.376,0.032,0,"0","LINC02511"
0,3.80012047553647,0.117,0.009,0,"0","ENSG00000308368"
0,3.77356282549174,0.308,0.027,0,"0","ENSG00000304884"
0,3.75164795801363,0.119,0.011,0,"0","DUOXA2"
0,3.54773730669311,0.2,0.023,0,"0","ADGRG2"
0,3.49423320056922,0.126,0.012,0,"0","KRT24"
0,3.46432729250123,0.679,0.14,0,"0","C17orf58"
0,3.42057152705267,0.122,0.009,0,"0","FAM180B"
0,3.37106358313416,0.181,0.018,0,"0","DACT2"
0,3.30020470772821,0.155,0.013,0,"0","KRT222"
0,3.26133565827917,0.13,0.012,0,"0","TNFRSF8"
7.99857316935765e-228,3.20182946184743,0.108,0.016,7.19959569547051e-223,"0","ENSG00000226197"
0,3.17990253486321,0.791,0.147,0,"0","CLEC3B"
0,3.1376465443625,0.163,0.019,0,"0","DUOX2"
0,3.1260145911917,0.946,0.23,0,"0","MFAP5"
0,3.27328812667566,0.316,0.055,0,"1","CSF3"
1.15363664034646e-298,3.19971810217029,0.202,0.04,1.03839987634225e-293,"1","IL11"
0,2.97052864158877,0.387,0.083,0,"1","TFPI2"
5.01081378012192e-319,2.93701098915794,0.223,0.046,4.51028359162554e-314,"1","FBXO38-DT"
1.92761603996386e-315,2.91313358711519,0.173,0.027,1.73506647373187e-310,"1","MARCOL"
6.20308025659778e-282,2.88099539655183,0.165,0.028,5.58345456976622e-277,"1","CCL13"
1.44450738970028e-294,2.79820182195302,0.158,0.024,1.30021554654312e-289,"1","SPINK13"
0,2.70016343042734,0.314,0.058,0,"1","ENSG00000310283"
1.24549962880584e-193,2.62710153398245,0.103,0.015,1.12108667088442e-188,"1","SFTA1P"
6.65854501065091e-184,2.56518915314426,0.125,0.024,5.99342294953699e-179,"1","RPL21P12"
1.37716341046923e-166,2.53124426228716,0.214,0.072,1.23959855739746e-161,"1","CEMIP"
0,2.52415003629099,0.478,0.17,0,"1","CXCL1"
0,2.40080577906658,0.557,0.143,0,"1","LIF"
0,2.28914713928481,0.662,0.269,0,"1","PTGDS"
5.68570187942021e-238,2.28592816670296,0.178,0.038,5.11775711868492e-233,"1","MAP3K4-AS1"
0,2.2640258533435,0.319,0.068,0,"1","CHRDL2"
9.68191821331009e-181,2.24495260817904,0.135,0.028,8.71479140298254e-176,"1","PCSK1"
1.4572494756531e-193,2.18273638770875,0.156,0.035,1.31168482553011e-188,"1","TRIM72"
6.7845891341648e-260,2.1802146054108,0.183,0.037,6.10687652555307e-255,"1","PCDH11Y"
2.16465488152472e-127,2.17524857464093,0.177,0.059,1.94842750540922e-122,"1","RDUR"
0,6.12157700979725,0.259,0.005,0,"2","PRPH"
0,6.02470504767258,0.497,0.016,0,"2","RERGL"
0,5.41070577473812,0.207,0.006,0,"2","KCNA5"
0,5.15222599564023,0.147,0.003,0,"2","LOHAN2"
0,5.08428652213633,0.289,0.016,0,"2","MUSTN1"
0,5.06728320301874,0.187,0.009,0,"2","SRL"
0,5.0024180001923,0.176,0.006,0,"2","CARMAL"
0,4.92215673639867,0.691,0.048,0,"2","PLN"
0,4.89595740352193,0.108,0.005,0,"2","ENSG00000288771"
0,4.85188946566482,0.312,0.013,0,"2","CASQ2"
0,4.79125441611701,0.118,0.005,0,"2","ITIH3"
0,4.74749407563673,0.213,0.009,0,"2","SUSD5"
0,4.54477881985447,0.112,0.005,0,"2","DUSP26"
0,4.52314796596197,0.476,0.035,0,"2","NRGN"
0,4.47425797651122,0.144,0.013,0,"2","SCX"
0,4.45511017511742,0.133,0.008,0,"2","MYOZ1"
0,4.36934478716391,0.754,0.097,0,"2","BCAM"
0,4.33043435002913,0.263,0.014,0,"2","SPEG"
0,4.32326983968713,0.162,0.012,0,"2","BRSK2"
5.03996140252881e-278,4.29744091566539,0.1,0.008,4.53651965803021e-273,"2","LINC01348"
0,2.28124736957408,0.682,0.228,0,"3","DPT"
4.84824307379137e-198,2.26923480801574,0.216,0.061,4.36395207315035e-193,"3","MYOC"
0,2.08755561763086,0.512,0.169,0,"3","CCN5"
0,2.03607672707431,0.61,0.207,0,"3","C7"
3.15610253809471e-68,2.00184100707143,0.109,0.038,2.84083945556443e-63,"3","SLC66A1LP.1"
0,1.90984846835206,0.935,0.42,0,"3","SFRP2"
0,1.894218376066,0.801,0.31,0,"3","ADH1B"
4.26613083177908e-260,1.88915352597472,0.319,0.1,3.83998702299267e-255,"3","IGSF10"
2.67138813526196e-118,1.80336752082949,0.163,0.053,2.40454317443064e-113,"3","KCNN3"
0,1.79830896757555,0.836,0.313,0,"3","OGN"
8.46327043343395e-48,1.78687136518471,0.132,0.061,7.61787434983823e-43,"3","COMP"
0,1.72232754250158,0.99,0.823,0,"3","MGP"
1.90899067620778e-129,1.67672072415199,0.252,0.102,1.71830159756138e-124,"3","FAIM2"
0,1.66660474201744,0.971,0.779,0,"3","GSN"
0,1.66077435589358,0.758,0.305,0,"3","SFRP1"
1.52928068939933e-265,1.65564091646873,0.421,0.161,1.37652084133523e-260,"3","CPVL"
5.60760881837343e-73,1.65481685911789,0.119,0.042,5.04746477350611e-68,"3","ENSG00000289884"
1.56158960517269e-191,1.65329256517032,0.302,0.111,1.40560241951199e-186,"3","JAM2"
1.0939598045353e-99,1.64708453180706,0.188,0.073,9.84684159660266e-95,"3","SGCG"
7.86905588748971e-263,1.6427297526323,0.464,0.197,7.08301589488836e-258,"3","C16orf89"
0,5.25292250069639,0.228,0.01,0,"4","GALNTL6"
0,5.09356956017707,0.208,0.008,0,"4","FAM135B"
0,4.98643993818326,0.166,0.005,0,"4","TACR3"
0,4.91012328170278,0.706,0.066,0,"4","NRG1"
0,4.5860522910187,0.245,0.02,0,"4","RBFOX1"
0,4.48949413412082,0.326,0.028,0,"4","ENSG00000260658"
0,4.42987308975517,0.114,0.005,0,"4","ENSG00000291250"
0,4.14959929214497,0.304,0.022,0,"4","ATRNL1"
0,4.14496919695713,0.136,0.008,0,"4","TNFSF11"
0,4.0961334127526,0.507,0.06,0,"4","STC1"
