"resolution","cluster","n_cells","fraction"
0.2,"0",10681,0.386782545717907
0.2,"1",3973,0.143871084555495
0.2,"2",3156,0.114285714285714
0.2,"3",3116,0.112837226145211
0.2,"4",2176,0.0787977548433822
0.2,"5",1037,0.0375520550425493
0.2,"6",1019,0.0369002353793228
0.2,"7",685,0.0248053594061199
0.2,"8",652,0.0236103566902046
0.2,"9",337,0.0122035125837407
0.2,"10",333,0.0120586637696904
0.2,"11",243,0.00879956545355785
0.2,"12",207,0.00749592612710483
0.4,"0",5973,0.216295491580663
0.4,"1",4965,0.179793590439978
0.4,"2",3934,0.142458808618504
0.4,"3",3156,0.114285714285714
0.4,"4",2831,0.102516748144125
0.4,"5",1305,0.0472569255839218
0.4,"6",1271,0.0460257106644939
0.4,"7",1037,0.0375520550425493
0.4,"8",1023,0.0370450841933732
0.4,"9",686,0.0248415716096324
0.4,"10",652,0.0236103566902046
0.4,"11",333,0.0120586637696904
0.4,"12",242,0.00876335325004527
0.4,"13",207,0.00749592612710483
0.6,"0",5226,0.189244975556763
0.6,"1",4730,0.171283722614521
0.6,"2",2867,0.103820387470578
0.6,"3",2830,0.102480535940612
0.6,"4",2733,0.0989679521998914
0.6,"5",1162,0.0420785804816223
0.6,"6",1037,0.0375520550425493
0.6,"7",1029,0.0372623574144487
0.6,"8",1011,0.0366105377512222
0.6,"9",926,0.0335325004526525
0.6,"10",736,0.0266521817852616
0.6,"11",686,0.0248415716096324
0.6,"12",653,0.0236465688937172
0.6,"13",564,0.0204236827810972
0.6,"14",338,0.0122397247872533
0.6,"15",316,0.0114430563099765
0.6,"16",285,0.0103204780010864
0.6,"17",279,0.0101032047800109
0.6,"18",207,0.00749592612710483
0.8,"0",4179,0.151330798479087
0.8,"1",3196,0.115734202426218
0.8,"2",2869,0.103892811877603
0.8,"3",2832,0.102552960347637
0.8,"4",2826,0.102335687126562
0.8,"5",2743,0.0993300742350172
0.8,"6",1155,0.0418250950570342
0.8,"7",1092,0.0395437262357414
0.8,"8",1035,0.0374796306355242
0.8,"9",1021,0.036972659786348
0.8,"10",926,0.0335325004526525
0.8,"11",731,0.0264711207676987
0.8,"12",687,0.024877783813145
0.8,"13",652,0.0236103566902046
0.8,"14",562,0.0203512583740721
0.8,"15",337,0.0122035125837407
0.8,"16",286,0.010356690204599
0.8,"17",279,0.0101032047800109
0.8,"18",207,0.00749592612710483
