"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.2,0.4,"0","0",5691,0.532815279468215
0.2,0.4,"3","0",281,0.0901797175866496
0.2,0.4,"10","0",1,0.003003003003003
0.2,0.4,"0","1",4965,0.464844115719502
0.2,0.4,"1","2",3934,0.990183740246665
0.2,0.4,"2","3",3156,1
0.2,0.4,"3","4",2831,0.908536585365854
0.2,0.4,"0","5",7,0.000655369347439378
0.2,0.4,"1","5",39,0.00981625975333501
0.2,0.4,"4","5",1254,0.576286764705882
0.2,0.4,"9","5",4,0.0118694362017804
0.2,0.4,"11","5",1,0.00411522633744856
0.2,0.4,"0","6",14,0.00131073869487876
0.2,0.4,"3","6",3,0.000962772785622593
0.2,0.4,"4","6",922,0.423713235294118
0.2,0.4,"10","6",332,0.996996996996997
0.2,0.4,"5","7",1037,1
0.2,0.4,"0","8",3,0.000280872577474019
0.2,0.4,"3","8",1,0.000320924261874198
0.2,0.4,"6","8",1019,1
0.2,0.4,"0","9",1,9.36241924913398e-05
0.2,0.4,"7","9",685,1
0.2,0.4,"8","10",652,1
0.2,0.4,"9","11",333,0.98813056379822
0.2,0.4,"11","12",242,0.995884773662551
0.2,0.4,"12","13",207,1
0.4,0.6,"0","0",5014,0.839444165411016
0.4,0.6,"1","0",211,0.0424974823766365
0.4,0.6,"5","0",1,0.000766283524904215
0.4,0.6,"0","1",8,0.00133936045538255
0.4,0.6,"1","1",4722,0.951057401812689
0.4,0.6,"2","2",3,0.000762582613116421
0.4,0.6,"3","2",2864,0.907477820025348
0.4,0.6,"4","3",2829,0.999293535853055
0.4,0.6,"6","3",1,0.000786782061369001
0.4,0.6,"2","4",2733,0.69471276054906
0.4,0.6,"2","5",1162,0.295373665480427
0.4,0.6,"7","6",1037,1
0.4,0.6,"3","7",7,0.00221799746514575
0.4,0.6,"8","7",1022,0.999022482893451
0.4,0.6,"0","8",632,0.105809475975222
0.4,0.6,"1","8",31,0.00624370594159114
0.4,0.6,"6","8",348,0.273800157356412
0.4,0.6,"4","9",1,0.000353232073472271
0.4,0.6,"5","9",2,0.00153256704980843
0.4,0.6,"6","9",922,0.725413060582219
0.4,0.6,"8","9",1,0.000977517106549365
0.4,0.6,"5","10",736,0.563984674329502
0.4,0.6,"9","11",686,1
0.4,0.6,"0","12",1,0.000167420056922819
0.4,0.6,"10","12",652,1
0.4,0.6,"0","13",2,0.000334840113845639
0.4,0.6,"4","13",1,0.000353232073472271
0.4,0.6,"5","13",561,0.429885057471264
0.4,0.6,"0","14",1,0.000167420056922819
0.4,0.6,"5","14",4,0.00306513409961686
0.4,0.6,"11","14",333,1
0.4,0.6,"0","15",315,0.0527373179306881
0.4,0.6,"1","15",1,0.000201409869083585
0.4,0.6,"3","16",285,0.0903041825095057
0.4,0.6,"2","17",36,0.00915099135739705
0.4,0.6,"5","17",1,0.000766283524904215
0.4,0.6,"12","17",242,1
0.4,0.6,"13","18",207,1
0.6,0.8,"0","0",111,0.021239954075775
0.6,0.8,"1","0",4067,0.859830866807611
0.6,0.8,"15","0",1,0.00316455696202532
0.6,0.8,"0","1",2870,0.549177190968236
0.6,0.8,"1","1",6,0.00126849894291755
0.6,0.8,"3","1",4,0.00141342756183746
0.6,0.8,"13","1",2,0.00354609929078014
0.6,0.8,"15","1",314,0.993670886075949
0.6,0.8,"2","2",2862,0.998256016742239
0.6,0.8,"7","2",7,0.00680272108843537
0.6,0.8,"0","3",2210,0.422885572139304
0.6,0.8,"1","3",612,0.12938689217759
0.6,0.8,"7","3",1,0.000971817298347911
0.6,0.8,"8","3",1,0.000989119683481701
0.6,0.8,"10","3",6,0.00815217391304348
0.6,0.8,"11","3",1,0.00145772594752187
0.6,0.8,"12","3",1,0.00153139356814701
0.6,0.8,"3","4",2826,0.998586572438163
0.6,0.8,"2","5",1,0.000348796651552145
0.6,0.8,"4","5",2722,0.995975118916941
0.6,0.8,"5","5",20,0.0172117039586919
0.6,0.8,"2","6",2,0.00069759330310429
0.6,0.8,"4","6",11,0.00402488108305891
0.6,0.8,"5","6",1142,0.982788296041308
0.6,0.8,"0","7",35,0.0066972828166858
0.6,0.8,"1","7",45,0.00951374207188161
0.6,0.8,"8","7",1010,0.999010880316518
0.6,0.8,"14","7",1,0.0029585798816568
0.6,0.8,"15","7",1,0.00316455696202532
0.6,0.8,"6","8",1035,0.998071359691418
0.6,0.8,"7","9",1021,0.992225461613217
0.6,0.8,"9","10",926,1
0.6,0.8,"2","11",1,0.000348796651552145
0.6,0.8,"10","11",730,0.991847826086957
0.6,0.8,"6","12",2,0.00192864030858245
0.6,0.8,"11","12",685,0.998542274052478
0.6,0.8,"12","13",652,0.998468606431853
0.6,0.8,"13","14",562,0.99645390070922
0.6,0.8,"14","15",337,0.997041420118343
0.6,0.8,"2","16",1,0.000348796651552145
0.6,0.8,"16","16",285,1
0.6,0.8,"17","17",279,1
0.6,0.8,"18","18",207,1
