"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"0","CNP0000460",723,0.2,"dataset",0.0687719965756682
"1","CNP0000460",338,0.2,"dataset",0.0834567901234568
"2","CNP0000460",429,0.2,"dataset",0.109802917839775
"3","CNP0000460",75,0.2,"dataset",0.0252610306500505
"4","CNP0000460",33,0.2,"dataset",0.0264847512038523
"5","CNP0000460",131,0.2,"dataset",0.125719769673704
"6","CNP0000460",0,0.2,"dataset",0
"7","CNP0000460",2,0.2,"dataset",0.00966183574879227
"8","CNP0000460",18,0.2,"dataset",0.0927835051546392
"9","CNP0000460",9,0.2,"dataset",0.0596026490066225
"0","GSE326225",57,0.2,"dataset",0.00542185865119376
"1","GSE326225",243,0.2,"dataset",0.06
"2","GSE326225",300,0.2,"dataset",0.0767852572306117
"3","GSE326225",95,0.2,"dataset",0.031997305490064
"4","GSE326225",101,0.2,"dataset",0.0810593900481541
"5","GSE326225",110,0.2,"dataset",0.105566218809981
"6","GSE326225",12,0.2,"dataset",0.0202360876897133
"7","GSE326225",5,0.2,"dataset",0.0241545893719807
"8","GSE326225",27,0.2,"dataset",0.139175257731959
"9","GSE326225",27,0.2,"dataset",0.178807947019868
"0","HRA003620",7514,0.2,"dataset",0.714734138685437
"1","HRA003620",6,0.2,"dataset",0.00148148148148148
"2","HRA003620",23,0.2,"dataset",0.00588686972101357
"3","HRA003620",87,0.2,"dataset",0.0293027955540586
"4","HRA003620",37,0.2,"dataset",0.0296950240770466
"5","HRA003620",73,0.2,"dataset",0.0700575815738964
"6","HRA003620",0,0.2,"dataset",0
"7","HRA003620",0,0.2,"dataset",0
"8","HRA003620",9,0.2,"dataset",0.0463917525773196
"9","HRA003620",42,0.2,"dataset",0.278145695364238
"0","InhouseData",177,0.2,"dataset",0.0168362979168648
"1","InhouseData",704,0.2,"dataset",0.173827160493827
"2","InhouseData",1067,0.2,"dataset",0.273099564883542
"3","InhouseData",234,0.2,"dataset",0.0788144156281576
"4","InhouseData",556,0.2,"dataset",0.446227929373997
"5","InhouseData",234,0.2,"dataset",0.224568138195777
"6","InhouseData",581,0.2,"dataset",0.979763912310287
"7","InhouseData",16,0.2,"dataset",0.0772946859903382
"8","InhouseData",45,0.2,"dataset",0.231958762886598
"9","InhouseData",31,0.2,"dataset",0.205298013245033
"0","PRJNA662018",2042,0.2,"dataset",0.194235708170836
"1","PRJNA662018",2759,0.2,"dataset",0.681234567901235
"2","PRJNA662018",2088,0.2,"dataset",0.534425390325058
"3","PRJNA662018",2478,0.2,"dataset",0.834624452677669
"4","PRJNA662018",519,0.2,"dataset",0.41653290529695
"5","PRJNA662018",494,0.2,"dataset",0.474088291746641
"6","PRJNA662018",0,0.2,"dataset",0
"7","PRJNA662018",184,0.2,"dataset",0.888888888888889
"8","PRJNA662018",95,0.2,"dataset",0.489690721649485
"9","PRJNA662018",42,0.2,"dataset",0.278145695364238
"0","CNP0000460_P01N",76,0.2,"orig.ident",0.00722914486825835
"1","CNP0000460_P01N",1,0.2,"orig.ident",0.000246913580246914
"2","CNP0000460_P01N",58,0.2,"orig.ident",0.0148451497312516
"3","CNP0000460_P01N",7,0.2,"orig.ident",0.00235769619400472
"4","CNP0000460_P01N",0,0.2,"orig.ident",0
"5","CNP0000460_P01N",14,0.2,"orig.ident",0.0134357005758157
"6","CNP0000460_P01N",0,0.2,"orig.ident",0
"7","CNP0000460_P01N",1,0.2,"orig.ident",0.00483091787439614
"8","CNP0000460_P01N",0,0.2,"orig.ident",0
"9","CNP0000460_P01N",1,0.2,"orig.ident",0.00662251655629139
"0","CNP0000460_P01T",0,0.2,"orig.ident",0
"1","CNP0000460_P01T",16,0.2,"orig.ident",0.00395061728395062
"2","CNP0000460_P01T",2,0.2,"orig.ident",0.000511901714870745
"3","CNP0000460_P01T",1,0.2,"orig.ident",0.000336813742000674
"4","CNP0000460_P01T",9,0.2,"orig.ident",0.007223113964687
"5","CNP0000460_P01T",2,0.2,"orig.ident",0.00191938579654511
"6","CNP0000460_P01T",0,0.2,"orig.ident",0
"7","CNP0000460_P01T",0,0.2,"orig.ident",0
"8","CNP0000460_P01T",2,0.2,"orig.ident",0.0103092783505155
"9","CNP0000460_P01T",0,0.2,"orig.ident",0
"0","CNP0000460_P02N",19,0.2,"orig.ident",0.00180728621706459
"1","CNP0000460_P02N",0,0.2,"orig.ident",0
"2","CNP0000460_P02N",9,0.2,"orig.ident",0.00230355771691835
"3","CNP0000460_P02N",0,0.2,"orig.ident",0
"4","CNP0000460_P02N",0,0.2,"orig.ident",0
"5","CNP0000460_P02N",8,0.2,"orig.ident",0.00767754318618042
"6","CNP0000460_P02N",0,0.2,"orig.ident",0
"7","CNP0000460_P02N",0,0.2,"orig.ident",0
"8","CNP0000460_P02N",0,0.2,"orig.ident",0
"9","CNP0000460_P02N",0,0.2,"orig.ident",0
"0","CNP0000460_P02T",1,0.2,"orig.ident",9.51203272139256e-05
"1","CNP0000460_P02T",24,0.2,"orig.ident",0.00592592592592593
"2","CNP0000460_P02T",45,0.2,"orig.ident",0.0115177885845918
"3","CNP0000460_P02T",2,0.2,"orig.ident",0.000673627484001347
"4","CNP0000460_P02T",11,0.2,"orig.ident",0.00882825040128411
"5","CNP0000460_P02T",13,0.2,"orig.ident",0.0124760076775432
"6","CNP0000460_P02T",0,0.2,"orig.ident",0
"7","CNP0000460_P02T",0,0.2,"orig.ident",0
"8","CNP0000460_P02T",0,0.2,"orig.ident",0
"9","CNP0000460_P02T",1,0.2,"orig.ident",0.00662251655629139
"0","CNP0000460_P03N",43,0.2,"orig.ident",0.0040901740701988
"1","CNP0000460_P03N",0,0.2,"orig.ident",0
"2","CNP0000460_P03N",48,0.2,"orig.ident",0.0122856411568979
"3","CNP0000460_P03N",2,0.2,"orig.ident",0.000673627484001347
"4","CNP0000460_P03N",0,0.2,"orig.ident",0
"5","CNP0000460_P03N",5,0.2,"orig.ident",0.00479846449136276
"6","CNP0000460_P03N",0,0.2,"orig.ident",0
"7","CNP0000460_P03N",0,0.2,"orig.ident",0
"8","CNP0000460_P03N",0,0.2,"orig.ident",0
"9","CNP0000460_P03N",1,0.2,"orig.ident",0.00662251655629139
"0","CNP0000460_P03T",3,0.2,"orig.ident",0.000285360981641777
"1","CNP0000460_P03T",0,0.2,"orig.ident",0
"2","CNP0000460_P03T",3,0.2,"orig.ident",0.000767852572306117
"3","CNP0000460_P03T",1,0.2,"orig.ident",0.000336813742000674
"4","CNP0000460_P03T",0,0.2,"orig.ident",0
"5","CNP0000460_P03T",1,0.2,"orig.ident",0.000959692898272553
"6","CNP0000460_P03T",0,0.2,"orig.ident",0
"7","CNP0000460_P03T",0,0.2,"orig.ident",0
"8","CNP0000460_P03T",0,0.2,"orig.ident",0
"9","CNP0000460_P03T",0,0.2,"orig.ident",0
"0","CNP0000460_P04T",0,0.2,"orig.ident",0
"1","CNP0000460_P04T",15,0.2,"orig.ident",0.0037037037037037
"2","CNP0000460_P04T",11,0.2,"orig.ident",0.0028154594317891
"3","CNP0000460_P04T",7,0.2,"orig.ident",0.00235769619400472
"4","CNP0000460_P04T",2,0.2,"orig.ident",0.00160513643659711
"5","CNP0000460_P04T",4,0.2,"orig.ident",0.00383877159309021
"6","CNP0000460_P04T",0,0.2,"orig.ident",0
"7","CNP0000460_P04T",0,0.2,"orig.ident",0
"8","CNP0000460_P04T",0,0.2,"orig.ident",0
"9","CNP0000460_P04T",0,0.2,"orig.ident",0
"0","CNP0000460_P05N",304,0.2,"orig.ident",0.0289165794730334
"1","CNP0000460_P05N",0,0.2,"orig.ident",0
"2","CNP0000460_P05N",5,0.2,"orig.ident",0.00127975428717686
"3","CNP0000460_P05N",0,0.2,"orig.ident",0
"4","CNP0000460_P05N",0,0.2,"orig.ident",0
"5","CNP0000460_P05N",24,0.2,"orig.ident",0.0230326295585413
"6","CNP0000460_P05N",0,0.2,"orig.ident",0
"7","CNP0000460_P05N",0,0.2,"orig.ident",0
"8","CNP0000460_P05N",7,0.2,"orig.ident",0.0360824742268041
"9","CNP0000460_P05N",1,0.2,"orig.ident",0.00662251655629139
"0","CNP0000460_P05T",7,0.2,"orig.ident",0.000665842290497479
"1","CNP0000460_P05T",70,0.2,"orig.ident",0.0172839506172839
"2","CNP0000460_P05T",97,0.2,"orig.ident",0.0248272331712311
"3","CNP0000460_P05T",12,0.2,"orig.ident",0.00404176490400808
"4","CNP0000460_P05T",1,0.2,"orig.ident",0.000802568218298555
"5","CNP0000460_P05T",14,0.2,"orig.ident",0.0134357005758157
"6","CNP0000460_P05T",0,0.2,"orig.ident",0
"7","CNP0000460_P05T",0,0.2,"orig.ident",0
"8","CNP0000460_P05T",3,0.2,"orig.ident",0.0154639175257732
"9","CNP0000460_P05T",2,0.2,"orig.ident",0.0132450331125828
"0","CNP0000460_P06T",12,0.2,"orig.ident",0.00114144392656711
"1","CNP0000460_P06T",44,0.2,"orig.ident",0.0108641975308642
"2","CNP0000460_P06T",30,0.2,"orig.ident",0.00767852572306117
"3","CNP0000460_P06T",7,0.2,"orig.ident",0.00235769619400472
"4","CNP0000460_P06T",3,0.2,"orig.ident",0.00240770465489567
"5","CNP0000460_P06T",11,0.2,"orig.ident",0.0105566218809981
"6","CNP0000460_P06T",0,0.2,"orig.ident",0
"7","CNP0000460_P06T",0,0.2,"orig.ident",0
"8","CNP0000460_P06T",0,0.2,"orig.ident",0
"9","CNP0000460_P06T",0,0.2,"orig.ident",0
"0","CNP0000460_P07N",245,0.2,"orig.ident",0.0233044801674118
"1","CNP0000460_P07N",0,0.2,"orig.ident",0
"2","CNP0000460_P07N",47,0.2,"orig.ident",0.0120296902994625
"3","CNP0000460_P07N",0,0.2,"orig.ident",0
"4","CNP0000460_P07N",1,0.2,"orig.ident",0.000802568218298555
"5","CNP0000460_P07N",9,0.2,"orig.ident",0.00863723608445298
"6","CNP0000460_P07N",0,0.2,"orig.ident",0
"7","CNP0000460_P07N",1,0.2,"orig.ident",0.00483091787439614
"8","CNP0000460_P07N",1,0.2,"orig.ident",0.00515463917525773
"9","CNP0000460_P07N",2,0.2,"orig.ident",0.0132450331125828
"0","CNP0000460_P07T",13,0.2,"orig.ident",0.00123656425378103
"1","CNP0000460_P07T",168,0.2,"orig.ident",0.0414814814814815
"2","CNP0000460_P07T",74,0.2,"orig.ident",0.0189403634502176
"3","CNP0000460_P07T",36,0.2,"orig.ident",0.0121252947120243
"4","CNP0000460_P07T",6,0.2,"orig.ident",0.00481540930979133
"5","CNP0000460_P07T",26,0.2,"orig.ident",0.0249520153550864
"6","CNP0000460_P07T",0,0.2,"orig.ident",0
"7","CNP0000460_P07T",0,0.2,"orig.ident",0
"8","CNP0000460_P07T",5,0.2,"orig.ident",0.0257731958762887
"9","CNP0000460_P07T",1,0.2,"orig.ident",0.00662251655629139
"0","GSE326225_BC1",6,0.2,"orig.ident",0.000570721963283554
"1","GSE326225_BC1",55,0.2,"orig.ident",0.0135802469135802
"2","GSE326225_BC1",25,0.2,"orig.ident",0.00639877143588431
"3","GSE326225_BC1",0,0.2,"orig.ident",0
"4","GSE326225_BC1",58,0.2,"orig.ident",0.0465489566613162
"5","GSE326225_BC1",52,0.2,"orig.ident",0.0499040307101727
"6","GSE326225_BC1",3,0.2,"orig.ident",0.00505902192242833
"7","GSE326225_BC1",1,0.2,"orig.ident",0.00483091787439614
"8","GSE326225_BC1",13,0.2,"orig.ident",0.0670103092783505
"9","GSE326225_BC1",1,0.2,"orig.ident",0.00662251655629139
"0","GSE326225_BC2",0,0.2,"orig.ident",0
"1","GSE326225_BC2",16,0.2,"orig.ident",0.00395061728395062
"2","GSE326225_BC2",10,0.2,"orig.ident",0.00255950857435372
"3","GSE326225_BC2",1,0.2,"orig.ident",0.000336813742000674
"4","GSE326225_BC2",0,0.2,"orig.ident",0
"5","GSE326225_BC2",4,0.2,"orig.ident",0.00383877159309021
"6","GSE326225_BC2",0,0.2,"orig.ident",0
"7","GSE326225_BC2",0,0.2,"orig.ident",0
"8","GSE326225_BC2",0,0.2,"orig.ident",0
"9","GSE326225_BC2",1,0.2,"orig.ident",0.00662251655629139
"0","GSE326225_BC3",0,0.2,"orig.ident",0
"1","GSE326225_BC3",39,0.2,"orig.ident",0.00962962962962963
"2","GSE326225_BC3",66,0.2,"orig.ident",0.0168927565907346
"3","GSE326225_BC3",0,0.2,"orig.ident",0
"4","GSE326225_BC3",11,0.2,"orig.ident",0.00882825040128411
"5","GSE326225_BC3",14,0.2,"orig.ident",0.0134357005758157
"6","GSE326225_BC3",0,0.2,"orig.ident",0
"7","GSE326225_BC3",0,0.2,"orig.ident",0
"8","GSE326225_BC3",4,0.2,"orig.ident",0.0206185567010309
"9","GSE326225_BC3",2,0.2,"orig.ident",0.0132450331125828
"0","GSE326225_BC4",0,0.2,"orig.ident",0
"1","GSE326225_BC4",5,0.2,"orig.ident",0.00123456790123457
"2","GSE326225_BC4",2,0.2,"orig.ident",0.000511901714870745
"3","GSE326225_BC4",0,0.2,"orig.ident",0
