"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"0","CNP0000460",723,0.2,"dataset",0.0687719965756682,0.0706818912833709,0.97297900957339,FALSE
"1","CNP0000460",338,0.2,"dataset",0.0834567901234568,0.0706818912833709,1.18073793171252,FALSE
"2","CNP0000460",429,0.2,"dataset",0.109802917839775,0.0706818912833709,1.55348018914157,FALSE
"3","CNP0000460",75,0.2,"dataset",0.0252610306500505,0.0706818912833709,0.357390417706517,FALSE
"4","CNP0000460",33,0.2,"dataset",0.0264847512038523,0.0706818912833709,0.374703488021738,FALSE
"5","CNP0000460",131,0.2,"dataset",0.125719769673704,0.0706818912833709,1.7786701429604,FALSE
"6","CNP0000460",0,0.2,"dataset",0,0.0706818912833709,0,FALSE
"7","CNP0000460",2,0.2,"dataset",0.00966183574879227,0.0706818912833709,0.136694640923755,FALSE
"8","CNP0000460",18,0.2,"dataset",0.0927835051546392,0.0706818912833709,1.31269131979874,FALSE
"9","CNP0000460",9,0.2,"dataset",0.0596026490066225,0.0706818912833709,0.843252039870714,FALSE
"0","GSE326225",57,0.2,"dataset",0.00542185865119376,0.0392811193309746,0.13802709147645,FALSE
"1","GSE326225",243,0.2,"dataset",0.06,0.0392811193309746,1.52745138178096,FALSE
"2","GSE326225",300,0.2,"dataset",0.0767852572306117,0.0392811193309746,1.95476245428841,FALSE
"3","GSE326225",95,0.2,"dataset",0.031997305490064,0.0392811193309746,0.814572141401097,FALSE
"4","GSE326225",101,0.2,"dataset",0.0810593900481541,0.0392811193309746,2.06357128892292,FALSE
"5","GSE326225",110,0.2,"dataset",0.105566218809981,0.0392811193309746,2.68745444651161,FALSE
"6","GSE326225",12,0.2,"dataset",0.0202360876897133,0.0392811193309746,0.515160668391555,FALSE
"7","GSE326225",5,0.2,"dataset",0.0241545893719807,0.0392811193309746,0.614916015209727,FALSE
"8","GSE326225",27,0.2,"dataset",0.139175257731959,0.0392811193309746,3.54305732887337,TRUE
"9","GSE326225",27,0.2,"dataset",0.178807947019868,0.0392811193309746,4.55200742914856,TRUE
"0","HRA003620",7514,0.2,"dataset",0.714734138685437,0.313243808298488,2.28171832850522,FALSE
"1","HRA003620",6,0.2,"dataset",0.00148148148148148,0.313243808298488,0.00472948368725548,FALSE
"2","HRA003620",23,0.2,"dataset",0.00588686972101357,0.313243808298488,0.018793251662309,FALSE
"3","HRA003620",87,0.2,"dataset",0.0293027955540586,0.313243808298488,0.0935462881556341,FALSE
"4","HRA003620",37,0.2,"dataset",0.0296950240770466,0.313243808298488,0.0947984390764089,FALSE
"5","HRA003620",73,0.2,"dataset",0.0700575815738964,0.313243808298488,0.223651927725061,FALSE
"6","HRA003620",0,0.2,"dataset",0,0.313243808298488,0,FALSE
"7","HRA003620",0,0.2,"dataset",0,0.313243808298488,0,FALSE
"8","HRA003620",9,0.2,"dataset",0.0463917525773196,0.313243808298488,0.148101100000397,FALSE
"9","HRA003620",42,0.2,"dataset",0.278145695364238,0.313243808298488,0.88795273201121,FALSE
"0","InhouseData",177,0.2,"dataset",0.0168362979168648,0.146550337729173,0.11488406084726,FALSE
"1","InhouseData",704,0.2,"dataset",0.173827160493827,0.146550337729173,1.18612596318312,FALSE
"2","InhouseData",1067,0.2,"dataset",0.273099564883542,0.146550337729173,1.86352054260177,FALSE
"3","InhouseData",234,0.2,"dataset",0.0788144156281576,0.146550337729173,0.537797570782863,FALSE
"4","InhouseData",556,0.2,"dataset",0.446227929373997,0.146550337729173,3.04487820559398,FALSE
"5","InhouseData",234,0.2,"dataset",0.224568138195777,0.146550337729173,1.53236179237459,FALSE
"6","InhouseData",581,0.2,"dataset",0.979763912310287,0.146550337729173,6.68551111851343,FALSE
"7","InhouseData",16,0.2,"dataset",0.0772946859903382,0.146550337729173,0.527427552798818,FALSE
"8","InhouseData",45,0.2,"dataset",0.231958762886598,0.146550337729173,1.58279241440753,FALSE
"9","InhouseData",31,0.2,"dataset",0.205298013245033,0.146550337729173,1.40087028406871,FALSE
"0","PRJNA662018",2042,0.2,"dataset",0.194235708170836,0.430242843357993,0.451455988564156,FALSE
"1","PRJNA662018",2759,0.2,"dataset",0.681234567901235,0.430242843357993,1.58337222435656,FALSE
"2","PRJNA662018",2088,0.2,"dataset",0.534425390325058,0.430242843357993,1.24214823924538,FALSE
"3","PRJNA662018",2478,0.2,"dataset",0.834624452677669,0.430242843357993,1.93989154163153,FALSE
"4","PRJNA662018",519,0.2,"dataset",0.41653290529695,0.430242843357993,0.968134419264157,FALSE
"5","PRJNA662018",494,0.2,"dataset",0.474088291746641,0.430242843357993,1.10190860595481,FALSE
