"resolution","cluster","n_cells","fraction"
0.2,"0",10513,0.422684142811193
0.2,"1",4050,0.16283370858797
0.2,"2",3907,0.157084271469926
0.2,"3",2969,0.119371180443873
0.2,"4",1246,0.0500964940495336
0.2,"5",1042,0.0418944998391766
0.2,"6",593,0.0238420714055967
0.2,"7",207,0.00832261177227404
0.2,"8",194,0.00779993567063364
0.2,"9",151,0.00607108394982309
0.4,"0",5239,0.210638468961081
0.4,"1",4793,0.192706658089418
0.4,"2",4090,0.164441942746864
0.4,"3",3527,0.141806046960437
0.4,"4",2655,0.106746542296558
0.4,"5",1153,0.0463573496301061
0.4,"6",1046,0.0420553232550659
0.4,"7",964,0.0387584432293342
0.4,"8",637,0.0256111289803795
0.4,"9",269,0.010815374718559
0.4,"10",207,0.00832261177227404
0.4,"11",194,0.00779993567063364
0.4,"12",98,0.00394017368928916
0.6,"0",4675,0.187962367320682
0.6,"1",4131,0.16609038275973
0.6,"2",4082,0.164120295915085
0.6,"3",3094,0.124396912190415
0.6,"4",2662,0.107027983274365
0.6,"5",1150,0.0462367320681891
0.6,"6",1049,0.042175940816983
0.6,"7",872,0.0350595046638791
0.6,"8",673,0.0270585397233837
0.6,"9",589,0.0236812479897073
0.6,"10",577,0.0231987777420392
0.6,"11",549,0.0220730138308138
0.6,"12",269,0.010815374718559
0.6,"13",207,0.00832261177227404
0.6,"14",195,0.00784014152460598
0.6,"15",98,0.00394017368928916
0.8,"0",4358,0.175217111611451
0.8,"1",3066,0.123271148279189
0.8,"2",2958,0.118928916050177
0.8,"3",2667,0.107229012544226
0.8,"4",2209,0.0888147314248955
0.8,"5",2035,0.0818189128337086
0.8,"6",1830,0.0735767127693792
0.8,"7",1156,0.0464779671920232
0.8,"8",1045,0.0420151174010936
0.8,"9",888,0.0357027983274365
0.8,"10",689,0.0277018333869411
0.8,"11",589,0.0236812479897073
0.8,"12",570,0.0229173367642329
0.8,"13",269,0.010815374718559
0.8,"14",236,0.00948858153747186
0.8,"15",207,0.00832261177227404
0.8,"16",100,0.00402058539723384
