"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.2,0.4,"0","0",5084,0.483591743555598
0.2,0.4,"2","0",4,0.00102380342974149
0.2,0.4,"9","0",151,1
0.2,0.4,"0","1",4793,0.455911728336345
0.2,0.4,"1","2",4043,0.998271604938272
0.2,0.4,"3","2",47,0.0158302458740317
0.2,0.4,"2","3",3527,0.902738674174558
0.2,0.4,"1","4",2,0.000493827160493827
0.2,0.4,"3","4",2653,0.893566857527787
0.2,0.4,"2","5",6,0.00153570514461223
0.2,0.4,"4","5",1147,0.920545746388443
0.2,0.4,"0","6",1,9.51203272139256e-05
0.2,0.4,"1","6",5,0.00123456790123457
0.2,0.4,"2","6",1,0.000255950857435372
0.2,0.4,"5","6",1039,0.997120921305182
0.2,0.4,"0","7",1,9.51203272139256e-05
0.2,0.4,"2","7",369,0.0944458663936524
0.2,0.4,"4","7",1,0.000802568218298555
0.2,0.4,"6","7",593,1
0.2,0.4,"0","8",634,0.0603062874536288
0.2,0.4,"5","8",3,0.00287907869481766
0.2,0.4,"3","9",269,0.0906028965981812
0.2,0.4,"7","10",207,1
0.2,0.4,"8","11",194,1
0.2,0.4,"4","12",98,0.0786516853932584
0.4,0.6,"0","0",4644,0.886428707768658
0.4,0.6,"1","0",31,0.00646776549134154
0.4,0.6,"0","1",23,0.0043901507921359
0.4,0.6,"1","1",4108,0.857083246401001
0.4,0.6,"2","2",4082,0.998044009779951
0.4,0.6,"3","3",3094,0.877232775730082
0.4,0.6,"2","4",7,0.00171149144254279
0.4,0.6,"4","4",2655,1
0.4,0.6,"3","5",3,0.000850581230507513
0.4,0.6,"5","5",1147,0.99479618386817
0.4,0.6,"3","6",5,0.00141763538417919
0.4,0.6,"6","6",1044,0.998087954110899
0.4,0.6,"0","7",231,0.0440923840427562
0.4,0.6,"1","7",4,0.000834550385979554
0.4,0.6,"6","7",1,0.000956022944550669
0.4,0.6,"8","7",636,0.998430141287284
0.4,0.6,"0","8",22,0.00419927467073869
0.4,0.6,"1","8",650,0.135614437721677
0.4,0.6,"8","8",1,0.00156985871271586
0.4,0.6,"7","9",589,0.610995850622407
0.4,0.6,"0","10",318,0.0606986066043138
0.4,0.6,"3","10",251,0.0711652962857953
0.4,0.6,"5","10",6,0.00520381613183001
0.4,0.6,"12","10",2,0.0204081632653061
0.4,0.6,"3","11",174,0.0493337113694358
0.4,0.6,"6","11",1,0.000956022944550669
0.4,0.6,"7","11",374,0.387966804979253
0.4,0.6,"9","12",269,1
0.4,0.6,"10","13",207,1
0.4,0.6,"2","14",1,0.000244498777506112
0.4,0.6,"11","14",194,1
0.4,0.6,"0","15",1,0.000190876121397213
0.4,0.6,"7","15",1,0.00103734439834025
0.4,0.6,"12","15",96,0.979591836734694
0.6,0.8,"0","0",255,0.0545454545454545
0.6,0.8,"1","0",4075,0.986443960300169
0.6,0.8,"7","0",10,0.0114678899082569
0.6,0.8,"8","0",17,0.025260029717682
0.6,0.8,"10","0",1,0.00173310225303293
0.6,0.8,"3","1",3066,0.990950226244344
0.6,0.8,"0","2",2952,0.63144385026738
0.6,0.8,"1","2",3,0.000726216412490922
0.6,0.8,"3","2",1,0.000323206205559147
0.6,0.8,"7","2",2,0.00229357798165138
0.6,0.8,"2","3",10,0.00244977951984321
0.6,0.8,"4","3",2657,0.998121712997746
0.6,0.8,"2","4",2207,0.540666340029397
0.6,0.8,"4","4",2,0.000751314800901578
0.6,0.8,"0","5",1137,0.243208556149733
0.6,0.8,"1","5",30,0.00726216412490922
0.6,0.8,"7","5",860,0.986238532110092
0.6,0.8,"8","5",4,0.00594353640416048
0.6,0.8,"10","5",2,0.00346620450606586
0.6,0.8,"11","5",1,0.00182149362477231
0.6,0.8,"15","5",1,0.0102040816326531
0.6,0.8,"2","6",1823,0.446594806467418
0.6,0.8,"4","6",3,0.00112697220135237
0.6,0.8,"6","6",4,0.00381315538608198
0.6,0.8,"2","7",1,0.000244977951984321
0.6,0.8,"3","7",5,0.00161603102779573
0.6,0.8,"5","7",1150,1
0.6,0.8,"3","8",1,0.000323206205559147
0.6,0.8,"6","8",1044,0.995233555767397
0.6,0.8,"0","9",312,0.0667379679144385
0.6,0.8,"1","9",2,0.000484144274993948
0.6,0.8,"10","9",574,0.994800693240901
0.6,0.8,"0","10",16,0.00342245989304813
0.6,0.8,"1","10",21,0.00508351488743646
0.6,0.8,"8","10",652,0.968796433878158
0.6,0.8,"9","11",589,1
0.6,0.8,"3","12",21,0.00678733031674208
0.6,0.8,"6","12",1,0.000953288846520496
0.6,0.8,"11","12",548,0.998178506375228
0.6,0.8,"12","13",269,1
0.6,0.8,"2","14",41,0.0100440960313572
0.6,0.8,"14","14",195,1
0.6,0.8,"13","15",207,1
0.6,0.8,"0","16",3,0.000641711229946524
0.6,0.8,"15","16",97,0.989795918367347
