"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"0",4644,23,0,0,0,0,0,231,22,0,318,0,0,0,0,1
"1",31,4108,0,0,0,0,0,4,650,0,0,0,0,0,0,0
"2",0,0,4082,0,7,0,0,0,0,0,0,0,0,0,1,0
"3",0,0,0,3094,0,3,5,0,0,0,251,174,0,0,0,0
"4",0,0,0,0,2655,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,1147,0,0,0,0,6,0,0,0,0,0
"6",0,0,0,0,0,0,1044,1,0,0,0,1,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,589,0,374,0,0,0,1
"8",0,0,0,0,0,0,0,636,1,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0
"12",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,96
