"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"0",255,0,2952,0,0,1137,0,0,0,312,16,0,0,0,0,0,3
"1",4075,0,3,0,0,30,0,0,0,2,21,0,0,0,0,0,0
"2",0,0,0,10,2207,0,1823,1,0,0,0,0,0,0,41,0,0
"3",0,3066,1,0,0,0,0,5,1,0,0,0,21,0,0,0,0
"4",0,0,0,2657,2,0,3,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,1150,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,4,0,1044,0,0,0,1,0,0,0,0
"7",10,0,2,0,0,860,0,0,0,0,0,0,0,0,0,0,0
"8",17,0,0,0,0,4,0,0,0,0,652,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0
"10",1,0,0,0,0,2,0,0,0,574,0,0,0,0,0,0,0
"11",0,0,0,0,0,1,0,0,0,0,0,0,548,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0
"15",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97
