"orig.ident","n_cells","sample_id_nonmissing_cells","sample_id_missing_cells","n_sample_id_nonmissing","sample_id_values","dataset_values"
"CNP0000460_P01N",244,0,244,0,"","CNP0000460"
"CNP0000460_P01T",53,0,53,0,"","CNP0000460"
"CNP0000460_P02N",42,0,42,0,"","CNP0000460"
"CNP0000460_P02T",122,0,122,0,"","CNP0000460"
"CNP0000460_P03N",110,0,110,0,"","CNP0000460"
"CNP0000460_P03T",9,0,9,0,"","CNP0000460"
"CNP0000460_P04T",56,0,56,0,"","CNP0000460"
"CNP0000460_P05N",499,0,499,0,"","CNP0000460"
"CNP0000460_P05T",232,0,232,0,"","CNP0000460"
"CNP0000460_P06T",124,0,124,0,"","CNP0000460"
"CNP0000460_P07N",342,0,342,0,"","CNP0000460"
"CNP0000460_P07T",344,0,344,0,"","CNP0000460"
"GSE326225_BC1",523,0,523,0,"","GSE326225"
"GSE326225_BC2",35,0,35,0,"","GSE326225"
"GSE326225_BC3",156,0,156,0,"","GSE326225"
"GSE326225_BC4",73,0,73,0,"","GSE326225"
"GSE326225_BC5",104,0,104,0,"","GSE326225"
"GSE326225_BC6",46,0,46,0,"","GSE326225"
"GSE326225_BC7",509,0,509,0,"","GSE326225"
"GSE326225_BC8",19,0,19,0,"","GSE326225"
"HRA003620_BC-01",4,0,4,0,"","HRA003620"
"HRA003620_BC-04",25,0,25,0,"","HRA003620"
"HRA003620_BC-11",6,0,6,0,"","HRA003620"
"HRA003620_BC-24",1,0,1,0,"","HRA003620"
"HRA003620_BC-27",34,0,34,0,"","HRA003620"
"HRA003620_BC-30",5,0,5,0,"","HRA003620"
"HRA003620_NC-01",80,0,80,0,"","HRA003620"
"HRA003620_NC-04",3087,0,3087,0,"","HRA003620"
"HRA003620_NC-05",634,0,634,0,"","HRA003620"
"HRA003620_NC-11",678,0,678,0,"","HRA003620"
"HRA003620_NC-24",702,0,702,0,"","HRA003620"
"HRA003620_NC-27",1350,0,1350,0,"","HRA003620"
"HRA003620_NC-30",1665,0,1665,0,"","HRA003620"
"PRJNA662018_PRJNA662018_P1N1",2308,2308,0,1,"PRJNA662018_PRJNA662018_P1N1","PRJNA662018"
"PRJNA662018_PRJNA662018_P1T1",693,693,0,1,"PRJNA662018_PRJNA662018_P1T1","PRJNA662018"
"PRJNA662018_PRJNA662018_P2T2",1545,1545,0,1,"PRJNA662018_PRJNA662018_P2T2","PRJNA662018"
"PRJNA662018_PRJNA662018_P3N3",1487,1487,0,1,"PRJNA662018_PRJNA662018_P3N3","PRJNA662018"
"PRJNA662018_PRJNA662018_P3T3",1318,1318,0,1,"PRJNA662018_PRJNA662018_P3T3","PRJNA662018"
"PRJNA662018_PRJNA662018_P4T4",954,954,0,1,"PRJNA662018_PRJNA662018_P4T4","PRJNA662018"
"PRJNA662018_PRJNA662018_P5T5",389,389,0,1,"PRJNA662018_PRJNA662018_P5T5","PRJNA662018"
"PRJNA662018_PRJNA662018_P6N2",2010,2010,0,1,"PRJNA662018_PRJNA662018_P6N2","PRJNA662018"
"PRJNA662018_PRJNA662018_P6T6",178,178,0,1,"PRJNA662018_PRJNA662018_P6T6","PRJNA662018"
"PRJNA662018_PRJNA662018_P7T7",410,410,0,1,"PRJNA662018_PRJNA662018_P7T7","PRJNA662018"
"PRJNA662018_PRJNA662018_P8T8",297,297,0,1,"PRJNA662018_PRJNA662018_P8T8","PRJNA662018"
"T4091568",1012,0,1012,0,"","InhouseData"
"T4295396",85,0,85,0,"","InhouseData"
"T4380845",29,0,29,0,"","InhouseData"
"T4398343",298,0,298,0,"","InhouseData"
"T4450398",45,0,45,0,"","InhouseData"
"T4463209a",119,0,119,0,"","InhouseData"
"T4463209b",412,0,412,0,"","InhouseData"
"T4465219",348,0,348,0,"","InhouseData"
"T4465935",69,0,69,0,"","InhouseData"
"T4466585",464,0,464,0,"","InhouseData"
"T4469479",186,0,186,0,"","InhouseData"
"T4471438",320,0,320,0,"","InhouseData"
"T8009218",726,0,726,0,"","InhouseData"
