"resolution","role","field","median_cluster_max_fraction","max_cluster_max_fraction"
0.2,"dataset","dataset",0.459273797841021,1
0.2,"specimen_orig_ident","orig.ident",0.157628676470588,0.579710144927536
0.2,"specimen_sample_id","sample_id",0.584362139917695,1
0.2,"stage_T","T_stage",0.438665358194308,0.896451643104578
0.2,"stage_N","N_stage",0.655927510697206,1
0.2,"stage_M","M_stage",0.655927510697206,1
0.2,"clinical_type","Type",0.550697084917617,1
0.4,"dataset","dataset",0.500364543672332,1
0.4,"specimen_orig_ident","orig.ident",0.193198310328895,0.579710144927536
0.4,"specimen_sample_id","sample_id",0.592622146227162,1
0.4,"stage_T","T_stage",0.45682181544591,0.972004028197382
0.4,"stage_N","N_stage",0.691383219954649,1
0.4,"stage_M","M_stage",0.691383219954649,1
0.4,"clinical_type","Type",0.558983475582333,1
0.6,"dataset","dataset",0.53788748564868,1
0.6,"specimen_orig_ident","orig.ident",0.203980099502488,0.579710144927536
0.6,"specimen_sample_id","sample_id",0.562634989200864,1
0.6,"stage_T","T_stage",0.47719298245614,0.9723044397463
0.6,"stage_N","N_stage",0.707220573689416,1
0.6,"stage_M","M_stage",0.707220573689416,1
0.6,"clinical_type","Type",0.558074642483432,1
0.8,"dataset","dataset",0.599079971691437,1
0.8,"specimen_orig_ident","orig.ident",0.219047619047619,0.579710144927536
0.8,"specimen_sample_id","sample_id",0.566765578635015,1
0.8,"stage_T","T_stage",0.475524475524476,0.978703039004547
0.8,"stage_N","N_stage",0.721611721611722,1
0.8,"stage_M","M_stage",0.721611721611722,1
0.8,"clinical_type","Type",0.558382711746253,1
