"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"0",5691,4965,0,0,0,7,14,0,3,1,0,0,0,0
"1",0,0,3934,0,0,39,0,0,0,0,0,0,0,0
"2",0,0,0,3156,0,0,0,0,0,0,0,0,0,0
"3",281,0,0,0,2831,0,3,0,1,0,0,0,0,0
"4",0,0,0,0,0,1254,922,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,1037,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,1019,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,685,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,652,0,0,0
"9",0,0,0,0,0,4,0,0,0,0,0,333,0,0
"10",1,0,0,0,0,0,332,0,0,0,0,0,0,0
"11",0,0,0,0,0,1,0,0,0,0,0,0,242,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,207
