"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"0",111,2870,0,2210,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
"1",4067,6,0,612,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,2862,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0
"3",0,4,0,0,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,2722,11,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,20,1142,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,1035,0,0,0,2,0,0,0,0,0,0
"7",0,0,7,1,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,0
"8",0,0,0,1,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0
"10",0,0,0,6,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0
"11",0,0,0,1,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0
"12",0,0,0,1,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0
"13",0,2,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0
"14",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,337,0,0,0
"15",1,314,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
