"program","gene","present"
"Myeloid","LYZ",TRUE
"Myeloid","TYROBP",TRUE
"Myeloid","FCER1G",TRUE
"Myeloid","LST1",TRUE
"Monocyte","FCN1",TRUE
"Monocyte","CCR2",TRUE
"Monocyte","S100A8",TRUE
"Monocyte","S100A9",TRUE
"Monocyte","S100A12",TRUE
"Macrophage","C1QA",TRUE
"Macrophage","C1QB",TRUE
"Macrophage","C1QC",TRUE
"Macrophage","APOE",TRUE
"Macrophage","APOC1",TRUE
"Macrophage","TREM2",TRUE
"Macrophage","GPNMB",TRUE
"Macrophage","SPP1",TRUE
"Macrophage","FOLR2",TRUE
"Macrophage","SELENOP",TRUE
"Macrophage","SLC40A1",TRUE
"cDC2","CD1C",TRUE
"cDC2","FCER1A",TRUE
"cDC1","CLEC9A",TRUE
"cDC1","XCR1",TRUE
"pDC","CLEC4C",TRUE
"pDC","LILRA4",TRUE
"Neutrophil","FCGR3B",TRUE
"Neutrophil","CXCR2",TRUE
"T_NK_check","CD3D",TRUE
"T_NK_check","CD3E",TRUE
"T_NK_check","TRAC",TRUE
"Epithelial_check","EPCAM",TRUE
"Epithelial_check","KRT8",TRUE
"Epithelial_check","KRT18",TRUE
"Epithelial_check","KRT19",TRUE
