"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.16135225233914,0.843,0.156,0,"0","C1QC"
0,3.1252361954446,0.894,0.214,0,"0","C1QA"
0,3.0635567263675,0.873,0.193,0,"0","C1QB"
0,4.30798211123671,0.751,0.127,0,"0","APOE"
0,4.02932480752015,0.672,0.088,0,"0","GPNMB"
0,3.82822872910972,0.696,0.137,0,"0","APOC1"
0,3.2576250599824,0.78,0.241,0,"0","LGMN"
0,3.45641840906309,0.624,0.089,0,"0","SLCO2B1"
0,2.62101198020064,0.731,0.204,0,"0","MSR1"
0,2.39718205838011,0.8,0.279,0,"0","FMNL2"
0,3.34779174539319,0.607,0.093,0,"0","A2M"
0,3.71154193229198,0.606,0.094,0,"0","FRMD4A"
0,3.29170103259266,0.616,0.118,0,"0","DAB2"
0,4.23635707248841,0.57,0.075,0,"0","RNASE1"
0,2.62732649843242,0.629,0.149,0,"0","NRP1"
0,2.80785863150132,0.687,0.225,0,"0","PLD3"
0,2.0040940885093,0.653,0.207,0,"0","FCGR3A"
0,2.47599529646426,0.64,0.202,0,"0","STAB1"
0,4.95780405921959,0.479,0.044,0,"0","SELENOP"
0,2.44076609744844,0.628,0.202,0,"0","MS4A4A"
0,4.02493227883845,0.477,0.051,0,"0","PLTP"
0,1.69179851524514,0.727,0.302,0,"0","RGS1"
0,2.06849494169176,0.617,0.193,0,"0","MRC1"
0,2.09994312641293,0.742,0.321,0,"0","CD81"
0,3.60796226723024,0.474,0.056,0,"0","TREM2"
0,1.72355089911204,0.734,0.317,0,"0","ARHGAP18"
0,1.9043096397173,0.794,0.383,0,"0","CTSL"
0,3.74580421251185,0.457,0.05,0,"0","KCNMA1"
0,2.44962609091733,0.545,0.142,0,"0","SPRED1"
0,1.68422139479289,0.621,0.218,0,"0","FPR3"
0,1.93904386094431,0.586,0.186,0,"0","PMP22"
0,2.72752311984289,0.518,0.119,0,"0","MAF"
0,2.07962283263587,0.551,0.153,0,"0","NRP2"
0,1.68535386779865,0.647,0.274,0,"0","CSF1R"
0,3.51620201381573,0.429,0.056,0,"0","BNC2"
0,3.97707239005111,0.429,0.056,0,"0","FOLR2"
0,2.02144886093629,0.597,0.225,0,"0","TTYH3"
0,1.83290832766169,0.823,0.453,0,"0","CTSC"
0,1.63853308561035,0.599,0.232,0,"0","NPL"
0,1.9917755615833,0.54,0.174,0,"0","RASAL2"
0,2.76431460042654,0.523,0.163,0,"0","ACP5"
0,2.15997972365904,0.542,0.183,0,"0","FCHO2"
0,1.64340378913602,0.761,0.403,0,"0","MS4A7"
