"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.03290655261308,0.729,0.196,0,"0","S100A12"
3.51129973594943e-261,2.91188164578342,0.2,0.067,3.16055600532544e-256,"0","GPAT4-AS1"
0,2.78814140238478,0.918,0.456,0,"0","S100A8"
0,2.70756868746202,0.939,0.637,0,"0","S100A9"
0,2.63856754466666,0.573,0.141,0,"0","MCTP2"
0,2.54952759880134,0.349,0.058,0,"0","PROK2"
1.3452987310019e-284,2.470464677239,0.12,0.022,1.21091684076212e-279,"0","VNN3P.1"
0,2.42910744037176,0.349,0.088,0,"0","RBP7"
0,2.39184033834826,0.236,0.077,0,"0","CENPU"
0,2.39097157055218,0.37,0.082,0,"0","SERPINB2"
1.95750981177219e-310,2.35654559404908,0.14,0.028,1.76197415667426e-305,"0","F5"
0,2.35548208398315,0.198,0.042,0,"0","STEAP4"
7.48568099470453e-268,2.32939139809139,0.152,0.038,6.73793632014349e-263,"0","FOLR3"
0,2.25381807919561,0.442,0.131,0,"0","MCEMP1"
0,2.25308259738358,0.208,0.055,0,"0","MIR223HG"
0,2.25179540422782,0.238,0.069,0,"0","CLEC4D"
6.04263396609193e-234,2.15667197113728,0.147,0.04,5.43903525921901e-229,"0","MTND5P32"
1.65950473249023e-202,2.11473026277439,0.115,0.029,1.49373680476178e-197,"0","LIN7A"
0,2.06953470789532,0.79,0.368,0,"0","VCAN"
0,2.03487133339913,0.473,0.143,0,"0","FCAR"
0,2.01330817239822,0.392,0.126,0,"0","LIPN"
2.21378757744599e-164,2.01155907351526,0.102,0.027,1.99265233633491e-159,"0","VCAN-AS1"
0,1.96914581079238,0.353,0.106,0,"0","VNN2"
0,1.95044257337454,0.359,0.143,0,"0","GK5"
1.33481876662913e-265,1.93461841468682,0.161,0.043,1.20148372003054e-260,"0","APOBEC3B"
0,1.92024553650785,0.247,0.075,0,"0","PTX3"
0,1.90371678961279,0.778,0.315,0,"0","FCN1"
0,1.88829347237088,0.274,0.086,0,"0","CATIP"
0,1.88480705456338,0.328,0.1,0,"0","CDA"
6.89940207877397e-215,1.86707632341586,0.342,0.184,6.21022080512524e-210,"0","H1-2"
5.60832229589608e-172,1.85008340557497,0.126,0.038,5.04810698175902e-167,"0","NLRP12"
0,1.84941411286698,0.491,0.233,0,"0","LILRA5"
0,1.77691791582508,0.408,0.146,0,"0","SELL"
2.25802213027921e-282,1.76946708037115,0.289,0.12,2.03246829968562e-277,"0","BST1"
0,1.76589620852884,0.509,0.194,0,"0","TNFAIP6"
5.51588528588129e-94,1.76005950023445,0.101,0.039,4.96490350467461e-89,"0","NAMPT-AS1"
0,1.74389391582582,0.3,0.112,0,"0","CKAP4"
0,1.74331266604299,0.541,0.277,0,"0","DUSP6"
1.61634665692938e-156,1.7097443696792,0.145,0.052,1.45488978936871e-151,"0","DGAT2"
0,1.70927334322263,0.212,0.052,0,"0","PADI4"
0,1.70782176002358,0.646,0.347,0,"0","ANPEP"
3.67068154474236e-216,1.7036147233284,0.294,0.142,3.30401716523805e-211,"0","HPSE"
7.56343472805406e-110,1.68624526782201,0.106,0.038,6.80792323306874e-105,"0","ADAMTSL4-AS2"
0,1.67197841730504,0.695,0.444,0,"0","CXCL2"
0,1.6687476121716,0.655,0.347,0,"0","NLRP3"
0,1.63748247502507,0.58,0.265,0,"0","CD300E"
0,1.62676164816106,0.548,0.279,0,"0","MAP3K20"
