"orig.ident","n_cells","sample_id_nonmissing_cells","sample_id_missing_cells","n_sample_id_nonmissing","sample_id_values","dataset_values"
"CNP0000460_P01N",579,0,579,0,"","CNP0000460"
"CNP0000460_P01T",337,0,337,0,"","CNP0000460"
"CNP0000460_P02N",221,0,221,0,"","CNP0000460"
"CNP0000460_P02T",527,0,527,0,"","CNP0000460"
"CNP0000460_P03N",719,0,719,0,"","CNP0000460"
"CNP0000460_P03T",1216,0,1216,0,"","CNP0000460"
"CNP0000460_P04T",465,0,465,0,"","CNP0000460"
"CNP0000460_P05N",340,0,340,0,"","CNP0000460"
"CNP0000460_P05T",126,0,126,0,"","CNP0000460"
"CNP0000460_P06T",770,0,770,0,"","CNP0000460"
"CNP0000460_P07N",849,0,849,0,"","CNP0000460"
"CNP0000460_P07T",329,0,329,0,"","CNP0000460"
"GSE326225_BC1",55,0,55,0,"","GSE326225"
"GSE326225_BC2",9,0,9,0,"","GSE326225"
"GSE326225_BC3",136,0,136,0,"","GSE326225"
"GSE326225_BC4",238,0,238,0,"","GSE326225"
"GSE326225_BC5",52,0,52,0,"","GSE326225"
"GSE326225_BC6",507,0,507,0,"","GSE326225"
"GSE326225_BC7",59,0,59,0,"","GSE326225"
"GSE326225_BC8",42,0,42,0,"","GSE326225"
"HRA003620_BC-01",218,0,218,0,"","HRA003620"
"HRA003620_BC-04",818,0,818,0,"","HRA003620"
"HRA003620_BC-05",488,0,488,0,"","HRA003620"
"HRA003620_BC-11",545,0,545,0,"","HRA003620"
"HRA003620_BC-24",415,0,415,0,"","HRA003620"
"HRA003620_BC-27",294,0,294,0,"","HRA003620"
"HRA003620_BC-30",1706,0,1706,0,"","HRA003620"
"HRA003620_NC-01",923,0,923,0,"","HRA003620"
"HRA003620_NC-04",2236,0,2236,0,"","HRA003620"
"HRA003620_NC-05",1989,0,1989,0,"","HRA003620"
"HRA003620_NC-11",964,0,964,0,"","HRA003620"
"HRA003620_NC-24",432,0,432,0,"","HRA003620"
"HRA003620_NC-27",395,0,395,0,"","HRA003620"
"HRA003620_NC-30",2728,0,2728,0,"","HRA003620"
"PRJNA662018_PRJNA662018_P1N1",686,686,0,1,"PRJNA662018_PRJNA662018_P1N1","PRJNA662018"
"PRJNA662018_PRJNA662018_P1T1",997,997,0,1,"PRJNA662018_PRJNA662018_P1T1","PRJNA662018"
"PRJNA662018_PRJNA662018_P2T2",301,301,0,1,"PRJNA662018_PRJNA662018_P2T2","PRJNA662018"
"PRJNA662018_PRJNA662018_P3N3",201,201,0,1,"PRJNA662018_PRJNA662018_P3N3","PRJNA662018"
"PRJNA662018_PRJNA662018_P3T3",151,151,0,1,"PRJNA662018_PRJNA662018_P3T3","PRJNA662018"
"PRJNA662018_PRJNA662018_P4T4",817,817,0,1,"PRJNA662018_PRJNA662018_P4T4","PRJNA662018"
"PRJNA662018_PRJNA662018_P5T5",167,167,0,1,"PRJNA662018_PRJNA662018_P5T5","PRJNA662018"
"PRJNA662018_PRJNA662018_P6N2",418,418,0,1,"PRJNA662018_PRJNA662018_P6N2","PRJNA662018"
"PRJNA662018_PRJNA662018_P6T6",50,50,0,1,"PRJNA662018_PRJNA662018_P6T6","PRJNA662018"
"PRJNA662018_PRJNA662018_P7T7",303,303,0,1,"PRJNA662018_PRJNA662018_P7T7","PRJNA662018"
"PRJNA662018_PRJNA662018_P8T8",155,155,0,1,"PRJNA662018_PRJNA662018_P8T8","PRJNA662018"
"T4091568",1168,0,1168,0,"","InhouseData"
"T4295396",219,0,219,0,"","InhouseData"
"T4380845",575,0,575,0,"","InhouseData"
"T4398343",1424,0,1424,0,"","InhouseData"
"T4450398",280,0,280,0,"","InhouseData"
"T4463209a",436,0,436,0,"","InhouseData"
"T4463209b",287,0,287,0,"","InhouseData"
"T4465219",550,0,550,0,"","InhouseData"
"T4465935",261,0,261,0,"","InhouseData"
"T4466585",1787,0,1787,0,"","InhouseData"
"T4469479",1276,0,1276,0,"","InhouseData"
"T4471438",836,0,836,0,"","InhouseData"
"T8009218",864,0,864,0,"","InhouseData"
