"program","gene","present"
"Pan_myeloid","LYZ",TRUE
"Pan_myeloid","TYROBP",TRUE
"Pan_myeloid","FCER1G",TRUE
"Pan_myeloid","CTSS",TRUE
"Classical_monocyte","FCN1",TRUE
"Classical_monocyte","CD14",TRUE
"Classical_monocyte","S100A8",TRUE
"Classical_monocyte","S100A9",TRUE
"Classical_monocyte","VCAN",TRUE
"CD16_nonclassical_mono","FCGR3A",TRUE
"CD16_nonclassical_mono","LST1",TRUE
"CD16_nonclassical_mono","MS4A7",TRUE
"C1QC_TAM","C1QA",TRUE
"C1QC_TAM","C1QB",TRUE
"C1QC_TAM","C1QC",TRUE
"C1QC_TAM","APOE",TRUE
"C1QC_TAM","CD163",TRUE
"C1QC_TAM","MRC1",TRUE
"C1QC_TAM","LGMN",TRUE
"C1QC_TAM","DAB2",TRUE
"SPP1_TREM2_TAM","SPP1",TRUE
"SPP1_TREM2_TAM","TREM2",TRUE
"SPP1_TREM2_TAM","GPNMB",TRUE
"SPP1_TREM2_TAM","APOC1",TRUE
"SPP1_TREM2_TAM","LPL",TRUE
"SPP1_TREM2_TAM","FABP5",TRUE
"SPP1_TREM2_TAM","CD9",TRUE
"FOLR2_resident_like_TAM","FOLR2",TRUE
"FOLR2_resident_like_TAM","SELENOP",TRUE
"FOLR2_resident_like_TAM","LYVE1",TRUE
"FOLR2_resident_like_TAM","F13A1",TRUE
"FOLR2_resident_like_TAM","SLC40A1",TRUE
"inflammatory_TAM","IL1B",TRUE
"inflammatory_TAM","CXCL8",TRUE
"inflammatory_TAM","NFKB1",TRUE
"inflammatory_TAM","CCL3",TRUE
"inflammatory_TAM","CCL4",TRUE
"cDC1","CLEC9A",TRUE
"cDC1","XCR1",TRUE
"cDC1","BATF3",TRUE
"cDC2","CD1C",TRUE
"cDC2","CLEC10A",TRUE
"cDC2","FCER1A",TRUE
"mature_LAMP3_DC","LAMP3",TRUE
"mature_LAMP3_DC","CCR7",TRUE
"mature_LAMP3_DC","FSCN1",TRUE
"mature_LAMP3_DC","CCL19",TRUE
"pDC","CLEC4C",TRUE
"pDC","IL3RA",TRUE
"pDC","GZMB",TRUE
"pDC","JCHAIN",TRUE
"Cycling","MKI67",TRUE
"Cycling","TOP2A",TRUE
"Cycling","STMN1",TRUE
