"cluster","group","n_cells","resolution","role","field","within_cluster_fraction"
"0","CNP0000460",2482,0.2,"dataset","dataset",0.160315204753908
"1","CNP0000460",2099,0.2,"dataset","dataset",0.179172001707213
"2","CNP0000460",1185,0.2,"dataset","dataset",0.301296720061022
"3","CNP0000460",437,0.2,"dataset","dataset",0.163731734732109
"4","CNP0000460",0,0.2,"dataset","dataset",0
"5","CNP0000460",819,0.2,"dataset","dataset",0.461668545659526
"6","CNP0000460",251,0.2,"dataset","dataset",0.249751243781095
"7","CNP0000460",231,0.2,"dataset","dataset",0.279322853688029
"8","CNP0000460",134,0.2,"dataset","dataset",0.17562254259502
"9","CNP0000460",103,0.2,"dataset","dataset",0.228888888888889
"0","GSE326225",283,0.2,"dataset","dataset",0.0182792920811265
"1","GSE326225",590,0.2,"dataset","dataset",0.050362782757149
"2","GSE326225",92,0.2,"dataset","dataset",0.0233918128654971
"3","GSE326225",122,0.2,"dataset","dataset",0.0457100037467216
"4","GSE326225",15,0.2,"dataset","dataset",0.00845070422535211
"5","GSE326225",175,0.2,"dataset","dataset",0.0986471251409245
"6","GSE326225",30,0.2,"dataset","dataset",0.0298507462686567
"7","GSE326225",52,0.2,"dataset","dataset",0.0628778718258767
"8","GSE326225",16,0.2,"dataset","dataset",0.0209698558322412
"9","GSE326225",21,0.2,"dataset","dataset",0.0466666666666667
"0","HRA003620",8160,0.2,"dataset","dataset",0.527063686862163
"1","HRA003620",3479,0.2,"dataset","dataset",0.296969696969697
"2","HRA003620",1549,0.2,"dataset","dataset",0.393846936181032
"3","HRA003620",478,0.2,"dataset","dataset",0.179093293368303
"4","HRA003620",0,0.2,"dataset","dataset",0
"5","HRA003620",191,0.2,"dataset","dataset",0.107666290868095
"6","HRA003620",275,0.2,"dataset","dataset",0.27363184079602
"7","HRA003620",231,0.2,"dataset","dataset",0.279322853688029
"8","HRA003620",308,0.2,"dataset","dataset",0.403669724770642
"9","HRA003620",152,0.2,"dataset","dataset",0.337777777777778
"0","InhouseData",3226,0.2,"dataset","dataset",0.208371011497223
"1","InhouseData",3753,0.2,"dataset","dataset",0.320358514724712
"2","InhouseData",569,0.2,"dataset","dataset",0.14467327739639
"3","InhouseData",1195,0.2,"dataset","dataset",0.447733233420757
"4","InhouseData",1760,0.2,"dataset","dataset",0.991549295774648
"5","InhouseData",413,0.2,"dataset","dataset",0.232807215332582
"6","InhouseData",283,0.2,"dataset","dataset",0.281592039800995
"7","InhouseData",123,0.2,"dataset","dataset",0.148730350665054
"8","InhouseData",124,0.2,"dataset","dataset",0.162516382699869
"9","InhouseData",127,0.2,"dataset","dataset",0.282222222222222
"0","PRJNA662018",1331,0.2,"dataset","dataset",0.0859708048055807
"1","PRJNA662018",1794,0.2,"dataset","dataset",0.153137003841229
"2","PRJNA662018",538,0.2,"dataset","dataset",0.136791253496059
"3","PRJNA662018",437,0.2,"dataset","dataset",0.163731734732109
"4","PRJNA662018",0,0.2,"dataset","dataset",0
"5","PRJNA662018",176,0.2,"dataset","dataset",0.0992108229988726
"6","PRJNA662018",166,0.2,"dataset","dataset",0.165174129353234
"7","PRJNA662018",190,0.2,"dataset","dataset",0.229746070133011
"8","PRJNA662018",181,0.2,"dataset","dataset",0.237221494102228
"9","PRJNA662018",47,0.2,"dataset","dataset",0.104444444444444
"0","CNP0000460_P01N",271,0.2,"specimen_orig_ident","orig.ident",0.0175041984239762
"1","CNP0000460_P01N",198,0.2,"specimen_orig_ident","orig.ident",0.0169014084507042
"2","CNP0000460_P01N",85,0.2,"specimen_orig_ident","orig.ident",0.0216120010170353
"3","CNP0000460_P01N",95,0.2,"specimen_orig_ident","orig.ident",0.0355938553765455
"4","CNP0000460_P01N",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P01N",225,0.2,"specimen_orig_ident","orig.ident",0.126832018038331
"6","CNP0000460_P01N",7,0.2,"specimen_orig_ident","orig.ident",0.00696517412935323
"7","CNP0000460_P01N",7,0.2,"specimen_orig_ident","orig.ident",0.00846432889963724
"8","CNP0000460_P01N",13,0.2,"specimen_orig_ident","orig.ident",0.0170380078636959
"9","CNP0000460_P01N",2,0.2,"specimen_orig_ident","orig.ident",0.00444444444444444
"0","CNP0000460_P01T",143,0.2,"specimen_orig_ident","orig.ident",0.00923653274770701
"1","CNP0000460_P01T",141,0.2,"specimen_orig_ident","orig.ident",0.0120358514724712
"2","CNP0000460_P01T",29,0.2,"specimen_orig_ident","orig.ident",0.00737350622934147
"3","CNP0000460_P01T",8,0.2,"specimen_orig_ident","orig.ident",0.00299737729486699
"4","CNP0000460_P01T",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P01T",36,0.2,"specimen_orig_ident","orig.ident",0.020293122886133
"6","CNP0000460_P01T",8,0.2,"specimen_orig_ident","orig.ident",0.00796019900497512
"7","CNP0000460_P01T",10,0.2,"specimen_orig_ident","orig.ident",0.0120918984280532
"8","CNP0000460_P01T",5,0.2,"specimen_orig_ident","orig.ident",0.00655307994757536
"9","CNP0000460_P01T",1,0.2,"specimen_orig_ident","orig.ident",0.00222222222222222
"0","CNP0000460_P02N",109,0.2,"specimen_orig_ident","orig.ident",0.007040434052448
"1","CNP0000460_P02N",36,0.2,"specimen_orig_ident","orig.ident",0.0030729833546735
"2","CNP0000460_P02N",38,0.2,"specimen_orig_ident","orig.ident",0.00966183574879227
"3","CNP0000460_P02N",14,0.2,"specimen_orig_ident","orig.ident",0.00524541026601723
"4","CNP0000460_P02N",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P02N",2,0.2,"specimen_orig_ident","orig.ident",0.00112739571589628
"6","CNP0000460_P02N",8,0.2,"specimen_orig_ident","orig.ident",0.00796019900497512
"7","CNP0000460_P02N",2,0.2,"specimen_orig_ident","orig.ident",0.00241837968561064
"8","CNP0000460_P02N",4,0.2,"specimen_orig_ident","orig.ident",0.00524246395806029
"9","CNP0000460_P02N",24,0.2,"specimen_orig_ident","orig.ident",0.0533333333333333
"0","CNP0000460_P02T",186,0.2,"specimen_orig_ident","orig.ident",0.0120139516858287
"1","CNP0000460_P02T",134,0.2,"specimen_orig_ident","orig.ident",0.0114383269312847
"2","CNP0000460_P02T",84,0.2,"specimen_orig_ident","orig.ident",0.0213577421815408
"3","CNP0000460_P02T",38,0.2,"specimen_orig_ident","orig.ident",0.0142375421506182
"4","CNP0000460_P02T",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P02T",56,0.2,"specimen_orig_ident","orig.ident",0.0315670800450958
"6","CNP0000460_P02T",80,0.2,"specimen_orig_ident","orig.ident",0.0796019900497512
"7","CNP0000460_P02T",16,0.2,"specimen_orig_ident","orig.ident",0.0193470374848851
"8","CNP0000460_P02T",17,0.2,"specimen_orig_ident","orig.ident",0.0222804718217562
"9","CNP0000460_P02T",10,0.2,"specimen_orig_ident","orig.ident",0.0222222222222222
"0","CNP0000460_P03N",313,0.2,"specimen_orig_ident","orig.ident",0.0202170262240021
"1","CNP0000460_P03N",189,0.2,"specimen_orig_ident","orig.ident",0.0161331626120359
"2","CNP0000460_P03N",171,0.2,"specimen_orig_ident","orig.ident",0.0434782608695652
"3","CNP0000460_P03N",55,0.2,"specimen_orig_ident","orig.ident",0.0206069689022106
"4","CNP0000460_P03N",0,0.2,"specimen_orig_ident","orig.ident",0
"5","CNP0000460_P03N",19,0.2,"specimen_orig_ident","orig.ident",0.0107102593010147
"6","CNP0000460_P03N",13,0.2,"specimen_orig_ident","orig.ident",0.0129353233830846
"7","CNP0000460_P03N",9,0.2,"specimen_orig_ident","orig.ident",0.0108827085852479
