"cluster","dataset","n_cells","cluster_dataset_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag","audit_threshold"
"0","CNP0000460",1088,0.184469311631061,0.191642116208254,0.962571877627369,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","CNP0000460",994,0.18737040527804,0.191642116208254,0.977709957420986,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","CNP0000460",1113,0.24195652173913,0.191642116208254,1.26254357093511,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","CNP0000460",881,0.276956931782458,0.191642116208254,1.44517779944307,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","CNP0000460",498,0.203265306122449,0.191642116208254,1.06065049866995,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","CNP0000460",165,0.0686356073211314,0.191642116208254,0.358144695326503,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","CNP0000460",16,0.0081383519837233,0.191642116208254,0.0424664063659133,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","CNP0000460",287,0.151611199154781,0.191642116208254,0.791116285681315,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","CNP0000460",821,0.460459899046551,0.191642116208254,2.40270723449003,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","CNP0000460",0,0,0.191642116208254,0,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","CNP0000460",445,0.256780150028852,0.191642116208254,1.3398941480578,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"11","CNP0000460",251,0.249255213505462,0.191642116208254,1.30062858017389,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"12","CNP0000460",143,0.148494288681205,0.191642116208254,0.774852060806084,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"13","CNP0000460",234,0.276269185360094,0.191642116208254,1.44158909756495,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"14","CNP0000460",245,0.29482551143201,0.191642116208254,1.53841711449078,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"15","CNP0000460",51,0.0615942028985507,0.191642116208254,0.321402226802888,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"16","CNP0000460",134,0.17562254259502,0.191642116208254,0.916408908802562,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"17","CNP0000460",79,0.120060790273556,0.191642116208254,0.626484369140906,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"18","CNP0000460",103,0.228888888888889,0.191642116208254,1.19435588281732,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"19","CNP0000460",104,0.23162583518931,0.191642116208254,1.20863743195993,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"20","CNP0000460",49,0.147147147147147,0.191642116208254,0.767822595880986,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"21","CNP0000460",40,0.142857142857143,0.191642116208254,0.7454370974588,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"0","GSE326225",237,0.0401831129196338,0.034560443641225,1.16269088836874,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"1","GSE326225",142,0.0267672007540057,0.034560443641225,0.774503968521884,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"2","GSE326225",33,0.00717391304347826,0.034560443641225,0.207575837797434,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"3","GSE326225",87,0.027349889971707,0.034560443641225,0.791363972512293,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"4","GSE326225",142,0.0579591836734694,0.034560443641225,1.67703818490147,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"5","GSE326225",61,0.0253743760399334,0.034560443641225,0.734202844828819,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"6","GSE326225",19,0.00966429298067141,0.034560443641225,0.279634517455774,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"7","GSE326225",92,0.0486001056524036,0.034560443641225,1.40623500545669,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"8","GSE326225",176,0.0987100392596747,0.034560443641225,2.85615660158742,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"9","GSE326225",15,0.00846979107848673,0.034560443641225,0.245071827387761,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
"10","GSE326225",15,0.00865551067512983,0.034560443641225,0.25044558932702,FALSE,"enrichment>=3 and n_cells<50; audit only, no gate"
