"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.01592104260195,0.747,0.21,0,"0","AQP9"
0,3.82087207363131,0.842,0.33,0,"0","S100A8"
0,2.942919890907,0.68,0.176,0,"0","FCN1"
0,4.22836390407471,0.563,0.088,0,"0","S100A12"
0,2.82147768479831,0.68,0.247,0,"0","VCAN"
0,2.57516115207707,0.681,0.299,0,"0","LUCAT1"
0,1.91866425454633,0.656,0.274,0,"0","EREG"
0,2.41221768971549,0.615,0.241,0,"0","TREM1"
0,2.38292407938733,0.672,0.303,0,"0","SLC25A37"
0,1.59845281641005,0.696,0.337,0,"0","SLC11A1"
0,2.43522267712321,0.513,0.16,0,"0","CD300E"
0,3.37739769779192,0.89,0.55,0,"0","S100A9"
0,3.24330802003005,0.426,0.089,0,"0","MCTP2"
0,3.15957191945293,0.439,0.114,0,"0","TNFAIP6"
0,3.5110531712319,0.382,0.061,0,"0","FCAR"
0,2.18093410444202,0.877,0.556,0,"0","BCL2A1"
0,2.20029467420772,0.732,0.412,0,"0","IL1B"
0,2.09273759049056,0.759,0.441,0,"0","G0S2"
0,2.3528733645221,0.568,0.259,0,"0","DDX60L"
0,2.32784977655747,0.553,0.248,0,"0","ATP2B1-AS1"
0,2.21579486344577,0.551,0.265,0,"0","NLRP3"
0,1.85113689490776,0.694,0.42,0,"0","IRAK3"
0,2.06147420330441,0.509,0.237,0,"0","EHD1"
0,2.92169560076691,0.36,0.093,0,"0","ENSG00000274213"
0,2.10800244725245,0.56,0.296,0,"0","PTGS2"
0,2.69325593548717,0.351,0.087,0,"0","APOBEC3A"
0,2.28086782602042,0.418,0.156,0,"0","LILRA5"
0,2.41369407593838,0.416,0.157,0,"0","CLEC4E"
0,2.12586761203965,0.601,0.342,0,"0","CSF3R"
0,1.98408816602148,0.756,0.498,0,"0","DENND5A"
0,2.09374801198775,0.746,0.49,0,"0","CD55"
0,2.84120963551651,0.33,0.074,0,"0","MCEMP1"
0,1.32330589379361,0.712,0.456,0,"0","SERPINA1"
0,1.83558603896878,0.579,0.33,0,"0","IL1RN"
0,2.01150376856331,0.455,0.212,0,"0","MAP3K20"
0,1.77792079035864,0.52,0.278,0,"0","ANPEP"
0,2.15311586664034,0.353,0.113,0,"0","PELATON"
0,2.83480686959747,0.306,0.067,0,"0","LIPN"
0,2.81036623061821,0.8,0.568,0,"0","CXCL8"
0,2.00228728614576,0.728,0.497,0,"0","ACSL1"
0,1.37590965464634,0.664,0.434,0,"0","TLR2"
0,1.76028699179705,0.679,0.451,0,"0","MAP4K4"
0,1.36657852381808,0.686,0.459,0,"0","C5AR1"
0,1.96940462178523,0.707,0.483,0,"0","IVNS1ABP"
0,1.6078260944055,0.775,0.552,0,"0","GK"
0,1.93197654066797,0.443,0.223,0,"0","DUSP6"
0,2.10303409869988,0.701,0.483,0,"0","IFITM2"
0,2.34578556250279,0.328,0.112,0,"0","TMEM71"
0,2.74739188169277,0.305,0.089,0,"0","MIR3945HG"
0,1.60552070496464,0.627,0.417,0,"0","FPR1"
0,1.48121941358894,0.692,0.482,0,"0","C9orf72"
0,1.78010805612945,0.437,0.229,0,"0","WARS1"
0,1.42134897788328,0.783,0.576,0,"0","LCP2"
0,1.90865194149323,0.597,0.39,0,"0","CXCL2"
0,2.29506638811262,0.843,0.636,0,"0","ATP2B1"
0,2.81940741501875,0.257,0.051,0,"0","CDA"
0,1.87429811641738,0.546,0.341,0,"0","ANTXR2"
0,4.1019872567825,0.228,0.025,0,"0","PROK2"
0,2.69468799790031,0.249,0.048,0,"0","SERPINB2"
0,2.43056005919221,0.46,0.261,0,"0","CPD"
0,1.40796619058549,0.411,0.212,0,"0","PLCB1"
0,2.88500527988711,0.246,0.048,0,"0","RBP7"
0,1.614581699088,0.374,0.179,0,"0","ENSG00000308028"
0,1.68866845053021,0.593,0.399,0,"0","PPIF"
0,1.37512163260903,0.457,0.264,0,"0","ENSG00000293060"
0,2.89918675284381,0.258,0.065,0,"0","VNN2"
0,1.47755897532706,0.653,0.461,0,"0","PNPLA8"
0,1.6258474143384,0.469,0.277,0,"0","RBKS"
0,1.40053022723285,0.475,0.287,0,"0","FGR"
0,1.94356614057397,0.3,0.114,0,"0","SELL"
0,2.86483230906539,0.254,0.068,0,"0","FPR2"
0,1.11678638099168,0.572,0.387,0,"0","CSTA"
0,2.08116907004397,0.26,0.076,0,"0","ENSG00000304732"
0,1.73479905493251,0.317,0.135,0,"0","ECE1"
0,1.7553559911972,0.436,0.256,0,"0","LIMK2"
0,1.25000557467227,0.602,0.425,0,"0","KDM6B"
0,1.86672524788268,0.3,0.123,0,"0","RETN"
0,1.59964843286844,0.491,0.315,0,"0","STXBP2"
0,1.85824924000723,0.306,0.132,0,"0","ST6GALNAC3"
0,1.98006431204355,0.281,0.109,0,"0","LINC00877"
0,2.75750704240553,0.212,0.042,0,"0","ENSG00000287216"
0,1.99002705072241,0.273,0.107,0,"0","GK5"
0,1.76053809458338,0.347,0.182,0,"0","RIPOR2"
0,1.21592466348259,0.774,0.612,0,"0","NUMB"
0,1.57693260567829,0.357,0.196,0,"0","EAF1"
0,1.30238835266478,0.648,0.489,0,"0","OXSR1"
0,1.50305882357603,0.28,0.121,0,"0","ENSG00000257764"
0,0.917149112756196,0.631,0.472,0,"0","DMXL2"
0,3.06690301155867,0.225,0.066,0,"0","KCNJ15"
0,1.09191369537619,0.732,0.574,0,"0","TNFAIP3"
0,1.24048538009826,0.545,0.387,0,"0","PILRA"
0,0.804854150391075,0.651,0.494,0,"0","H3-3A"
0,1.53406121520135,0.869,0.713,0,"0","ARHGAP26"
0,2.1349262446313,0.234,0.078,0,"0","CKAP4"
0,1.19634816884683,0.617,0.461,0,"0","TOM1"
0,1.59965182434825,0.798,0.643,0,"0","TIMP1"
0,1.6270772903763,0.287,0.132,0,"0","ENSG00000288755"
0,1.12385060703332,0.781,0.627,0,"0","MXD1"
0,1.34575230126035,0.791,0.637,0,"0","ATP13A3"
0,1.47301338516074,0.378,0.224,0,"0","SVIL"
0,1.08321089641261,0.606,0.452,0,"0","PRKCB"
0,1.28427186930124,0.622,0.469,0,"0","RYBP"
0,1.7036285114094,0.443,0.291,0,"0","NEDD9"
0,2.52031687615269,0.204,0.052,0,"0","CATIP"
0,1.25104573045367,0.754,0.604,0,"0","MCTP1"
0,1.19378682291317,0.761,0.612,0,"0","H3-3B"
0,2.94371955534422,0.189,0.04,0,"0","PTX3"
0,1.30272954004352,0.611,0.462,0,"0","CARD16"
0,1.08256239597612,0.676,0.528,0,"0","FGD4"
