"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.22836390407471,0.563,0.088,0,"0","S100A12"
0,4.1019872567825,0.228,0.025,0,"0","PROK2"
0,3.91521812935646,0.106,0.012,0,"0","ENSG00000301069"
0,3.84723987839585,0.121,0.012,0,"0","MTND5P32"
0,3.82087207363131,0.842,0.33,0,"0","S100A8"
0,3.73446274647543,0.12,0.021,0,"0","APOBEC3B"
0,3.6982209774634,0.115,0.015,0,"0","FOLR3"
0,3.5110531712319,0.382,0.061,0,"0","FCAR"
0,3.47119900482962,0.136,0.026,0,"0","ADGRG3"
0,3.40117660507163,0.155,0.022,0,"0","PADI4"
0,3.37739769779192,0.89,0.55,0,"0","S100A9"
0,3.29925877493296,0.137,0.02,0,"0","STEAP4"
0,3.28781434409427,0.12,0.025,0,"0","ENSG00000287535"
0,3.24330802003005,0.426,0.089,0,"0","MCTP2"
0,3.15957191945293,0.439,0.114,0,"0","TNFAIP6"
0,3.14204767290297,0.114,0.02,0,"0","ENSG00000286076"
0,3.06690301155867,0.225,0.066,0,"0","KCNJ15"
0,3.06430545895364,0.149,0.028,0,"0","MIR223HG"
7.61930578684292e-237,3.02704225020033,0.142,0.05,6.85821333179518e-232,"0","GPAT4-AS1"
0,3.01592104260195,0.747,0.21,0,"0","AQP9"
0,4.3576956704173,0.451,0.06,0,"1","SELENOP"
0,4.2380677355719,0.192,0.024,0,"1","CCL18"
0,4.20903714977018,0.726,0.137,0,"1","APOE"
0,4.1642758163547,0.208,0.016,0,"1","LILRB5"
0,4.02700442204246,0.13,0.008,0,"1","TMEM37"
0,3.98213473325017,0.45,0.045,0,"1","KCNMA1"
0,3.97440995287105,0.542,0.08,0,"1","RNASE1"
0,3.94438427619772,0.187,0.021,0,"1","NUPR1"
0,3.91310632307689,0.114,0.008,0,"1","IGSF21"
0,3.8948695257938,0.153,0.012,0,"1","CD209"
0,3.87346942035907,0.383,0.054,0,"1","SLC40A1"
0,3.83189362285543,0.456,0.052,0,"1","PLTP"
0,3.83123571667003,0.126,0.01,0,"1","CCL13"
0,3.81432481240445,0.144,0.018,0,"1","KCNQ3"
0,3.78675257262189,0.228,0.018,0,"1","GAL3ST4"
0,3.78583209232053,0.643,0.094,0,"1","GPNMB"
0,3.77023012807361,0.41,0.056,0,"1","FOLR2"
0,3.76675773125127,0.681,0.138,0,"1","APOC1"
0,3.58934339432648,0.13,0.011,0,"1","ACE"
0,3.58886081259406,0.126,0.012,0,"1","ADORA3"
0,5.21382573356454,0.151,0.004,0,"2","CD207"
0,5.04456718778764,0.538,0.027,0,"2","CD1C"
0,4.92948290597968,0.106,0.005,0,"2","CLEC4F"
0,4.73155633720012,0.203,0.008,0,"2","CD1A"
0,4.59219298393768,0.495,0.026,0,"2","FCER1A"
0,4.55713101870759,0.386,0.02,0,"2","CD1E"
0,3.91263585429679,0.112,0.007,0,"2","ENSG00000176320"
0,3.784020985498,0.13,0.008,0,"2","CD1B"
0,3.57772116136375,0.185,0.015,0,"2","RASAL1"
0,3.46550943948794,0.295,0.029,0,"2","PPP1R14A"
0,3.41906294087969,0.603,0.089,0,"2","PKIB"
0,3.19135713114035,0.318,0.088,0,"2","S100B"
0,3.06850639601016,0.108,0.011,0,"2","ENSG00000205037"
0,3.01969362754658,0.637,0.126,0,"2","CLEC10A"
0,2.95954111175072,0.131,0.016,0,"2","GNAO1"
0,2.94994937292786,0.165,0.019,0,"2","ENSG00000232628"
0,2.94543991926601,0.157,0.019,0,"2","ENSG00000291111"
0,2.89442636313523,0.336,0.07,0,"2","TCTN3"
0,2.87086957008346,0.138,0.017,0,"2","LINC02182"
0,2.86435015787413,0.103,0.01,0,"2","CLEC17A"
0,7.22387872591973,0.132,0.006,0,"3","AL136456.1"
0,6.86439167036686,0.158,0.005,0,"3","XCL2"
0,6.84221626041898,0.144,0.006,0,"3","ENSG00000227240"
0,6.71789425406442,0.428,0.01,0,"3","THEMIS"
0,6.49126966122747,0.194,0.007,0,"3","GZMK"
0,6.44373818084663,0.135,0.003,0,"3","KLRK1"
0,6.34667484559777,0.487,0.015,0,"3","CAMK4"
0,6.28434097540213,0.294,0.012,0,"3","KLRB1"
0,6.27816205685555,0.223,0.011,0,"3","IFNG"
0,6.23190457679558,0.616,0.025,0,"3","SKAP1"
0,6.17075776740998,0.394,0.01,0,"3","CD3G"
0,6.14271508280398,0.345,0.011,0,"3","ICOS"
0,6.06379084192129,0.238,0.007,0,"3","SAMD3"
0,5.95983936486843,0.491,0.016,0,"3","BCL11B"
0,5.94831734121186,0.196,0.006,0,"3","LINC00861"
0,5.92728612731259,0.223,0.006,0,"3","SCML4"
0,5.91156328536979,0.145,0.004,0,"3","TRAT1"
0,5.90097040010604,0.237,0.006,0,"3","ZNF831"
0,5.8907933258588,0.287,0.01,0,"3","PYHIN1"
0,5.88544566698026,0.127,0.005,0,"3","LINC02446"
0,4.64984230799571,0.186,0.012,0,"4","AL157871.4"
0,4.37421213937728,0.142,0.007,0,"4","AC037198.1"
0,3.9728293795505,0.615,0.067,0,"4","WARS"
0,3.93615861596331,0.108,0.006,0,"4","AL133330.1"
0,3.88244517190453,0.134,0.008,0,"4","CRLF2"
2.97349315179338e-275,3.75166961609072,0.111,0.01,2.67647092086074e-270,"4","AC253572.2"
5.92878775009496e-323,3.65502074370392,0.115,0.009,5.33656114173797e-318,"4","AC139099.2"
0,3.64957079644288,0.229,0.015,0,"4","PLCXD1"
0,3.61137336910427,0.2,0.015,0,"4","AC013652.1"
0,3.50854929543651,0.215,0.016,0,"4","CDC42EP2"
0,3.49739837629378,0.223,0.016,0,"4","BTBD11"
1.03765939968113e-305,3.49233412985348,0.116,0.009,9.34007602246981e-301,"4","IQCJ-SCHIP1"
0,3.47372623045211,0.321,0.029,0,"4","AL138720.1"
0,3.41687180193648,0.138,0.011,0,"4","AF064858.1"
0,3.41597988368013,0.588,0.07,0,"4","FAM102B"
1.44136882469417e-217,3.37778944879796,0.117,0.014,1.29739049279547e-212,"4","AL021155.5"
1.75412690357643e-232,3.36134222665726,0.114,0.012,1.57890716717818e-227,"4","AC103591.3"
0,3.34751235799618,0.239,0.021,0,"4","AC020656.1"
0,3.34388096154308,0.149,0.013,0,"4","CYB5D1"
0,3.34259917934511,0.181,0.02,0,"4","AC012447.1"
0,5.43223895340476,0.365,0.028,0,"5","SCHLAP1"
0,5.42174028563447,0.198,0.009,0,"5","CLCA4"
0,5.40622710584813,0.278,0.015,0,"5","ENSG00000309644"
0,5.25332524227781,0.343,0.022,0,"5","MIR31HG"
0,5.13284474145323,0.203,0.009,0,"5","ENSG00000260658"
0,5.08998305415508,0.163,0.01,0,"5","TRIM31-AS1"
0,5.06797011007504,0.249,0.016,0,"5","LIPH"
0,5.04019935457576,0.211,0.012,0,"5","IL1RAPL2"
0,5.01476733154423,0.249,0.014,0,"5","ANXA10"
0,4.9921735734182,0.124,0.006,0,"5","SLC9C1"
0,4.9642968449098,0.343,0.026,0,"5","PDE10A"
0,4.94945764758395,0.127,0.008,0,"5","ENSG00000305880"
0,4.91399539930432,0.102,0.004,0,"5","ENSG00000276850"
0,4.91035838470982,0.179,0.009,0,"5","COL4A5"
0,4.89881726105221,0.118,0.005,0,"5","ENSG00000225258"
0,4.89775849939249,0.136,0.005,0,"5","FAM83B"
0,4.88571875206645,0.119,0.004,0,"5","ENSG00000306625"
0,4.7862815247355,0.418,0.041,0,"5","LINC00511"
0,4.77320181018078,0.118,0.006,0,"5","HS3ST5"
0,4.75609244940588,0.138,0.008,0,"5","PCDH7"
0,8.50299488804868,0.252,0.001,0,"6","TUBB2B"
0,8.49047203512948,0.742,0.012,0,"6","CCL19"
0,7.92422670833554,0.197,0.001,0,"6","INSM1"
0,7.61010426901415,0.719,0.017,0,"6","ENOX1"
0,7.59255164261252,0.136,0.001,0,"6","ENSG00000293835"
0,7.55196277324901,0.18,0.002,0,"6","TNFRSF11B"
0,7.51360721895664,0.318,0.002,0,"6","NCCRP1"
0,7.40962187330006,0.401,0.006,0,"6","DLGAP2"
0,7.36784718952613,0.148,0.004,0,"6","TENM3"
0,7.22310431832535,0.747,0.014,0,"6","SLCO5A1"
0,7.21759428580997,0.101,0.001,0,"6","TNNT2"
0,7.2053201364748,0.233,0.002,0,"6","LINC01170"
0,7.1005923622258,0.478,0.005,0,"6","HMSD"
0,6.9746968553859,0.245,0.003,0,"6","TMEM150C"
0,6.83100026759376,0.711,0.015,0,"6","GPC5"
0,6.77253025331503,0.58,0.007,0,"6","CD200"
0,6.7669244335365,0.237,0.005,0,"6","NRG2"
0,6.76003959688572,0.598,0.023,0,"6","ENSG00000303924"
0,6.61880831343637,0.128,0.002,0,"6","XKR4"
0,6.53711919180078,0.283,0.005,0,"6","AOC1"
0,5.99959653254199,0.213,0.002,0,"7","KIF18B"
0,5.99854382609807,0.657,0.016,0,"7","MKI67"
0,5.94857765514314,0.143,0.002,0,"7","H3C2"
0,5.89403834020437,0.404,0.006,0,"7","GTSE1"
0,5.8589927571686,0.663,0.023,0,"7","TOP2A"
0,5.80557440522823,0.289,0.005,0,"7","DLGAP5"
0,5.797632943065,0.25,0.004,0,"7","CDCA3"
0,5.76877970566043,0.582,0.017,0,"7","TYMS"
0,5.70720716705317,0.549,0.012,0,"7","BIRC5"
0,5.70717545205654,0.753,0.027,0,"7","PCLAF"
0,5.69927477205366,0.342,0.006,0,"7","SPC25"
0,5.62330621154618,0.565,0.02,0,"7","UBE2C"
0,5.62083338176486,0.232,0.004,0,"7","PKMYT1"
0,5.60286414758737,0.123,0.002,0,"7","PIMREG"
0,5.5803101792236,0.513,0.012,0,"7","DIAPH3"
0,5.56638935677228,0.33,0.008,0,"7","CDC20"
0,5.56578687314238,0.265,0.005,0,"7","TROAP"
0,5.56444615081288,0.576,0.017,0,"7","RRM2"
0,5.51976594181782,0.282,0.004,0,"7","KIF4A"
0,5.50101434908484,0.446,0.011,0,"7","ASPM"
0,8.86707766666572,0.132,0,0,"8","PPY"
0,6.99732297982394,0.792,0.013,0,"8","CLEC9A"
0,6.74017836709004,0.474,0.005,0,"8","XCR1"
0,6.28996568523737,0.387,0.006,0,"8","ENSG00000231873"
0,6.1809790197193,0.157,0.002,0,"8","NYAP2"
0,6.18092797165596,0.114,0.001,0,"8","SMASR"
0,6.17367896051461,0.73,0.018,0,"8","CLNK"
0,5.96407977358084,0.105,0.002,0,"8","RFPL4A"
0,5.90819827959594,0.195,0.003,0,"8","SNX22"
0,5.7827274064023,0.156,0.003,0,"8","ANKRD20A1"
0,5.69459473611832,0.136,0.003,0,"8","LINC01724"
0,5.6020857906829,0.447,0.014,0,"8","MIR924HG"
0,5.53835823945039,0.149,0.004,0,"8","ENSG00000288600"
0,5.53435482951053,0.397,0.01,0,"8","ENPP1"
0,5.25818393337922,0.131,0.003,0,"8","KCND3"
0,5.16154767024941,0.193,0.004,0,"8","PAK3"
0,5.12916101919953,0.183,0.005,0,"8","SH3RF2"
0,5.06194807845289,0.706,0.033,0,"8","DNASE1L3"
0,4.88083126429278,0.104,0.003,0,"8","ENSG00000291166"
0,4.85854225220976,0.125,0.004,0,"8","PLEKHG4B"
0,10.6066822558662,0.211,0,0,"9","ENSG00000290592"
0,9.88244098956007,0.316,0.001,0,"9","TCL1A"
0,9.65351204816454,0.576,0.002,0,"9","LINC01478"
0,9.41047377322467,0.129,0,0,"9","SLC32A1"
0,9.38585373401094,0.349,0.001,0,"9","SHD"
0,9.27677603303674,0.649,0.002,0,"9","SCT"
0,8.5007086914917,0.489,0.002,0,"9","CLEC4C"
0,8.49600669551571,0.387,0.001,0,"9","PACSIN1"
0,8.40897270825959,0.227,0.001,0,"9","ENSG00000290104"
0,8.31128169346825,0.436,0.004,0,"9","ENSG00000293455"
0,8.09819600758061,0.56,0.004,0,"9","NIBAN3"
