"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.06273820928723,0.129,0.018,0,"0","LYVE1"
0,3.916584392961,0.633,0.095,0,"0","SELENOP"
0,3.69459051214842,0.538,0.083,0,"0","SLC40A1"
0,3.64620514035874,0.29,0.035,0,"0","LILRB5"
0,3.62952913480149,0.128,0.011,0,"0","CXCL12"
0,3.61301457419503,0.162,0.017,0,"0","EDA"
0,3.59927441889496,0.172,0.016,0,"0","IGSF21"
0,3.57029363830963,0.207,0.028,0,"0","KCNQ3"
0,3.38861290508693,0.211,0.026,0,"0","CD209"
0,3.37812837315446,0.38,0.056,0,"0","ME1"
0,3.36683615424359,0.554,0.091,0,"0","FOLR2"
0,3.36343339697433,0.306,0.037,0,"0","IGF1"
0,3.27342271155899,0.748,0.15,0,"0","FRMD4A"
0,3.24656458704771,0.555,0.095,0,"0","KCNMA1"
0,3.2429072697091,0.33,0.053,0,"0","CD163L1"
0,3.18689294979102,0.216,0.045,0,"0","NCKAP5"
0,3.16022370113407,0.167,0.023,0,"0","CCL13"
0,3.14925563630672,0.176,0.02,0,"0","TMEM37"
0,3.13549344501181,0.192,0.025,0,"0","ANOS1"
0,3.12909844428311,0.611,0.18,0,"0","F13A1"
0,2.97440936670343,0.683,0.208,0,"1","S100A12"
0,2.95832562529434,0.355,0.065,0,"1","PROK2"
0,2.75729576474902,0.888,0.471,0,"1","S100A8"
0,2.597759679356,0.913,0.645,0,"1","S100A9"
9.52491545240567e-226,2.48962726028031,0.1,0.019,8.57347164786487e-221,"1","NFE2"
0,2.45072270496019,0.199,0.044,0,"1","STEAP4"
0,2.42351026807098,0.334,0.092,0,"1","RBP7"
0,2.38655975365817,0.534,0.171,0,"1","MCTP2"
0,2.37059439954933,0.203,0.055,0,"1","MIR223HG"
6.31821540211592e-206,2.36098342377274,0.108,0.025,5.68708886559856e-201,"1","VNN3P.1"
0,2.29236987310517,0.358,0.106,0,"1","VNN2"
0,2.25797717089859,0.415,0.135,0,"1","MCEMP1"
