"resolution","cluster","n_cells","fraction"
0.2,"0",15482,0.383284232416508
0.2,"1",11715,0.29002549946773
0.2,"2",3933,0.0973683559032506
0.2,"3",2669,0.0660758052137747
0.2,"4",1775,0.0439432574951105
0.2,"5",1774,0.0439185007303246
0.2,"6",1005,0.0248805486099077
0.2,"7",827,0.0204738444780036
0.2,"8",763,0.018889411531701
0.2,"9",450,0.01114054415369
0.4,"0",9553,0.236501374000446
0.4,"1",8506,0.210581041269527
0.4,"2",4302,0.106503602109276
0.4,"3",3191,0.0789988364320551
0.4,"4",2659,0.0658282375659149
0.4,"5",2341,0.057955586363974
0.4,"6",1970,0.0487708266283762
0.4,"7",1783,0.0441413116133984
0.4,"8",1768,0.0437699601416087
0.4,"9",1008,0.0249548189042656
0.4,"10",924,0.0228752506622435
0.4,"11",842,0.0208451959497933
0.4,"12",763,0.018889411531701
0.4,"13",450,0.01114054415369
0.4,"14",333,0.0082440026737306
0.6,"0",8429,0.208674770381007
0.6,"1",8227,0.203673903894239
0.6,"2",4257,0.105389547693907
0.6,"3",3191,0.0789988364320551
0.6,"4",2720,0.0673384002178595
0.6,"5",2341,0.057955586363974
0.6,"6",2334,0.0577822890104721
0.6,"7",1789,0.0442898522021142
0.6,"8",1771,0.0438442304359666
0.6,"9",1008,0.0249548189042656
0.6,"10",935,0.0231475750748892
0.6,"11",840,0.0207956824202213
0.6,"12",763,0.018889411531701
0.6,"13",731,0.0180971950585497
0.6,"14",450,0.01114054415369
0.6,"15",333,0.0082440026737306
0.6,"16",274,0.00678335355135791
0.8,"0",5898,0.146015398707697
0.8,"1",5305,0.131334637189612
0.8,"2",4600,0.113881118015498
0.8,"3",3181,0.0787512687841953
0.8,"4",2450,0.0606540737256455
0.8,"5",2404,0.0595152625454906
0.8,"6",1966,0.0486717995692323
0.8,"7",1893,0.0468645557398559
0.8,"8",1783,0.0441413116133984
0.8,"9",1771,0.0438442304359666
0.8,"10",1733,0.0429034733740995
0.8,"11",1007,0.0249300621394796
0.8,"12",963,0.0238407644888966
0.8,"13",847,0.0209689797737232
0.8,"14",831,0.0205728715371475
0.8,"15",828,0.0204986012427896
0.8,"16",763,0.018889411531701
0.8,"17",658,0.0162899512291734
0.8,"18",450,0.01114054415369
0.8,"19",449,0.011115787388904
0.8,"20",333,0.0082440026737306
0.8,"21",280,0.00693189414007378
