"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.2,0.4,"1","0",9552,0.815364916773368
0.2,0.4,"2","0",1,0.000254258835494533
0.2,0.4,"0","1",8503,0.54921844722904
0.2,0.4,"1","1",1,8.53606487409304e-05
0.2,0.4,"5","1",2,0.00112739571589628
0.2,0.4,"0","2",4284,0.276708435602635
0.2,0.4,"1","2",11,0.000938967136150235
0.2,0.4,"2","2",7,0.00177981184846173
0.2,0.4,"1","3",3,0.000256081946222791
0.2,0.4,"2","3",3188,0.810577167556573
0.2,0.4,"0","4",2654,0.171424880506395
0.2,0.4,"4","4",5,0.0028169014084507
0.2,0.4,"0","5",2,0.000129182276191707
0.2,0.4,"1","5",2,0.000170721297481861
0.2,0.4,"2","5",1,0.000254258835494533
0.2,0.4,"3","5",2336,0.875234170101161
0.2,0.4,"0","6",23,0.00148559617620462
0.2,0.4,"1","6",1214,0.10362782757149
0.2,0.4,"2","6",731,0.185863208746504
0.2,0.4,"4","6",2,0.00112676056338028
0.2,0.4,"0","7",8,0.000516729104766826
0.2,0.4,"1","7",1,8.53606487409304e-05
0.2,0.4,"2","7",2,0.000508517670989067
0.2,0.4,"5","7",1772,0.998872604284104
0.2,0.4,"4","8",1768,0.996056338028169
0.2,0.4,"2","9",3,0.0007627765064836
0.2,0.4,"6","9",1005,1
0.2,0.4,"0","10",8,0.000516729104766826
0.2,0.4,"1","10",916,0.0781903542466923
0.2,0.4,"1","11",15,0.00128040973111396
0.2,0.4,"7","11",827,1
0.2,0.4,"8","12",763,1
0.2,0.4,"9","13",450,1
0.2,0.4,"3","14",333,0.124765829898839
0.4,0.6,"1","0",8414,0.989184105337409
0.4,0.6,"2","0",10,0.00232450023245002
0.4,0.6,"6","0",5,0.00253807106598985
0.4,0.6,"0","1",8217,0.860148644404899
0.4,0.6,"5","1",1,0.000427167876975651
0.4,0.6,"6","1",6,0.00304568527918782
0.4,0.6,"10","1",1,0.00108225108225108
0.4,0.6,"11","1",2,0.00237529691211401
0.4,0.6,"0","2",2,0.000209358316759133
0.4,0.6,"1","2",23,0.00270397366564778
0.4,0.6,"2","2",3920,0.911204091120409
0.4,0.6,"4","2",2,0.000752162467092892
0.4,0.6,"6","2",310,0.157360406091371
0.4,0.6,"0","3",1,0.000104679158379567
0.4,0.6,"2","3",1,0.000232450023245002
0.4,0.6,"3","3",3183,0.997492948918834
0.4,0.6,"6","3",6,0.00304568527918782
0.4,0.6,"1","4",61,0.00717140841758758
0.4,0.6,"2","4",4,0.000929800092980009
0.4,0.6,"4","4",2655,0.998495675065814
0.4,0.6,"0","5",1,0.000104679158379567
0.4,0.6,"5","5",2340,0.999572832123024
0.4,0.6,"0","6",941,0.0985030880351722
0.4,0.6,"1","6",5,0.000587820362097343
0.4,0.6,"2","6",8,0.00185960018596002
0.4,0.6,"3","6",4,0.00125352554058289
0.4,0.6,"6","6",1376,0.698477157360406
0.4,0.6,"0","7",6,0.0006280749502774
0.4,0.6,"7","7",1783,1
0.4,0.6,"0","8",1,0.000104679158379567
0.4,0.6,"1","8",1,0.000117564072419469
0.4,0.6,"2","8",1,0.000232450023245002
0.4,0.6,"8","8",1768,1
0.4,0.6,"9","9",1008,1
0.4,0.6,"0","10",1,0.000104679158379567
0.4,0.6,"2","10",5,0.00116225011622501
0.4,0.6,"3","10",1,0.000313381385145722
0.4,0.6,"6","10",5,0.00253807106598985
0.4,0.6,"10","10",923,0.998917748917749
0.4,0.6,"11","11",840,0.997624703087886
0.4,0.6,"12","12",763,1
0.4,0.6,"0","13",371,0.0388359677588192
0.4,0.6,"1","13",2,0.000235128144838937
0.4,0.6,"2","13",352,0.0818224081822408
0.4,0.6,"3","13",3,0.000940144155437167
0.4,0.6,"4","13",2,0.000752162467092892
0.4,0.6,"6","13",1,0.00050761421319797
0.4,0.6,"13","14",450,1
0.4,0.6,"14","15",333,1
0.4,0.6,"0","16",12,0.0012561499005548
0.4,0.6,"2","16",1,0.000232450023245002
0.4,0.6,"6","16",261,0.13248730964467
0.6,0.8,"1","0",5893,0.716299987844901
0.6,0.8,"2","0",1,0.000234907211651398
0.6,0.8,"6","0",3,0.0012853470437018
0.6,0.8,"7","0",1,0.000558971492453885
0.6,0.8,"0","1",3835,0.454976865583106
0.6,0.8,"2","1",714,0.167723749119098
0.6,0.8,"4","1",755,0.277573529411765
0.6,0.8,"7","1",1,0.000558971492453885
0.6,0.8,"0","2",4565,0.541582631391624
0.6,0.8,"2","2",16,0.00375851538642236
0.6,0.8,"6","2",7,0.00299914310197087
0.6,0.8,"7","2",8,0.00447177193963108
0.6,0.8,"8","2",1,0.000564652738565782
0.6,0.8,"13","2",3,0.00410396716826265
0.6,0.8,"1","3",1,0.000121550990640574
0.6,0.8,"2","3",2,0.000469814423302795
0.6,0.8,"3","3",3178,0.995926041993106
0.6,0.8,"0","4",1,0.000118638035354135
0.6,0.8,"1","4",1754,0.213200437583566
0.6,0.8,"2","4",1,0.000234907211651398
0.6,0.8,"6","4",684,0.29305912596401
0.6,0.8,"8","4",3,0.00169395821569735
0.6,0.8,"10","4",3,0.00320855614973262
0.6,0.8,"16","4",4,0.0145985401459854
0.6,0.8,"0","5",1,0.000118638035354135
0.6,0.8,"2","5",2399,0.563542400751703
0.6,0.8,"3","5",1,0.000313381385145722
0.6,0.8,"6","5",3,0.0012853470437018
0.6,0.8,"0","6",6,0.000711828212124807
