"cluster","group","n_cells","resolution","field","within_cluster_fraction"
"0","CNP0000460",2038,0.2,"dataset",0.190823970037453
"1","CNP0000460",2326,0.2,"dataset",0.224821186932148
"2","CNP0000460",1001,0.2,"dataset",0.315573770491803
"3","CNP0000460",268,0.2,"dataset",0.0863958736299162
"4","CNP0000460",97,0.2,"dataset",0.0346428571428571
"5","CNP0000460",0,0.2,"dataset",0
"6","CNP0000460",245,0.2,"dataset",0.24822695035461
"7","CNP0000460",225,0.2,"dataset",0.268176400476758
"8","CNP0000460",133,0.2,"dataset",0.175925925925926
"9","CNP0000460",22,0.2,"dataset",0.0430528375733855
"10","CNP0000460",104,0.2,"dataset",0.23162583518931
"11","CNP0000460",19,0.2,"dataset",0.12751677852349
"0","GSE326225",477,0.2,"dataset",0.0446629213483146
"1","GSE326225",82,0.2,"dataset",0.0079257684129132
"2","GSE326225",82,0.2,"dataset",0.0258511979823455
"3","GSE326225",182,0.2,"dataset",0.0586718246292714
"4","GSE326225",62,0.2,"dataset",0.0221428571428571
"5","GSE326225",37,0.2,"dataset",0.0172494172494173
"6","GSE326225",25,0.2,"dataset",0.0253292806484296
"7","GSE326225",49,0.2,"dataset",0.0584028605482718
"8","GSE326225",14,0.2,"dataset",0.0185185185185185
"9","GSE326225",64,0.2,"dataset",0.125244618395303
"10","GSE326225",21,0.2,"dataset",0.0467706013363029
"11","GSE326225",3,0.2,"dataset",0.0201342281879195
"0","HRA003620",3301,0.2,"dataset",0.309082397003745
"1","HRA003620",6353,0.2,"dataset",0.614053740576068
"2","HRA003620",1225,0.2,"dataset",0.386191677175284
"3","HRA003620",1948,0.2,"dataset",0.627981947130883
"4","HRA003620",124,0.2,"dataset",0.0442857142857143
"5","HRA003620",0,0.2,"dataset",0
"6","HRA003620",275,0.2,"dataset",0.278622087132725
"7","HRA003620",242,0.2,"dataset",0.288438617401669
"8","HRA003620",309,0.2,"dataset",0.408730158730159
"9","HRA003620",129,0.2,"dataset",0.252446183953033
"10","HRA003620",152,0.2,"dataset",0.338530066815145
"11","HRA003620",93,0.2,"dataset",0.624161073825503
"0","InhouseData",3208,0.2,"dataset",0.300374531835206
"1","InhouseData",681,0.2,"dataset",0.0658225401121206
"2","InhouseData",390,0.2,"dataset",0.122950819672131
"3","InhouseData",388,0.2,"dataset",0.1250805931657
"4","InhouseData",2281,0.2,"dataset",0.814642857142857
"5","InhouseData",2108,0.2,"dataset",0.982750582750583
"6","InhouseData",278,0.2,"dataset",0.281661600810537
"7","InhouseData",132,0.2,"dataset",0.157330154946365
"8","InhouseData",118,0.2,"dataset",0.156084656084656
"9","InhouseData",244,0.2,"dataset",0.477495107632094
"10","InhouseData",126,0.2,"dataset",0.280623608017817
"11","InhouseData",9,0.2,"dataset",0.0604026845637584
"0","PRJNA662018",1656,0.2,"dataset",0.155056179775281
"1","PRJNA662018",904,0.2,"dataset",0.0873767639667504
"2","PRJNA662018",474,0.2,"dataset",0.149432534678436
"3","PRJNA662018",316,0.2,"dataset",0.10186976144423
"4","PRJNA662018",236,0.2,"dataset",0.0842857142857143
"5","PRJNA662018",0,0.2,"dataset",0
"6","PRJNA662018",164,0.2,"dataset",0.166160081053698
"7","PRJNA662018",191,0.2,"dataset",0.227651966626937
"8","PRJNA662018",182,0.2,"dataset",0.240740740740741
"9","PRJNA662018",52,0.2,"dataset",0.101761252446184
"10","PRJNA662018",46,0.2,"dataset",0.102449888641425
"11","PRJNA662018",25,0.2,"dataset",0.167785234899329
"0","CNP0000460_P01N",188,0.2,"orig.ident",0.0176029962546816
"1","CNP0000460_P01N",243,0.2,"orig.ident",0.0234873381016818
"2","CNP0000460_P01N",69,0.2,"orig.ident",0.0217528373266078
"3","CNP0000460_P01N",38,0.2,"orig.ident",0.0122501611863314
"4","CNP0000460_P01N",6,0.2,"orig.ident",0.00214285714285714
"5","CNP0000460_P01N",0,0.2,"orig.ident",0
"6","CNP0000460_P01N",7,0.2,"orig.ident",0.00709219858156028
"7","CNP0000460_P01N",8,0.2,"orig.ident",0.00953516090584029
"8","CNP0000460_P01N",13,0.2,"orig.ident",0.0171957671957672
"9","CNP0000460_P01N",1,0.2,"orig.ident",0.00195694716242661
"10","CNP0000460_P01N",2,0.2,"orig.ident",0.0044543429844098
"11","CNP0000460_P01N",4,0.2,"orig.ident",0.0268456375838926
"0","CNP0000460_P01T",132,0.2,"orig.ident",0.0123595505617978
"1","CNP0000460_P01T",141,0.2,"orig.ident",0.0136284554417166
"2","CNP0000460_P01T",23,0.2,"orig.ident",0.00725094577553594
"3","CNP0000460_P01T",8,0.2,"orig.ident",0.00257898130238556
"4","CNP0000460_P01T",4,0.2,"orig.ident",0.00142857142857143
"5","CNP0000460_P01T",0,0.2,"orig.ident",0
"6","CNP0000460_P01T",7,0.2,"orig.ident",0.00709219858156028
"7","CNP0000460_P01T",11,0.2,"orig.ident",0.0131108462455304
"8","CNP0000460_P01T",5,0.2,"orig.ident",0.00661375661375661
"9","CNP0000460_P01T",3,0.2,"orig.ident",0.00587084148727984
"10","CNP0000460_P01T",1,0.2,"orig.ident",0.0022271714922049
"11","CNP0000460_P01T",2,0.2,"orig.ident",0.0134228187919463
