"cluster","group","n_cells","resolution","field","within_cluster_fraction","lineage_wide_dataset_fraction","enrichment","high_enrichment_low_count_flag"
"0","CNP0000460",2038,0.2,"dataset",0.190823970037453,0.180264915405165,1.05857520643191,FALSE
"1","CNP0000460",2326,0.2,"dataset",0.224821186932148,0.180264915405165,1.247171067242,FALSE
"2","CNP0000460",1001,0.2,"dataset",0.315573770491803,0.180264915405165,1.75061114794589,FALSE
"3","CNP0000460",268,0.2,"dataset",0.0863958736299162,0.180264915405165,0.479271706508902,FALSE
"4","CNP0000460",97,0.2,"dataset",0.0346428571428571,0.180264915405165,0.192177479821814,FALSE
"5","CNP0000460",0,0.2,"dataset",0,0.180264915405165,0,FALSE
"6","CNP0000460",245,0.2,"dataset",0.24822695035461,0.180264915405165,1.37701199258155,FALSE
"7","CNP0000460",225,0.2,"dataset",0.268176400476758,0.180264915405165,1.48767939603779,FALSE
"8","CNP0000460",133,0.2,"dataset",0.175925925925926,0.180264915405165,0.975929928075652,FALSE
"9","CNP0000460",22,0.2,"dataset",0.0430528375733855,0.180264915405165,0.238830931002961,FALSE
"10","CNP0000460",104,0.2,"dataset",0.23162583518931,0.180264915405165,1.28491911289951,FALSE
"11","CNP0000460",19,0.2,"dataset",0.12751677852349,0.180264915405165,0.70738545122262,FALSE
"0","GSE326225",477,0.2,"dataset",0.0446629213483146,0.0305543187889581,1.46175477374593,FALSE
"1","GSE326225",82,0.2,"dataset",0.0079257684129132,0.0305543187889581,0.25939928386744,FALSE
"2","GSE326225",82,0.2,"dataset",0.0258511979823455,0.0305543187889581,0.846073452362084,FALSE
"3","GSE326225",182,0.2,"dataset",0.0586718246292714,0.0305543187889581,1.92024652994308,FALSE
"4","GSE326225",62,0.2,"dataset",0.0221428571428571,0.0305543187889581,0.724704657819412,FALSE
"5","GSE326225",37,0.2,"dataset",0.0172494172494173,0.0305543187889581,0.564549233401692,FALSE
"6","GSE326225",25,0.2,"dataset",0.0253292806484296,0.0305543187889581,0.82899183003822,FALSE
"7","GSE326225",49,0.2,"dataset",0.0584028605482718,0.0305543187889581,1.91144371280755,FALSE
"8","GSE326225",14,0.2,"dataset",0.0185185185185185,0.0305543187889581,0.606085137961276,FALSE
"9","GSE326225",64,0.2,"dataset",0.125244618395303,0.0305543187889581,4.09908069822734,FALSE
"10","GSE326225",21,0.2,"dataset",0.0467706013363029,0.0305543187889581,1.53073618362603,FALSE
"11","GSE326225",3,0.2,"dataset",0.0201342281879195,0.0305543187889581,0.658965049327025,FALSE
"0","HRA003620",3301,0.2,"dataset",0.309082397003745,0.39378339269813,0.784904601704939,FALSE
"1","HRA003620",6353,0.2,"dataset",0.614053740576068,0.39378339269813,1.5593693181642,FALSE
"2","HRA003620",1225,0.2,"dataset",0.386191677175284,0.39378339269813,0.980721087624267,FALSE
"3","HRA003620",1948,0.2,"dataset",0.627981947130883,0.39378339269813,1.59473954152324,FALSE
"4","HRA003620",124,0.2,"dataset",0.0442857142857143,0.39378339269813,0.112462117770577,FALSE
"5","HRA003620",0,0.2,"dataset",0,0.39378339269813,0,FALSE
"6","HRA003620",275,0.2,"dataset",0.278622087132725,0.39378339269813,0.707551644633003,FALSE
"7","HRA003620",242,0.2,"dataset",0.288438617401669,0.39378339269813,0.732480401027939,FALSE
"8","HRA003620",309,0.2,"dataset",0.408730158730159,0.39378339269813,1.03795682171769,FALSE
"9","HRA003620",129,0.2,"dataset",0.252446183953033,0.39378339269813,0.641078797720034,FALSE
"10","HRA003620",152,0.2,"dataset",0.338530066815145,0.39378339269813,0.859685992584909,FALSE
"11","HRA003620",93,0.2,"dataset",0.624161073825503,0.39378339269813,1.58503655918262,FALSE
"0","InhouseData",3208,0.2,"dataset",0.300374531835206,0.277242876224399,1.08343462571815,FALSE
"1","InhouseData",681,0.2,"dataset",0.0658225401121206,0.277242876224399,0.23741832796037,FALSE
"2","InhouseData",390,0.2,"dataset",0.122950819672131,0.277242876224399,0.443476930215568,FALSE
"3","InhouseData",388,0.2,"dataset",0.1250805931657,0.277242876224399,0.451158907558223,FALSE
"4","InhouseData",2281,0.2,"dataset",0.814642857142857,0.277242876224399,2.93837254986306,FALSE
"5","InhouseData",2108,0.2,"dataset",0.982750582750583,0.277242876224399,3.54472798772708,FALSE
"6","InhouseData",278,0.2,"dataset",0.281661600810537,0.277242876224399,1.01593809964142,FALSE
"7","InhouseData",132,0.2,"dataset",0.157330154946365,0.277242876224399,0.567481325720422,FALSE
"8","InhouseData",118,0.2,"dataset",0.156084656084656,0.277242876224399,0.562988878957965,FALSE
"9","InhouseData",244,0.2,"dataset",0.477495107632094,0.277242876224399,1.72229892480848,FALSE
"10","InhouseData",126,0.2,"dataset",0.280623608017817,0.277242876224399,1.01219411600204,FALSE
"11","InhouseData",9,0.2,"dataset",0.0604026845637584,0.277242876224399,0.217869203300534,FALSE
