"resolution","cluster","n_cells","fraction"
0.2,"0",10680,0.297195013357079
0.2,"1",10346,0.28790071237756
0.2,"2",3172,0.0882680320569902
0.2,"3",3102,0.086320124666073
0.2,"4",2800,0.0779162956366874
0.2,"5",2145,0.0596894479073909
0.2,"6",987,0.0274654942119323
0.2,"7",839,0.0233470614425646
0.2,"8",756,0.0210373998219056
0.2,"9",511,0.0142197239536955
0.2,"10",449,0.0124944345503117
0.2,"11",149,0.00414626001780944
0.4,"0",9595,0.267002448797863
0.4,"1",9254,0.257513357079252
0.4,"2",3238,0.0901046304541407
0.4,"3",3180,0.0884906500445236
0.4,"4",2478,0.0689559216384684
0.4,"5",2148,0.0597729296527159
0.4,"6",1393,0.038763357079252
0.4,"7",992,0.0276046304541407
0.4,"8",942,0.026213268032057
0.4,"9",841,0.0234027159394479
0.4,"10",756,0.0210373998219056
0.4,"11",520,0.0144701691896705
0.4,"12",450,0.0125222617987533
0.4,"13",149,0.00414626001780944
0.6,"0",5988,0.166629563668744
0.6,"1",4986,0.138746660730187
0.6,"2",4171,0.116067453250223
0.6,"3",3930,0.109361086375779
0.6,"4",3180,0.0884906500445236
0.6,"5",2447,0.0680932769367765
0.6,"6",2409,0.0670358414959929
0.6,"7",2152,0.0598842386464826
0.6,"8",1407,0.0391529385574354
0.6,"9",1019,0.0283559661620659
0.6,"10",987,0.0274654942119323
0.6,"11",849,0.0236253339269813
0.6,"12",756,0.0210373998219056
0.6,"13",594,0.0165293855743544
0.6,"14",450,0.0125222617987533
0.6,"15",406,0.0112978628673197
0.6,"16",205,0.00570458593054319
0.8,"0",5076,0.141251113089938
0.8,"1",4766,0.132624666073019
0.8,"2",4429,0.123246883348175
0.8,"3",3668,0.102070347284061
0.8,"4",3160,0.0879341050756901
0.8,"5",2492,0.0693455031166518
0.8,"6",2480,0.0690115761353517
0.8,"7",2153,0.0599120658949243
0.8,"8",1422,0.0395703472840606
0.8,"9",1047,0.0291351291184328
0.8,"10",1035,0.0288012021371327
0.8,"11",992,0.0276046304541407
0.8,"12",846,0.0235418521816563
0.8,"13",757,0.0210652270703473
0.8,"14",538,0.0149710596616207
0.8,"15",450,0.0125222617987533
0.8,"16",420,0.0116874443455031
0.8,"17",205,0.00570458593054319
