"from_resolution","to_resolution","parent_cluster","child_cluster","n_cells","fraction_of_parent"
0.2,0.4,"0","0",2,0.000187265917602996
0.2,0.4,"1","0",9556,0.923641987241446
0.2,0.4,"3","0",12,0.00386847195357834
0.2,0.4,"4","0",25,0.00892857142857143
0.2,0.4,"0","1",9253,0.866385767790262
0.2,0.4,"3","1",1,0.000322372662798195
0.2,0.4,"0","2",16,0.00149812734082397
0.2,0.4,"1","2",668,0.0645660158515368
0.2,0.4,"2","2",1,0.000315258511979823
0.2,0.4,"3","2",2550,0.822050290135397
0.2,0.4,"9","2",1,0.00195694716242661
0.2,0.4,"11","2",2,0.0134228187919463
0.2,0.4,"0","3",5,0.000468164794007491
0.2,0.4,"1","3",13,0.0012565242605838
0.2,0.4,"2","3",3160,0.996216897856242
0.2,0.4,"3","3",1,0.000322372662798195
0.2,0.4,"4","3",1,0.000357142857142857
0.2,0.4,"1","4",98,0.0094722598105548
0.2,0.4,"4","4",2380,0.85
0.2,0.4,"0","5",2,0.000187265917602996
0.2,0.4,"1","5",1,9.66557123526e-05
0.2,0.4,"5","5",2145,1
0.2,0.4,"0","6",1382,0.12940074906367
0.2,0.4,"1","6",2,0.0001933114247052
0.2,0.4,"2","6",5,0.00157629255989912
0.2,0.4,"9","6",4,0.00782778864970646
0.2,0.4,"2","7",5,0.00157629255989912
0.2,0.4,"6","7",987,1
0.2,0.4,"0","8",1,9.36329588014981e-05
0.2,0.4,"1","8",7,0.0006765899864682
0.2,0.4,"3","8",538,0.173436492585429
0.2,0.4,"4","8",394,0.140714285714286
0.2,0.4,"7","8",1,0.00119189511323004
0.2,0.4,"9","8",1,0.00195694716242661
0.2,0.4,"0","9",3,0.000280898876404494
0.2,0.4,"7","9",838,0.99880810488677
0.2,0.4,"8","10",756,1
0.2,0.4,"0","11",15,0.00140449438202247
0.2,0.4,"9","11",505,0.98825831702544
0.2,0.4,"2","12",1,0.000315258511979823
0.2,0.4,"10","12",449,1
0.2,0.4,"0","13",1,9.36329588014981e-05
0.2,0.4,"1","13",1,9.66557123526e-05
0.2,0.4,"11","13",147,0.986577181208054
0.4,0.6,"0","0",5914,0.616362688900469
0.4,0.6,"2","0",31,0.00957381099444101
0.4,0.6,"4","0",38,0.0153349475383374
0.4,0.6,"5","0",1,0.000465549348230912
0.4,0.6,"8","0",4,0.00424628450106157
0.4,0.6,"1","1",4978,0.537929543980981
0.4,0.6,"2","1",3,0.000926497838171711
0.4,0.6,"6","1",3,0.00215362526920316
0.4,0.6,"9","1",1,0.00118906064209275
0.4,0.6,"11","1",1,0.00192307692307692
0.4,0.6,"0","2",1,0.000104220948410631
0.4,0.6,"1","2",4166,0.450183704344067
0.4,0.6,"5","2",1,0.000465549348230912
0.4,0.6,"6","2",1,0.000717875089734386
0.4,0.6,"11","2",1,0.00192307692307692
0.4,0.6,"13","2",1,0.00671140939597315
0.4,0.6,"0","3",3548,0.369775924960917
0.4,0.6,"1","3",3,0.000324184136589583
0.4,0.6,"2","3",376,0.116121062384188
0.4,0.6,"3","3",2,0.000628930817610063
0.4,0.6,"6","3",1,0.000717875089734386
0.4,0.6,"0","4",4,0.000416883793642522
0.4,0.6,"1","4",2,0.000216122757726389
0.4,0.6,"2","4",1,0.000308832612723904
0.4,0.6,"3","4",3168,0.99622641509434
0.4,0.6,"7","4",5,0.00504032258064516
0.4,0.6,"0","5",1,0.000104220948410631
0.4,0.6,"2","5",6,0.00185299567634342
0.4,0.6,"4","5",2440,0.984665052461663
0.4,0.6,"0","6",46,0.004794163626889
0.4,0.6,"1","6",1,0.000108061378863194
0.4,0.6,"2","6",2361,0.729153798641136
0.4,0.6,"3","6",1,0.000314465408805031
0.4,0.6,"1","7",2,0.000216122757726389
0.4,0.6,"3","7",4,0.00125786163522013
0.4,0.6,"5","7",2146,0.999068901303538
0.4,0.6,"1","8",13,0.00140479792522153
0.4,0.6,"2","8",4,0.00123533045089561
0.4,0.6,"3","8",3,0.000943396226415094
0.4,0.6,"6","8",1387,0.995692749461594
0.4,0.6,"0","9",18,0.00187597707139135
0.4,0.6,"1","9",10,0.00108061378863194
0.4,0.6,"2","9",450,0.138974675725757
0.4,0.6,"3","9",1,0.000314465408805031
0.4,0.6,"8","9",540,0.573248407643312
0.4,0.6,"7","10",987,0.994959677419355
0.4,0.6,"1","11",8,0.000864491030905554
0.4,0.6,"8","11",1,0.00106157112526539
0.4,0.6,"9","11",840,0.998810939357907
0.4,0.6,"10","12",756,1
0.4,0.6,"1","13",71,0.00767235789928679
0.4,0.6,"2","13",4,0.00123533045089561
