"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"0",2,9253,16,5,0,2,1382,0,1,3,0,15,0,1
"1",9556,0,668,13,98,1,2,0,7,0,0,0,0,1
"2",0,0,1,3160,0,0,5,5,0,0,0,0,1,0
"3",12,1,2550,1,0,0,0,0,538,0,0,0,0,0
"4",25,0,0,1,2380,0,0,0,394,0,0,0,0,0
"5",0,0,0,0,0,2145,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,987,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,1,838,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,756,0,0,0
"9",0,0,1,0,0,0,4,0,1,0,0,505,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,449,0
"11",0,0,2,0,0,0,0,0,0,0,0,0,0,147
