"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"0",5914,0,1,3548,4,1,46,0,0,18,0,0,0,0,0,8,55
"1",0,4978,4166,3,2,0,1,2,13,10,0,8,0,71,0,0,0
"2",31,3,0,376,1,6,2361,0,4,450,0,0,0,4,0,0,2
"3",0,0,0,2,3168,0,1,4,3,1,0,0,0,0,0,1,0
"4",38,0,0,0,0,2440,0,0,0,0,0,0,0,0,0,0,0
"5",1,0,1,0,0,0,0,2146,0,0,0,0,0,0,0,0,0
"6",0,3,1,1,0,0,0,0,1387,0,0,0,0,1,0,0,0
"7",0,0,0,0,5,0,0,0,0,0,987,0,0,0,0,0,0
"8",4,0,0,0,0,0,0,0,0,540,0,1,0,0,0,397,0
"9",0,1,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,756,0,0,0,0
"11",0,1,1,0,0,0,0,0,0,0,0,0,0,518,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0
"13",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,148
