"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"0",5072,0,0,99,0,19,38,1,0,25,717,0,0,0,0,0,14,3
"1",0,4737,230,0,0,4,0,0,12,0,0,0,0,0,3,0,0,0
"2",0,26,4140,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1
"3",1,0,0,3563,0,353,0,0,0,1,12,0,0,0,0,0,0,0
"4",0,0,0,0,3160,1,0,0,0,0,12,5,0,1,0,0,1,0
"5",1,0,0,0,0,2,2439,0,0,5,0,0,0,0,0,0,0,0
"6",2,0,0,3,0,2109,0,0,1,7,287,0,0,0,0,0,0,0
"7",0,1,0,0,0,0,0,2151,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,1407,0,0,0,0,0,0,0,0,0
"9",0,0,1,0,0,1,1,0,0,1008,6,0,0,0,0,0,2,0
"10",0,0,0,0,0,0,0,0,0,0,0,987,0,0,0,0,0,0
"11",0,0,2,0,0,0,0,0,0,0,0,0,846,0,1,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,0,0,0
"13",0,2,56,0,0,2,0,0,1,0,0,0,0,0,533,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0
"15",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,403,0
"16",0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,201
