"resolution","role","field","median_cluster_max_fraction","max_cluster_max_fraction"
0.2,"dataset","dataset",0.398758330475837,0.991549295774648
0.2,"specimen_orig_ident","orig.ident",0.102539726009533,0.167887323943662
0.2,"specimen_sample_id","sample_id",0.855035871331356,1
0.2,"stage_T","T_stage",0.381732052170495,0.571830985915493
0.2,"stage_N","N_stage",0.460845771144279,1
0.2,"stage_M","M_stage",0.476268656716418,1
0.2,"clinical_type","Type",0.539501451164135,1
0.4,"dataset","dataset",0.41017316017316,0.991515837104072
0.4,"specimen_orig_ident","orig.ident",0.10515873015873,0.278676194057916
0.4,"specimen_sample_id","sample_id",0.858038232528988,1
0.4,"stage_T","T_stage",0.37258883248731,0.699271102750999
0.4,"stage_N","N_stage",0.490735894483408,1
0.4,"stage_M","M_stage",0.501203810321365,1
0.4,"clinical_type","Type",0.53951650395165,1
0.6,"dataset","dataset",0.426426426426426,0.991530208921513
0.6,"specimen_orig_ident","orig.ident",0.115555555555556,0.276102941176471
0.6,"specimen_sample_id","sample_id",0.895555555555556,1
0.6,"stage_T","T_stage",0.368037703513282,0.70328627357931
0.6,"stage_N","N_stage",0.474452554744526,1
0.6,"stage_M","M_stage",0.494047619047619,1
0.6,"clinical_type","Type",0.536706349206349,1
0.8,"dataset","dataset",0.443443162736489,0.991530208921513
0.8,"specimen_orig_ident","orig.ident",0.114336141195347,0.316378433367243
0.8,"specimen_sample_id","sample_id",0.881071401690961,1
0.8,"stage_T","T_stage",0.408716704338962,0.73304347826087
0.8,"stage_N","N_stage",0.532848314034432,1
0.8,"stage_M","M_stage",0.53999117117729,1
0.8,"clinical_type","Type",0.566318224659412,1
