"parent_cluster","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"0",0,3835,4565,0,1,1,6,0,1,0,0,0,0,0,11,0,0,9,0,0,0,0
"1",5893,0,0,1,1754,0,0,0,0,0,94,0,16,7,1,450,0,0,0,2,0,9
"2",1,714,16,2,1,2399,5,0,0,2,0,0,10,0,815,0,0,291,0,0,0,1
"3",0,0,0,3178,0,1,0,0,0,0,4,1,1,0,4,0,0,0,0,2,0,0
"4",0,755,0,0,0,0,1953,0,3,3,0,0,4,0,0,0,0,2,0,0,0,0
"5",0,0,0,0,0,0,0,1893,0,0,0,0,1,0,0,2,0,0,0,445,0,0
"6",3,0,7,0,684,3,0,0,0,0,1634,0,1,0,0,0,0,0,0,0,0,2
"7",1,1,8,0,0,0,0,0,1779,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,1,0,3,0,0,0,0,1766,0,0,0,0,0,0,0,1,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,1006,2,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,3,0,0,0,0,0,0,0,928,0,0,0,0,4,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,0,0,0,0
"13",0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,374,0,351,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0
"16",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,268
