"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.38622705943705,0.145,0.035,0,"0","LINC00987"
0,2.33786596927676,0.134,0.031,0,"0","GPR84-AS1"
0,2.0769077894032,0.172,0.059,0,"0","ABTB3"
0,2.01507495312649,0.295,0.092,0,"0","MIR23AHG"
0,1.7772071503025,0.317,0.115,0,"0","FAM66A"
0,1.76499085660933,0.159,0.057,0,"0","PEBP1P3"
0,1.75415045562394,0.16,0.059,0,"0","LINC02964"
0,1.69240659719441,0.161,0.059,0,"0","DCTN6-DT"
0,1.66972995142847,0.182,0.066,0,"0","LINC00869.1"
0,1.59964009423148,0.161,0.067,0,"0","TIPARP-AS1"
0,1.58563046082404,0.173,0.066,0,"0","EEIG1"
0,1.53616112569379,0.867,0.42,0,"0","H3-3B"
5.08267629918373e-199,1.51774851751765,0.12,0.072,4.57496776365826e-194,"0","LINC00910"
0,1.50505143009185,0.145,0.058,0,"0","ARHGAP15-AS1"
0,1.50037092517817,0.223,0.091,0,"0","CDC42EP3-AS1"
0,1.49291484049504,0.102,0.041,0,"0","RAB33B-AS1"
0,1.47988516795045,0.227,0.099,0,"0","H4C3"
0,1.47231959178495,0.402,0.236,0,"0","LMNA"
0,1.45386072881781,0.884,0.652,0,"0","LINC-PINT"
0,1.40559993277627,0.142,0.063,0,"0","STAG3L5P-PVRIG2P-PILRB"
0,1.40463402785774,0.187,0.086,0,"0","KCNA3"
0,1.40314256035707,0.117,0.054,0,"0","EP300-AS1"
0,1.35898642795585,0.326,0.167,0,"0","MYADM"
0,1.35724964857644,0.118,0.055,0,"0","PRKY.1"
0,1.32173758424436,0.158,0.078,0,"0","MIDEAS"
0,1.30582295160388,0.154,0.076,0,"0","H2AX"
0,1.30462273134847,0.506,0.253,0,"0","H2AZ1"
0,1.30056352951595,0.17,0.07,0,"0","NR3C2"
6.39107447730622e-245,1.30015916085124,0.101,0.051,5.7526700477681e-240,"0","POLR1F"
0,1.2981809364152,0.125,0.061,0,"0","RASGRF2"
0,1.29456798404189,0.208,0.12,0,"0","CCDC97"
0,1.26972399957892,0.129,0.064,0,"0","RABGEF1P1.1"
0,1.25978891070342,0.15,0.076,0,"0","AKAP13-AS1"
0,1.23823904326408,0.132,0.063,0,"0","LINC01145.1"
1.54486888807547e-303,1.22825632694146,0.11,0.053,1.39055193484561e-298,"0","MIR142HG"
0,1.21821998130722,0.154,0.074,0,"0","GP6-AS1"
0,1.20880108381463,0.2,0.104,0,"0","H1-2"
0,1.19378621456052,0.187,0.099,0,"0","H2AJ"
2.07955578096766e-250,1.18802713243842,0.109,0.057,1.8718289540068e-245,"0","MTRFR"
1.30888190952794e-251,1.18513253389123,0.105,0.054,1.1781376955852e-246,"0","MARS1"
8.3154181632609e-283,1.16043491186851,0.136,0.074,7.48479104293277e-278,"0","TANC2"
0,1.15866284593816,0.229,0.12,0,"0","SSBP2"
0,1.15709017979892,0.237,0.137,0,"0","SKIC8"
3.9198734563496e-267,1.13807579389821,0.122,0.065,3.52831729679484e-262,"0","CASP4LP.1"
7.84397319931149e-224,1.13125073170438,0.103,0.055,7.06043871643227e-219,"0","KARS1"
0,1.12651575086099,0.198,0.104,0,"0","ANXA2R-OT1"
0,1.11000644044201,0.417,0.279,0,"0","CAMK1D"
6.04116144246678e-194,1.10639801012772,0.124,0.074,5.43770982597877e-189,"0","TAF4B"
0,1.1024137959625,0.354,0.189,0,"0","H2AZ2"
0,1.06169802639408,0.157,0.083,0,"0","RSL1D1-DT"
0,4.58031837752385,0.212,0.01,0,"1","AC243829.1"
0,4.33425837640481,0.15,0.008,0,"1","AC022126.1"
0,4.24210109857441,0.176,0.011,0,"1","CCL3L1"
0,4.00443231713142,0.101,0.007,0,"1","AC015849.1"
0,3.66267376871154,0.123,0.01,0,"1","AC243829.4"
0,3.64119126646583,0.115,0.009,0,"1","AC022075.1"
0,3.4903234605946,0.204,0.021,0,"1","AC006369.1"
0,3.42250781400235,0.273,0.033,0,"1","AC020916.1"
0,3.41621821116414,0.113,0.011,0,"1","AL096794.1"
0,3.37193085476123,0.101,0.011,0,"1","TMEFF2"
0,3.27375437587517,0.264,0.039,0,"1","AC016074.2"
0,3.24385653920497,0.127,0.017,0,"1","AL035530.2"
0,3.2168198335024,0.122,0.014,0,"1","AC008569.1"
0,3.17950637695985,0.284,0.036,0,"1","FAM102A"
0,3.17305621936444,0.237,0.038,0,"1","ADAMTSL4-AS1"
0,3.13918459702166,0.364,0.049,0,"1","PRKY"
0,3.11073660704286,0.115,0.017,0,"1","MIR99AHG"
0,3.02483365077055,0.129,0.018,0,"1","HIST1H3D"
0,3.01777081093968,0.174,0.026,0,"1","ELMSAN1"
0,2.9997320221546,0.112,0.016,0,"1","AL360091.3"
0,2.97159079496247,0.315,0.043,0,"1","AC245297.3"
0,2.96159242846436,0.161,0.024,0,"1","HIST2H2AC"
0,2.94965956125827,0.259,0.038,0,"1","FAM102B"
0,2.94243014664232,0.172,0.027,0,"1","CARS"
0,2.93680675845306,0.44,0.07,0,"1","KLRK1"
0,2.92291650450815,0.233,0.035,0,"1","AL137856.1"
0,2.88812703978829,0.191,0.026,0,"1","LRMP"
0,2.88783572451884,0.146,0.022,0,"1","AL499604.1"
0,2.88623025839134,0.165,0.024,0,"1","AC008875.3"
0,2.8853516413908,0.194,0.03,0,"1","AL157402.2"
0,2.88094522009045,0.426,0.066,0,"1","LIME1"
0,2.87439707389293,0.346,0.058,0,"1","WDR61"
0,2.87270650153199,0.123,0.018,0,"1","AC044849.1"
0,2.87192786232991,0.151,0.023,0,"1","AL031772.1"
0,2.87072473359323,0.334,0.07,0,"1","SLC35F1"
0,2.86384547197716,0.33,0.056,0,"1","P2RY8"
0,2.8549253268359,0.409,0.063,0,"1","C5orf56"
0,2.84203628912254,0.421,0.071,0,"1","AP001011.1"
0,2.83441235707324,0.133,0.019,0,"1","AC011476.3"
0,2.82925171924072,0.123,0.019,0,"1","AC026979.2"
0,2.82744715569783,0.117,0.021,0,"1","CNTNAP2"
0,2.8235463173441,0.24,0.038,0,"1","YARS"
0,2.81634602329593,0.123,0.02,0,"1","AP002336.2"
0,2.80323536841768,0.131,0.023,0,"1","HIST3H2A"
0,2.79770724735266,0.175,0.029,0,"1","C12orf65"
0,2.79502599836985,0.109,0.018,0,"1","AC006059.1"
0,2.79284400341668,0.162,0.026,0,"1","H2AFX"
0,2.78820432221573,0.105,0.018,0,"1","AARS"
0,2.77920532754371,0.105,0.018,0,"1","AC092338.3"
0,2.77776995314738,0.22,0.033,0,"1","AC068587.4"
0,4.07980210500063,0.446,0.035,0,"2","PELO-AS1"
0,3.80603660861842,0.284,0.027,0,"2","LINC02937"
0,3.44690580561842,0.278,0.027,0,"2","CCL3-AS1"
0,3.37674522162254,0.104,0.012,0,"2","ITGA9"
0,2.75920569431048,0.267,0.043,0,"2","KIR2DL4"
0,2.64118730565408,0.201,0.033,0,"2","AFAP1L2"
0,2.63821560947454,0.125,0.019,0,"2","TTC24"
0,2.48778497261978,0.219,0.044,0,"2","NHS"
0,2.42277248807609,0.14,0.032,0,"2","PIP5K1B"
0,2.38011231231982,0.172,0.033,0,"2","KLRK1-AS1"
0,2.36923851258495,0.187,0.036,0,"2","ETV1"
0,2.36765424278177,0.15,0.032,0,"2","DPF3"
0,2.3637813385352,0.165,0.034,0,"2","JUN-DT"
0,2.36125859268798,0.541,0.127,0,"2","ATP8B4"
0,2.3034618702012,0.205,0.048,0,"2","LRRN3"
0,2.25493619397438,0.274,0.067,0,"2","CARS1"
0,2.20008950322878,0.102,0.023,0,"2","PHEX"
0,2.1968332426214,0.178,0.055,0,"2","ADAMTS6"
0,2.17999459207863,0.169,0.036,0,"2","RYR2"
0,2.17137760442568,0.323,0.08,0,"2","GOLIM4"
0,2.1674899655516,0.329,0.081,0,"2","KLRC4"
0,2.10745809272768,0.402,0.121,0,"2","MYO1E"
0,2.05489383973386,0.176,0.048,0,"2","CD109"
0,2.03499013534155,0.448,0.169,0,"2","PLPP1"
0,2.0177826249043,0.346,0.099,0,"2","LINC02195"
0,1.99385526416756,0.317,0.084,0,"2","CHN2"
0,1.92284467535124,0.187,0.053,0,"2","LINC02416"
0,1.92270176213722,0.115,0.032,0,"2","KRT86"
0,1.9214831740058,0.817,0.376,0,"2","LINC01871"
0,1.91295522564577,0.157,0.049,0,"2","LINC01480"
0,1.86919489400709,0.218,0.062,0,"2","ADGRG5"
0,1.85691629072474,0.519,0.194,0,"2","LAG3"
0,1.84082328695793,0.172,0.048,0,"2","CCL3L3"
0,1.83535783956956,0.725,0.288,0,"2","GZMB"
0,1.80308510780858,0.103,0.028,0,"2","HLA-DRB6.1"
0,1.78410708830485,0.287,0.084,0,"2","CLNK"
0,1.78401821829677,0.47,0.166,0,"2","HAVCR2"
0,1.78014152392797,0.233,0.081,0,"2","SNAP47"
0,1.77852487998409,0.453,0.155,0,"2","ENTPD1"
0,1.77182359726489,0.541,0.198,0,"2","HOPX"
0,1.7666113528143,0.477,0.121,0,"2","CXCL13"
0,1.74437458603409,0.103,0.032,0,"2","ELAPOR1"
0,1.72479321318798,0.232,0.071,0,"2","KLRC2"
0,1.71852996129968,0.416,0.145,0,"2","SRGAP3"
0,1.71755469492536,0.203,0.07,0,"2","BFSP2-AS1"
0,1.71057674364233,0.203,0.065,0,"2","NBL1"
0,1.69556242593302,0.103,0.036,0,"2","MATR3"
0,1.69227009869755,0.249,0.083,0,"2","ZC3H12C"
0,1.68857446736653,0.14,0.042,0,"2","NEBL"
0,1.66957633728982,0.22,0.069,0,"2","ZNF683"
0,6.38458758720894,0.377,0.007,0,"3","KLRF1"
0,6.16638448288458,0.272,0.004,0,"3","SH2D1B"
0,6.035455452371,0.134,0.003,0,"3","ADGRG3"
0,5.93797950732997,0.28,0.008,0,"3","FGFBP2"
0,5.68715001784658,0.1,0.002,0,"3","CCNJL"
0,5.5203692409532,0.162,0.007,0,"3","LINGO2"
0,5.28918345786677,0.103,0.003,0,"3","B3GNT7"
0,5.11998926543947,0.668,0.041,0,"3","TYROBP"
0,4.91980365190008,0.433,0.026,0,"3","FCER1G"
0,4.79726207048385,0.311,0.019,0,"3","FCGR3A"
0,4.74165940472444,0.177,0.009,0,"3","LINC00996"
0,4.56600844080423,0.152,0.006,0,"3","SYK"
