"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.791370871336786,0.945,0.565,0,"0","RPLP1"
0,0.990215757958183,0.942,0.563,0,"0","RPS27"
0,0.93750632446982,0.942,0.563,0,"0","RPL13"
0,0.890154957555864,0.949,0.57,0,"0","MT-CO1"
0,0.967372091657039,0.938,0.559,0,"0","RPL10"
0,0.922483324449757,0.934,0.558,0,"0","RPS18"
0,1.00581376670165,0.935,0.56,0,"0","RPL28"
0,0.824532441047561,0.943,0.568,0,"0","MT-CO2"
0,1.00104095580054,0.925,0.553,0,"0","RPS12"
0,1.00088844397911,0.926,0.554,0,"0","RPS15A"
0,0.816625313890544,0.933,0.561,0,"0","RPS19"
0,0.875212363096602,0.922,0.551,0,"0","RPS27A"
0,0.819462656235238,0.924,0.553,0,"0","RPL32"
0,0.833354144281836,0.925,0.554,0,"0","RPL34"
0,0.999374966967628,0.917,0.546,0,"0","RPS14"
0,0.99417113546611,0.919,0.548,0,"0","RPL41"
0,0.997574166752639,0.919,0.548,0,"0","RPS29"
0,1.07655449766677,0.916,0.546,0,"0","RPLP2"
0,0.908603130588683,0.92,0.551,0,"0","RPL39"
0,0.941161837098353,0.927,0.558,0,"0","MT-CO3"
0,0.874829917653358,0.917,0.55,0,"0","RPS28"
0,0.89670980378529,0.914,0.548,0,"0","RPS2"
0,1.01123832771523,0.907,0.542,0,"0","RPS3"
0,0.921963092272675,0.912,0.549,0,"0","RPS15"
0,0.817204299950535,0.91,0.548,0,"0","RPL11"
0,1.09613994335746,0.89,0.528,0,"0","RPL23A"
0,0.749096689892712,0.921,0.559,0,"0","MT-ATP6"
0,0.863398186726029,0.906,0.545,0,"0","RPL18A"
0,0.846407711234031,0.922,0.561,0,"0","MT-ND4"
0,0.922194151481552,0.9,0.54,0,"0","RPL30"
0,0.885379696206228,0.901,0.541,0,"0","RPL21"
0,0.884401765552,0.9,0.541,0,"0","RPL26"
0,0.8456616214167,0.902,0.544,0,"0","RPS6"
0,0.872174249707264,0.901,0.543,0,"0","RPL19"
0,0.863965740836317,0.896,0.539,0,"0","RPS24"
0,0.803811194350876,0.898,0.542,0,"0","RPS8"
0,0.944273557620568,0.89,0.534,0,"0","RPL35A"
0,0.863868537497288,0.894,0.538,0,"0","RPS23"
0,1.01902941741695,0.881,0.526,0,"0","RPS25"
0,0.931839536388726,0.887,0.532,0,"0","RPL3"
0,1.15593574653784,0.86,0.506,0,"0","RPL27A"
0,0.879390466875995,0.892,0.538,0,"0","RPL36"
0,0.739815053883822,0.895,0.542,0,"0","RPL37"
0,0.91381517627749,0.898,0.545,0,"0","MT-CYB"
0,0.824035952822501,0.883,0.532,0,"0","RPS4X"
0,0.748857000702778,0.889,0.539,0,"0","RPL12"
0,1.10740687645589,0.861,0.511,0,"0","RPL13A"
0,0.834980536349776,0.879,0.531,0,"0","RPS3A"
0,0.828215921945228,0.885,0.537,0,"0","MT-RNR2"
0,0.841202460901252,0.893,0.545,0,"0","MT-ND3"
0,0.966936130306721,0.863,0.519,0,"0","RPL14"
0,0.916500691025163,0.869,0.525,0,"0","RPS16"
0,0.873457168040776,0.864,0.523,0,"0","RPS21"
0,0.876360159892647,0.856,0.516,0,"0","RPL9"
0,0.857742508371433,0.869,0.529,0,"0","RPL35"
0,0.835942647633773,0.86,0.52,0,"0","RPS13"
0,0.8056444996242,0.865,0.526,0,"0","RPL15"
0,0.862475453094672,0.865,0.526,0,"0","RPS9"
0,0.93219931578304,0.86,0.522,0,"0","RPS7"
0,0.805826335398466,0.866,0.528,0,"0","RPL18"
0,0.956639905351403,0.864,0.527,0,"0","MT-ND2"
