"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.57639907240319,0.188,0.045,0,"0","LINC00987"
0,1.97580045719631,0.1,0.032,0,"0","ENSG00000288915"
0,1.81594255596163,0.135,0.049,0,"0","GPR84-AS1"
0,1.80281526889039,0.101,0.038,0,"0","ENSG00000301019"
0,1.77111168995836,0.149,0.058,0,"0","ENSG00000274767"
0,1.60928219119019,0.196,0.085,0,"0","ENSG00000307107"
0,1.53352908553284,0.128,0.051,0,"0","CCL3L3"
0,1.47204522007561,0.466,0.202,0,"0","GZMK"
4.08152753297299e-208,1.3794034777651,0.123,0.065,3.67382374770432e-203,"0","ENSG00000300496"
9.02794304793431e-302,1.36376418865502,0.165,0.087,8.12614181687616e-297,"0","ENSG00000295475"
0,1.34089872606112,0.298,0.147,0,"0","ENSG00000232855"
1.45748198898847e-252,1.32421772260496,0.147,0.078,1.31189411310842e-247,"0","PEBP1P3"
0,1.25785512620291,0.24,0.133,0,"0","ENSG00000283674"
1.16118390513676e-234,1.25005989038403,0.18,0.107,1.04519324485265e-229,"0","ENSG00000296297"
2.47184718180243e-282,1.24248078973578,0.167,0.09,2.22493436681219e-277,"0","LINC00869.1"
2.5202862897802e-154,1.20312085617912,0.109,0.061,2.26853489229405e-149,"0","ENSG00000267379"
6.59042035376484e-252,1.20269828039855,0.159,0.088,5.93210326462727e-247,"0","EEIG1"
3.33150762118107e-195,1.20064101881041,0.122,0.066,2.99872332490129e-190,"0","ENSG00000270240"
3.17802218824273e-30,1.19794504965716,0.265,0.251,2.86056955185917e-25,"0","MT1X"
1.89424150857042e-154,1.19340934708147,0.112,0.063,1.70502572427932e-149,"0","MIR142HG"
1.24057422802735e-162,1.18221226826876,0.127,0.074,1.11665326838969e-157,"0","CASP4LP.1"
0,1.15593574653784,0.86,0.506,0,"0","RPL27A"
1.15284740474194e-41,1.14885757247061,0.139,0.113,1.03768947748227e-36,"0","MT1F"
4.87472102539514e-12,1.14514866275096,0.144,0.134,4.38778514216842e-07,"0","MT1E"
0,1.13898816032446,0.272,0.161,0,"0","FAM66A"
7.08778478587537e-146,1.13884434603335,0.128,0.078,6.37978596361428e-141,"0","ENSG00000227615"
3.86387377951044e-125,1.13144826710662,0.11,0.066,3.47791142767514e-120,"0","ENSG00000254604"
9.65519199929792e-134,1.12578419718994,0.113,0.067,8.69073487048805e-129,"0","ENSG00000274265"
0,1.11205924765484,0.396,0.237,0,"0","RPS27P3"
0,1.10740687645589,0.861,0.511,0,"0","RPL13A"
2.24047279686572e-302,1.09849325487689,0.207,0.118,2.0166719691868e-297,"0","CDC42EP3-AS1"
0,1.09613994335746,0.89,0.528,0,"0","RPL23A"
1.54005100720844e-227,1.09030871520497,0.203,0.127,1.38621531209839e-222,"0","H4C3"
7.95874217678666e-205,1.08784493571905,0.179,0.11,7.16374342074744e-200,"0","ENSG00000286145"
4.31442997938301e-134,1.08714767186294,0.125,0.077,3.88346156874244e-129,"0","LINC01145.1"
0,1.08646326091777,0.242,0.14,0,"0","MIR23AHG"
0,1.08566397056103,0.487,0.303,0,"0","H2AZ1"
3.57823848485122e-128,1.07705029432302,0.124,0.077,3.22080824259943e-123,"0","CARINH"
5.47566557535269e-112,1.07683873187868,0.105,0.064,4.92870134103071e-107,"0","ENSG00000299729"
0,1.07655449766677,0.916,0.546,0,"0","RPLP2"
3.03025052479706e-207,1.06716278675633,0.188,0.117,2.72755879987508e-202,"0","ENSG00000261573"
2.65282240138477e-109,1.06481778997149,0.109,0.067,2.38783197171044e-104,"0","EP300-AS1"
0,1.06311360442205,0.834,0.508,0,"0","H3-3B"
1.23957842852118e-145,1.06055981255464,0.135,0.083,1.1157569392962e-140,"0","DCTN6-DT"
0,1.05917295050965,0.673,0.406,0,"0","RPL36AL"
2.22925723534674e-180,1.05660864568183,0.141,0.081,2.00657673010796e-175,"0","LINC02964"
7.44387583395865e-99,1.04576561827853,0.125,0.084,6.70030707690452e-94,"0","FHIP2A"
3.26250324260991e-108,1.04051723961346,0.124,0.081,2.93661179370561e-103,"0","RPL13P12"
8.00878123066132e-284,1.03951694227093,0.235,0.145,7.20878407353056e-279,"0","ENSG00000287555"
1.2481219667772e-102,1.03668564460683,0.119,0.078,1.12344706351582e-97,"0","RPS15P4"
0,2.83476943790654,0.31,0.06,0,"1","ABTB3"
0,2.23566731147509,0.106,0.026,0,"1","ENSG00000249806"
0,2.20966511236339,0.311,0.088,0,"1","ENSG00000310385"
0,2.13134706000978,0.14,0.032,0,"1","ENSG00000248969"
0,2.10782659884407,0.102,0.023,0,"1","ENSG00000287292"
0,1.879662261782,0.144,0.044,0,"1","MAGI3"
0,1.856021317537,0.137,0.044,0,"1","ENSG00000304761"
0,1.82988547106445,0.198,0.073,0,"1","TAF4B"
0,1.78713825532343,0.201,0.062,0,"1","RASGRF2"
0,1.78069294765926,0.117,0.033,0,"1","ENSG00000298758"
0,1.77593690441732,0.102,0.028,0,"1","CFAP210"
0,1.77381570583786,0.15,0.045,0,"1","PELI2"
0,1.70162730690503,0.114,0.033,0,"1","ENSG00000304130"
0,1.67520785650163,0.167,0.053,0,"1","ENSG00000267379"
0,1.64578210283028,0.252,0.099,0,"1","LNCRNA-IUR"
