"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.80398684796596,0.102,0.006,0,"0","ENSG00000289963"
0,3.77279755076623,0.122,0.008,0,"0","ENSG00000294673"
0,3.75435348301449,0.459,0.044,0,"0","PELO-AS1"
0,3.74824617061458,0.313,0.029,0,"0","LINC02937"
0,3.55570334228903,0.152,0.012,0,"0","ENSG00000287347"
0,3.49637292365527,0.12,0.012,0,"0","ITGA9"
0,3.47638740930566,0.196,0.022,0,"0","ENSG00000301254"
0,3.40764096344972,0.112,0.009,0,"0","ENSG00000258760"
0,3.37714274452292,0.147,0.016,0,"0","ENSG00000304809"
0,3.19241005592944,0.101,0.01,0,"0","LINC00484"
0,3.18860024391185,0.141,0.015,0,"0","ENSG00000302621"
0,3.16298794164197,0.111,0.011,0,"0","ATP8A1-DT"
0,3.15295776190871,0.291,0.031,0,"0","CCL3-AS1"
0,3.13806507534282,0.133,0.015,0,"0","ENSG00000310242"
0,3.10194761856933,0.179,0.021,0,"0","ENSG00000286084"
0,3.09200943942107,0.221,0.023,0,"0","ENSG00000289485"
0,3.03505741757476,0.223,0.024,0,"0","ENSG00000290036"
0,2.96607690956966,0.104,0.012,0,"0","ENSG00000217455"
0,2.68715705844145,0.107,0.018,0,"0","ENSG00000287277"
0,2.68626113929499,0.104,0.015,0,"0","ENSG00000286313"
0,2.66795887306011,0.262,0.043,0,"0","ENSG00000234261"
0,2.65242903629138,0.206,0.041,0,"0","ENSG00000228509"
0,2.62339165382824,0.144,0.025,0,"0","ENSG00000306285"
0,2.59301132855176,0.105,0.017,0,"0","LINC00158"
0,2.58162799074867,0.103,0.015,0,"0","KLRC4-KLRK1"
0,2.55272173230818,0.242,0.045,0,"0","NHS"
0,2.53251924370101,0.134,0.021,0,"0","TTC24"
0,2.50190459943504,0.211,0.036,0,"0","AFAP1L2"
0,2.48461289023281,0.153,0.033,0,"0","PIP5K1B"
0,2.47741895680418,0.21,0.037,0,"0","ETV1"
0,2.44246401390531,0.185,0.034,0,"0","JUN-DT"
